city,listing_id,bathrooms,price_per_sqft,build_year,url,price,bedrooms,state,longitude,zip_code,partial_bathrooms,street,address,latitude,house_type,state_code,sqft,neighborhood
New York,3243047333,2,0,1958,https://www.trulia.com/property/3243047333-45-Sutton-Pl-S-18A-New-York-NY-10022,3495000,3,New York,-73.96139,10022,0,Sutton Pl S,"45 Sutton Place South #18A, New York, NY",40.75558,Coop,NY,,Sutton Place
New York,3239648395,3,0,1903,https://www.trulia.com/property/3239648395-140-5th-Ave-11FLR-New-York-NY-10011,7950000,4,New York,-73.991844,10011,0,5th Ave,"140 5th Avenue #11FLR, New York, NY",40.739162,Coop,NY,,Flatiron District
New York,3239913303,0,0,,https://www.trulia.com/property/3239913303-180-E-94th-St-New-York-NY-10128,6450000,,New York,-73.950676,10128,,E 94th St,"180 East 94th Street, New York, NY",40.783936,Townhome,NY,,Upper East Side
New York,3239425456,3,0,,https://www.trulia.com/property/3239425456-812-5th-Ave-5A-New-York-NY-10065,5495000,3,New York,-73.97113,10065,,5th Ave,"812 5th Avenue #5A, New York, NY",40.76629,Coop,NY,,Upper East Side
New York,3239490671,0,0,1900,https://www.trulia.com/property/3239490671-244-E-53rd-St-New-York-NY-10022,6400000,,New York,-73.967896,10022,,E 53rd St,"244 East 53rd Street, New York, NY",40.756824,Townhome,NY,,Midtown East
New York,3237369027,4,0,1910,https://www.trulia.com/property/3237369027-180-E-73rd-St-New-York-NY-10021,16750000,4,New York,-73.96084,10021,0,E 73rd St,"180 East 73rd Street, New York, NY",40.77049,Townhome,NY,,Upper East Side
New York,3237889529,3,0,,https://www.trulia.com/property/3237889529-870-United-Nations-Plz-PH37E38E-New-York-NY-10017,8000000,4,New York,-73.965965,10017,1,United Nations Plz,"870 United Nations Plaza #PH37E38E, New York, NY",40.752533,Coop,NY,,Midtown East
New York,3237050178,0,0,,https://www.trulia.com/property/3237050178-346-E-51st-St-New-York-NY-10022,5900000,,New York,-73.966545,10022,,E 51st St,"346 East 51st Street, New York, NY",40.754616,Townhome,NY,,Midtown East
New York,3240440823,2,0,1926,https://www.trulia.com/property/3240440823-969-5th-Ave-15FL-New-York-NY-10075,7000000,3,New York,-73.964005,10075,1,5th Ave,"969 5th Avenue #15FL, New York, NY",40.776093,Coop,NY,,Upper East Side
New York,3236598957,6,0,,https://www.trulia.com/property/3236598957-435-E-52nd-St-2223-New-York-NY-10022,18500000,7,New York,-73.96311,10022,1,E 52nd St,"435 East 52nd Street #2223, New York, NY",40.75464,Apartment,NY,,Midtown East
New York,3236865336,2,0,1979,https://www.trulia.com/property/3236865336-30-W-63rd-St-24VW-New-York-NY-10023,3950000,2,New York,-73.981575,10023,0,W 63rd St,"30 West 63rd Street #24VW, New York, NY",40.770767,Condo,NY,,Upper West Side
New York,3236587204,3,0,1966,https://www.trulia.com/property/3236587204-980-5th-Ave-18B-New-York-NY-10075,6850000,2,New York,-73.963196,10075,1,5th Ave,"980 5th Avenue #18B, New York, NY",40.777042,Coop,NY,,Upper East Side
New York,3236801655,0,0,,https://www.trulia.com/property/3236801655-524-E-89th-St-New-York-NY-10128,5250000,,New York,-73.944756,10128,,E 89th St,"524 East 89th Street, New York, NY",40.777184,Single-Family Home,NY,,Upper East Side
New York,3239567465,4,0,1987,https://www.trulia.com/property/3239567465-200-E-65th-St-17NORTH-New-York-NY-10065,7900000,5,New York,-73.963554,10065,1,E 65th St,"200 East 65th Street #17NORTH, New York, NY",40.76478,Condo,NY,,Upper East Side
New York,3236772991,5,0,,https://www.trulia.com/property/3236772991-40-E-67th-St-New-York-NY-10065,17900000,4,New York,-73.96723,10065,2,E 67th St,"40 East 67th Street, New York, NY",40.768127,Single-Family Home,NY,,Upper East Side
New York,3236422723,8,0,,https://www.trulia.com/property/3236422723-435-E-52nd-St-FL-2223-New-York-NY-10022,18500000,8,New York,-73.96311,10022,1,E 52nd St,"435 East 52nd Street #FL 2223, New York, NY",40.75464,Coop,NY,,Midtown East
New York,3236422710,4,0,1930,https://www.trulia.com/property/3236422710-10-Gracie-Sq-10G-New-York-NY-10028,10000000,5,New York,-73.94499,10028,0,Gracie Sq,"10 Gracie Square #10G, New York, NY",40.77291,Coop,NY,,Upper East Side
New York,3236421809,5,0,,https://www.trulia.com/property/3236421809-16-E-129th-St-New-York-NY-10035,4950000,5,New York,-73.93967,10035,1,E 129th St,"16 East 129th Street, New York, NY",40.808403,Townhome,NY,,East Harlem
New York,3236141134,3,0,1916,https://www.trulia.com/property/3236141134-570-Park-Ave-8B-New-York-NY-10065,4995000,3,New York,-73.96854,10065,,Park Ave,"570 Park Avenue #8B, New York, NY",40.7654,Coop,NY,,Upper East Side
New York,3235863493,4,0,,https://www.trulia.com/property/3235863493-205-Cabrini-Blvd-TH-New-York-NY-10033,4625000,5,New York,-73.938644,10033,,Cabrini Blvd,"205 Cabrini Boulevard #TH, New York, NY",40.8543,Townhome,NY,,Fort George
New York,3109971111,2,0,1930,https://www.trulia.com/property/3109971111-106-Central-Park-S-17G-New-York-NY-10019,5699000,2,New York,-73.9769,10019,1,Central Park S,"106 Central Park South #17G, New York, NY",40.76543,Condo,NY,,Clinton
New York,3236120610,1,0,,https://www.trulia.com/property/3236120610-171-Bowery-New-York-NY-10002,10000000,1,New York,-73.99376,10002,,Bowery,"171 Bowery, New York, NY",40.71992,Unspecified,NY,,Lower East Side
New York,3083445756,2,0,1963,https://www.trulia.com/property/3083445756-200-Central-Park-S-16A-New-York-NY-10019,4350000,3,New York,-73.97974,10019,1,Central Park S,"200 Central Park South #16A, New York, NY",40.766678,Coop,NY,,Clinton
New York,3235785349,4,0,,https://www.trulia.com/property/3235785349-207-Cabrini-Blvd-TH-New-York-NY-10033,3850000,5,New York,-73.938614,10033,,Cabrini Blvd,"207 Cabrini Boulevard #TH, New York, NY",40.85436,Townhome,NY,,Fort George
New York,3076696774,1,0,1927,https://www.trulia.com/property/3076696774-115-Cabrini-Blvd-C22-New-York-NY-10033,800000,2,New York,-73.939735,10033,,Cabrini Blvd,"115 Cabrini Boulevard #C22, New York, NY",40.85209,Coop,NY,,Fort George
New York,3046184965,3,0,1929,https://www.trulia.com/property/3046184965-30-Sutton-Pl-3A-New-York-NY-10022,3200000,3,New York,-73.96032,10022,0,Sutton Pl,"30 Sutton Place #3A, New York, NY",40.758373,Coop,NY,,Sutton Place
New York,3235798846,1,0,,https://www.trulia.com/property/3235798846-49-W-24th-St-New-York-NY-10010,5595000,,New York,-73.99146,10010,1,W 24th St,"49 West 24th Street, New York, NY",40.743454,Coop,NY,,Midtown South Central
New York,3053384201,3,0,1917,https://www.trulia.com/property/3053384201-417-Park-Ave-10E-New-York-NY-10022,3800000,4,New York,-73.97142,10022,,Park Ave,"417 Park Avenue #10E, New York, NY",40.75998,Coop,NY,,Midtown Center
New York,3079365798,3,0,1930,https://www.trulia.com/property/3079365798-146-Central-Park-W-9F-New-York-NY-10023,5250000,3,New York,-73.9749,10023,0,Central Park W,"146 Central Park West #9F, New York, NY",40.7779,Coop,NY,,
New York,3081148568,1,0,1983,https://www.trulia.com/property/3081148568-721-5th-Ave-54H-New-York-NY-10022,3400000,1,New York,-73.97389,10022,,5th Ave,"721 5th Avenue #54H, New York, NY",40.762314,Condo,NY,,Midtown Center
New York,3017017927,5,0,1930,https://www.trulia.com/property/3017017927-10-Gracie-Sq-New-York-NY-10028,12950000,4,New York,-73.94499,10028,,Gracie Sq,"10 Gracie Square, New York, NY",40.77291,Unspecified,NY,,Upper East Side
New York,3076407692,3,0,1952,https://www.trulia.com/property/3076407692-60-Sutton-Pl-S-10DEN-New-York-NY-10022,3595000,3,New York,-73.96285,10022,,Sutton Pl S,"60 Sutton Place South #10DEN, New York, NY",40.755344,Coop,NY,,Sutton Place
New York,3003168344,0,0,1910,https://www.trulia.com/property/3003168344-17-W-94th-St-New-York-NY-10025,13750000,,New York,-73.96618,10025,,W 94th St,"17 West 94th Street, New York, NY",40.79084,Multi-Family Home,NY,,Upper West Side
New York,3033719077,4,0,1926,https://www.trulia.com/property/3033719077-1-Sutton-Pl-S-7A-New-York-NY-10022,18000000,4,New York,-73.96054,10022,1,Sutton Pl S,"1 Sutton Place South #7A, New York, NY",40.75683,Coop,NY,,Sutton Place
New York,3040338503,2,0,,https://www.trulia.com/property/3040338503-799-Park-Ave-15A-New-York-NY-10021,3499000,2,New York,-73.96236,10021,1,Park Ave,"799 Park Avenue #15A, New York, NY",40.772457,Coop,NY,,Upper East Side
