"year","quarter","state","city","code","immid_R","immid_A","immid_D","immid_P","other_R","other_A","other_D","other_P"
"2014","1","Washington","Seattle ","SEA",1060,680,56,2668,29,50,NA,109
"2014","1","Washington","Spokane ","SPO",59,67,NA,123,NA,NA,NA,NA
"2014","1","Washington","Yakima","YAK",125,227,NA,335,NA,NA,NA,NA
"2014","1","Wisconsin","Milwaukee ","MIL",385,265,22,964,NA,NA,NA,35
"2014","1","Service Center","California","WSC",224,25046,2355,22200,49814,47365,4629,357263
"2014","1","Service Center","Nebraska","NSC",41348,16821,68,98851,1542,14716,152,8169
"2014","1","Service Center","Texas","SSC",8387,11933,60,36932,261,1198,339,1696
"2014","1","Service Center","Vermont","ESC",8729,1300,1321,20183,18498,15691,3090,141795
"2014","2","Alaska","Anchorage ","ANC",73,113,12,154,NA,NA,NA,NA
"2014","2","Arizona","Phoenix ","PHO",733,858,42,1425,NA,30,NA,81
"2014","2","Arizona","Tucson","TUC",257,299,12,495,NA,NA,NA,NA
"2014","2","Arkansas","Fort Smith ","FSA",52,92,NA,106,NA,NA,NA,NA
"2014","2","California","Chula Vista","CVC",449,464,43,713,NA,44,NA,19
"2014","2","California","Fresno ","FRE",333,492,14,593,NA,26,NA,22
"2014","2","California","Imperial","IMP",77,243,NA,153,NA,13,NA,NA
"2014","2","California","Los Angeles ","LOS",1464,1898,122,2697,NA,63,NA,115
"2014","2","California","Los Angeles County ","LAC",1342,1182,174,2917,NA,49,21,77
"2014","2","California","Sacramento ","SAC",439,498,50,779,NA,13,NA,NA
"2014","2","California","San Bernardino","SBD",965,1086,112,2075,NA,56,13,64
"2014","2","California","San Diego ","SND",409,554,38,615,NA,NA,NA,47
"2014","2","California","San Fernando Valley","SFV",840,923,69,1924,NA,18,NA,19
"2014","2","California","San Francisco","SFR",1261,1639,101,2472,NA,103,NA,96
"2014","2","California","San Jose ","SNJ",826,1017,31,1525,NA,82,NA,22
"2014","2","California","Santa Ana","SAA",918,999,69,2309,NA,61,NA,14
"2014","2","Colorado","Denver ","DEN",590,484,74,1689,NA,27,NA,19
"2014","2","Connecticut","Hartford ","HAR",527,402,92,1477,NA,12,NA,32
"2014","2","Delaware","Dover","DVD",NA,NA,NA,NA,NA,NA,NA,NA
"2014","2","District of Columbia","Washington ","WAS",890,1227,145,1689,NA,58,NA,26
"2014","2","Florida","Hialeah","HIA",405,541,36,831,NA,24,NA,22
"2014","2","Florida","Jacksonville","JAC",267,394,38,423,NA,12,NA,12
"2014","2","Florida","Kendall","KND",418,565,59,916,NA,30,NA,37
"2014","2","Florida","Miami ","MIA",732,454,121,2783,NA,17,17,148
"2014","2","Florida","Oakland Park","OKL",1041,1233,135,2133,NA,48,13,77
"2014","2","Florida","Orlando ","ORL",722,801,114,2167,NA,24,NA,33
"2014","2","Florida","Tampa ","TAM",737,459,83,1883,NA,27,NA,46
"2014","2","Florida","West Palm Beach","WPB",533,529,58,925,NA,25,NA,161
"2014","2","Georgia","Atlanta ","ATL",1268,2274,279,3460,NA,37,16,116
"2014","2","Hawaii","Honolulu ","HHW",237,207,10,611,NA,NA,NA,29
"2014","2","Idaho","Boise ","BOI",66,90,14,129,NA,NA,NA,NA
"2014","2","Illinois","Chicago ","CHI",1978,1281,158,6526,NA,79,NA,327
"2014","2","Indiana","Indianapolis ","INP",261,300,62,513,NA,10,NA,17
