city,listing_id,bathrooms,price_per_sqft,build_year,url,price,bedrooms,state,longitude,zip_code,partial_bathrooms,street,address,latitude,house_type,state_code,sqft,neighborhood
San Francisco,3259063924,2,0,,https://www.trulia.com/property/3259063924-1340-Broadway-San-Francisco-CA-94109,1595000,3,California,-122.41924,94109,,Broadway,"1340 Broadway, San Francisco, CA",37.796593,Condo,CA,,Russian Hill
San Francisco,3253923205,6,0,,https://www.trulia.com/property/3253923205-4306-21st-St-San-Francisco-CA-94114,4995000,6,California,-122.43912,94114,,21st St,"4306 21st Street, San Francisco, CA",37.755512,Single-Family Home,CA,,Noe Valley
San Francisco,3257851049,1,0,2014,https://www.trulia.com/property/3257851049-45-Bartlett-St-710-San-Francisco-CA-94110,795000,1,California,-122.41976,94110,,Bartlett St,"45 Bartlett Street #710, San Francisco, CA",37.756245,Condo,CA,,Mission
San Francisco,3257847423,0,0,,https://www.trulia.com/property/3257847423-4306-21st-St-San-Francisco-CA-94114,4995000,,California,-122.43912,94114,,21st St,"4306 21st Street, San Francisco, CA",37.755512,Multi-Family Home,CA,,Noe Valley
San Francisco,3258159950,1,0,,https://www.trulia.com/property/3258159950-150-Lombard-St-504-San-Francisco-CA-94111,849000,1,California,-122.4042,94111,0,Lombard St,"150 Lombard Street #504, San Francisco, CA",37.804066,Condo,CA,,Fisherman's Wharf
San Francisco,3257482831,0,0,1884,https://www.trulia.com/property/3257482831-10-Balmy-St-San-Francisco-CA-94110,1250000,,California,-122.41254,94110,,Balmy St,"10 Balmy Street, San Francisco, CA",37.752197,Multi-Family Home,CA,,Mission
San Francisco,3257948910,2,0,1981,https://www.trulia.com/property/3257948910-603-La-Salle-Ave-63-San-Francisco-CA-94124,549000,3,California,-122.3725,94124,2,La Salle Ave,"603 La Salle Avenue #63, San Francisco, CA",37.727383,Condo,CA,,Hunters Point
San Francisco,3258067286,2,1647.2377,,https://www.trulia.com/property/3258067286-1000-3rd-St-1001-San-Francisco-CA-94158,3250000,3,California,-122.38989,94158,,3rd St,"1000 3rd Street #1001, San Francisco, CA",37.773434,Condo,CA,1973,Mission Bay
San Francisco,3246522241,1,0,1990,https://www.trulia.com/property/3246522241-300-3rd-St-1412-San-Francisco-CA-94107,1099000,1,California,-122.399086,94107,,3rd St,"300 3rd Street #1412, San Francisco, CA",37.78318,Condo,CA,,SoMa
San Francisco,3157960775,1,0,1982,https://www.trulia.com/property/3157960775-900-Bush-St-302-San-Francisco-CA-94109,669500,1,California,-122.41273,94109,,Bush St,"900 Bush Street #302, San Francisco, CA",37.789944,Condo,CA,,Downtown
San Francisco,3257140177,3,0,1938,https://www.trulia.com/property/3257140177-2027-18th-Ave-San-Francisco-CA-94116,1350000,5,California,-122.47543,94116,,18th Ave,"2027 18th Avenue, San Francisco, CA",37.749992,Single-Family Home,CA,,Inner Parkside
San Francisco,3258001098,2,1373.7623,,https://www.trulia.com/property/3258001098-72-Townsend-St-702-San-Francisco-CA-94107,1665000,2,California,-122.39035,94107,,Townsend St,"72 Townsend Street #702, San Francisco, CA",37.781387,Condo,CA,1212,South Beach
San Francisco,3258064024,2,1403.2947,,https://www.trulia.com/property/3258064024-1000-3rd-St-1307-San-Francisco-CA-94158,2300000,3,California,-122.38989,94158,,3rd St,"1000 3rd Street #1307, San Francisco, CA",37.773434,Condo,CA,1639,Mission Bay
San Francisco,3055983891,2,996.6667,,https://www.trulia.com/property/3055983891-200-Brannan-St-205-San-Francisco-CA-94107,1495000,2,California,-122.39071,94107,0,Brannan St,"200 Brannan Street #205, San Francisco, CA",37.7836,Condo,CA,1500,South Beach
San Francisco,3258008526,3,1663.6904,,https://www.trulia.com/property/3258008526-849-Mason-St-2-San-Francisco-CA-94108,2795000,3,California,-122.411026,94108,0,Mason St,"849 Mason Street #2, San Francisco, CA",37.791447,Condo,CA,1680,Downtown
San Francisco,3099262457,2,1906.0352,,https://www.trulia.com/property/3099262457-425-1st-St-2702-San-Francisco-CA-94105,2495000,2,California,-122.392654,94105,,1st St,"425 1st Street #2702, San Francisco, CA",37.78604,Condo,CA,1309,South Beach
San Francisco,3258115680,2,0,1900,https://www.trulia.com/property/3258115680-1298-Treat-Ave-San-Francisco-CA-94110,1099000,3,California,-122.41287,94110,,Treat Ave,"1298 Treat Avenue, San Francisco, CA",37.74951,Condo,CA,,Mission
San Francisco,3252549194,1,0,,https://www.trulia.com/property/3252549194-2209-2211-Steiner-St-San-Francisco-CA-94115,2150000,2,California,-122.43589,94115,,Steiner St,"2209-2211 Steiner Street, San Francisco, CA",37.78983,Multi-Family Home,CA,,Pacific Heights
San Francisco,3238794551,2,888.3333,2016,https://www.trulia.com/property/3238794551-353-Monticello-St-San-Francisco-CA-94132,1599000,4,California,-122.47104,94132,,Monticello St,"353 Monticello Street, San Francisco, CA",37.720654,Single-Family Home,CA,1800,Merced Heights
San Francisco,3257234222,2,1586.3331,,https://www.trulia.com/property/3257234222-1000-3rd-St-1607-San-Francisco-CA-94158,2600000,3,California,-122.38989,94158,,3rd St,"1000 3rd Street #1607, San Francisco, CA",37.773434,Condo,CA,1639,Mission Bay
