address,price,floor_size,bathrooms,bedrooms,est_mortgage,zprice,latitude,longitude,FACTS,FEATURES,APPLIANCES INCLUDED,ROOM TYPES,CONSTRUCTION,ADDITIONAL FEATURES,OTHER,street,barough,state,zip
"2229 Knapp St APT 1H, Brooklyn, NY 11229",188888.0,950.0,1.0,2.0,740.0,1228.0,40.59841,-73.93362,"Cooperative, Built in 1952, 73 days on Zillow, Views since listing: 10,903, All time views: 10,972, 92 shoppers saved this home, HOA Fee: $995/mo, Parking: Garage - Detached, On street, Price/sqft: $199, View Virtual Tour","Cable Ready, Ceiling Fan, Disability Access, Double Pane/Storm Windows, Elevator, Flooring: Carpet, Hardwood, Tile, Garden, Intercom, Lawn, Porch, Security System, Transportation, View: City, Park, Wired","Dishwasher, Range / Oven, Refrigerator",Family room,"Exterior material: Brick, Cement concrete, Roof type: Composition, Structure type: Other",,"Floor size: 950 sqft, Zillow Home ID: 2096207777",2229 Knapp St APT 1H,Brooklyn,NY,11229
"71 Sullivan St APT 3A, New York, NY 10012",580000.0,,1.0,1.0,2263.0,918448.0,40.7244,-74.0039,"Cooperative, Built in 1900, 71 days on Zillow, Views since listing: 15,880, All time views: 19,374, 125 shoppers saved this home, HOA Fee: $942/mo, MLS #: 753479",Storage,,,"Room count: 3, Structure type: Loft, Unit count: 22","Eat-in Kitchen, Pre-War",Zillow Home ID: 2110636108,71 Sullivan St APT 3A,New York,NY,10012
"7507 Aquatic Dr, Arverne, NY 11692",699000.0,2238.0,3.0,3.0,2728.0,646523.0,40.58928,-73.80323,,"Cable Ready, Deck, Fenced Yard, Fireplace, Flooring: Hardwood, Linoleum / Vinyl, Parking: Garage - Attached, On street, 1 space, Patio, Security System, Wired","Dishwasher, Dryer, Garbage disposal, Range / Oven, Refrigerator, Washer","Breakfast nook, Dining room, Family room","Exterior material: Wood, Room count: 8",,"Floor size: 2,238 sqft, Heating: Gas, Laundry: In Unit, Zillow Home ID: 2096807699",7507 Aquatic Dr,Arverne,NY,11692
"1215 Jefferson Ave, Brooklyn, NY 11221",1349000.0,3390.0,4.0,6.0,5319.0,1387771.0,40.691125,-73.913775,,Patio,"Dryer, Washer",,"Stories: 2, Unit count: 3","Other, Smoke Free","Floor size: 3,390 sqft, Last remodel year: 1905, Laundry: In Unit, Parcel #: 033820047, Zillow Home ID: 30628723",1215 Jefferson Ave,Brooklyn,NY,11221
"3305 Fulton St, Brooklyn, NY 11208",509000.0,3600.0,2.0,6.0,1951.0,639086.0,40.68352,-73.87347,,Fireplace,,,"Exterior material: Brick, Stories: 3, Structure type: Other, Unit count: 1",,"Floor size: 3,600 sqft, Parcel #: 041290061, Zillow Home ID: 30642759",3305 Fulton St,Brooklyn,NY,11208
"815 Trinity Ave # M3, Bronx, NY 10456",260000.0,1181.0,2.0,3.0,997.0,125.0,40.820406,-73.907097,,"Cable Ready, Ceiling Fan, Flooring: Carpet, Hardwood, Garden, Gated Entry, Patio, Security System, Transportation",,Laundry room,"Exterior material: Other, Stories: 2, Structure type: Other, Unit count: 1",Finished storage area with extra closet spaces,"Floor size: 1,181 sqft, Heating: Electric, Gas, Parcel #: 026301003, Zillow Home ID: 29779073",815 Trinity Ave # M3,Bronx,NY,10456
"2649 E 23rd St # 3A, Brooklyn, NY 11235",500000.0,918.0,1.0,2.0,1917.0,590844.0,40.5877,-73.9462,,,Dishwasher,,,,"Floor size: 918 sqft, Zillow Home ID: 2096676558",2649 E 23rd St # 3A,Brooklyn,NY,11235
"49 Seafoam St, Staten Island, NY 10306",98000.0,612.0,1.0,2.0,388.0,159306.0,40.56386,-74.099045,,"View: Park, Water",,Dining room,"Exterior material: Other, Stories: 1, Structure type: Bungalow","Detached: Det, Eat In Kitchen: Y, Picture: Y, STATUS: A, Last Status Change: PC, Foreclose?: Y, Basement: None, Style: Cottage, Heat: -, County: O, Zone: 99, Fuel: -, # Fireplaces: 0, # Kitchens: 1, Dryer: 0, Washer: 0, Refrigerator: 0, MBR 1ST FLOOR: Y","Floor size: 612 sqft, Last remodel year: 1920, Parcel #: 040800012, Zillow Home ID: 32335808",49 Seafoam St,Staten Island,NY,10306
"4219 216th St, Bayside, NY 11361",1888000.0,,5.0,6.0,7444.0,1142932.0,40.76334,-73.76631,,"1300 sqft basement, Attic, Cable Ready, Double Pane/Storm Windows, Finished basement, Flooring: Hardwood, Tile, Vaulted Ceiling","Dishwasher, Dryer, Microwave, Range / Oven, Refrigerator, Washer","Dining room, Laundry room, Master bath",Room count: 14,,"Last remodel year: 2016, Laundry: In Unit, Zillow Home ID: 2096254076",4219 216th St,Bayside,NY,11361
"2649 E 23rd St # 1A, Brooklyn, NY 11235",315000.0,487.0,1.0,1.0,1208.0,442504.0,40.5877,-73.9462,"Condo, 95 days on Zillow, Views since listing: 8,115, All time views: 8,115, 56 shoppers saved this home, HOA Fee: $280/mo, Price/sqft: $647",,Dishwasher,,,,"Floor size: 487 sqft, Zillow Home ID: 2096428230",2649 E 23rd St # 1A,Brooklyn,NY,11235
