"Number.of.I.130.Alien.Relative.Petitions.by.Category.of.Relatives..Case.Status..and.USCIS.Field.Office.or.Service.Center.Location..","X","code","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8"
"Alaska","Anchorage ","ANC",73,113,12,154,NA,NA,NA,NA
"Arizona","Phoenix ","PHO",733,858,42,1425,NA,30,NA,81
"Arizona","Tucson","TUC",257,299,12,495,NA,NA,NA,NA
"Arkansas","Fort Smith ","FSA",52,92,NA,106,NA,NA,NA,NA
"California","Chula Vista","CVC",449,464,43,713,NA,44,NA,19
"California","Fresno ","FRE",333,492,14,593,NA,26,NA,22
"California","Imperial","IMP",77,243,NA,153,NA,13,NA,NA
"California","Los Angeles ","LOS",1464,1898,122,2697,NA,63,NA,115
"California","Los Angeles County ","LAC",1342,1182,174,2917,NA,49,21,77
"California","Sacramento ","SAC",439,498,50,779,NA,13,NA,NA
"California","San Bernardino","SBD",965,1086,112,2075,NA,56,13,64
"California","San Diego ","SND",409,554,38,615,NA,NA,NA,47
"California","San Fernando Valley","SFV",840,923,69,1924,NA,18,NA,19
"California","San Francisco","SFR",1261,1639,101,2472,NA,103,NA,96
"California","San Jose ","SNJ",826,1017,31,1525,NA,82,NA,22
"California","Santa Ana","SAA",918,999,69,2309,NA,61,NA,14
"Colorado","Denver ","DEN",590,484,74,1689,NA,27,NA,19
"Connecticut","Hartford ","HAR",527,402,92,1477,NA,12,NA,32
"Delaware","Dover","DVD",NA,NA,NA,NA,NA,NA,NA,NA
"District of Columbia","Washington ","WAS",890,1227,145,1689,NA,58,NA,26
"Florida","Hialeah","HIA",405,541,36,831,NA,24,NA,22
"Florida","Jacksonville","JAC",267,394,38,423,NA,12,NA,12
"Florida","Kendall","KND",418,565,59,916,NA,30,NA,37
"Florida","Miami ","MIA",732,454,121,2783,NA,17,17,148
"Florida","Oakland Park","OKL",1041,1233,135,2133,NA,48,13,77
"Florida","Orlando ","ORL",722,801,114,2167,NA,24,NA,33
"Florida","Tampa ","TAM",737,459,83,1883,NA,27,NA,46
"Florida","West Palm Beach","WPB",533,529,58,925,NA,25,NA,161
"Georgia","Atlanta ","ATL",1268,2274,279,3460,NA,37,16,116
"Hawaii","Honolulu ","HHW",237,207,10,611,NA,NA,NA,29
"Idaho","Boise ","BOI",66,90,14,129,NA,NA,NA,NA
"Illinois","Chicago ","CHI",1978,1281,158,6526,NA,79,NA,327
"Indiana","Indianapolis ","INP",261,300,62,513,NA,10,NA,17
"Iowa","Des Moines","DSM",111,108,15,232,NA,NA,NA,10
"Kansas","Wichita","WIC",88,104,NA,186,NA,NA,NA,11
"Kentucky","Louisville ","LOU",152,172,29,291,NA,NA,NA,10
"Louisiana","New Orleans ","NOL",291,467,39,643,NA,15,NA,13
"Maine","Portland ","POM",51,147,13,83,NA,NA,NA,NA
"Maryland","Baltimore ","BAL",953,1105,105,2311,NA,27,NA,43
"Massachusetts","Boston ","BOS",1003,960,133,2210,NA,19,NA,32
"Massachusetts","Lawrence","LAW",358,390,63,819,NA,NA,NA,31
"Michigan","Detroit ","DET",553,838,95,1348,NA,41,NA,201
"Minnesota","St. Paul ","SPM",441,649,98,942,NA,19,NA,37
"Missouri","Kansas City ","KAN",252,411,54,412,NA,NA,NA,30
"Missouri","St. Louis ","STL",153,208,29,347,NA,NA,NA,18
"Montana","Helena ","HEL",28,142,NA,62,NA,NA,NA,NA
"Nebraska","Omaha ","OMA",111,233,16,155,NA,26,NA,NA
"Nevada","Las Vegas ","LVG",521,588,42,849,NA,34,10,15
"Nevada","Reno ","REN",65,121,15,120,NA,NA,NA,NA
"New Hampshire","Manchester ","MAN",82,105,NA,168,NA,NA,NA,NA
"New Jersey","Mount Laurel","MTL",376,409,43,723,NA,NA,NA,40
"New Jersey","Newark ","NEW",1914,2447,165,4029,NA,58,NA,327
"New Mexico","Albuquerque ","ABQ",109,162,11,189,NA,NA,NA,NA
