"Number.of.I.130.Alien.Relative.Petitions.by.Category.of.Relatives..Case.Status..and.USCIS.Field.Office.or.Service.Center.Location..","X","code","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8"
"New York","Albany ","ALB",90,114,14,241,NA,NA,NA,NA
"New York","Buffalo ","BUF",153,256,25,386,NA,13,NA,NA
"New York","Long Island","LNY",1058,1133,23,2603,NA,13,NA,125
"New York","New York ","NYC",3478,5087,484,8374,NA,68,18,806
"New York","Queens","QNS",1267,1002,49,3264,NA,NA,NA,225
"North Carolina","Charlotte ","CLT",361,411,27,515,NA,11,NA,NA
"North Carolina","Raleigh","RAL",346,461,60,744,NA,14,NA,16
"Ohio","Cincinnati ","CIN",149,172,16,308,NA,NA,NA,NA
"Ohio","Cleveland ","CLE",186,256,39,283,NA,NA,NA,NA
"Ohio","Columbus","CLM",177,238,68,260,NA,NA,NA,NA
"Oklahoma","Oklahoma City ","OKC",235,117,18,762,NA,NA,NA,48
"Oregon","Portland ","POO",315,196,13,804,NA,11,NA,13
"Pennsylvania","Philadelphia","PHI",836,1004,86,1941,NA,33,NA,13
"Pennsylvania","Pittsburgh ","PIT",179,148,15,332,NA,10,NA,NA
"Rhode Island","Providence ","PRO",151,229,17,273,NA,NA,NA,NA
"South Carolina","Charleston ","CHL",205,339,65,433,NA,18,NA,NA
"Tennessee","Memphis ","MEM",345,504,60,695,NA,32,NA,24
"Texas","Dallas ","DAL",1447,1378,180,4563,NA,36,NA,231
"Texas","El Paso ","ELP",476,646,65,655,NA,NA,NA,43
"Texas","Harlingen ","HLG",565,829,77,906,NA,NA,NA,21
"Texas","Houston ","HOU",1902,1914,99,3255,NA,70,NA,341
"Texas","San Antonio ","SNA",1002,775,59,1874,NA,63,NA,62
"Utah","Salt Lake City ","SLC",403,412,47,874,NA,12,NA,25
"Vermont","St. Albans ","STA",29,89,11,52,NA,NA,NA,NA
"Virginia","Norfolk ","NOR",284,324,25,526,NA,NA,NA,NA
"Washington","Seattle ","SEA",685,610,47,1272,NA,10,NA,NA
"Washington","Spokane ","SPO",35,47,NA,40,NA,NA,NA,NA
"Washington","Yakima","YAK",74,195,NA,148,NA,NA,NA,NA
"Wisconsin","Milwaukee ","MIL",272,244,37,482,NA,NA,NA,14
"Service Center","California","WSC",319,47234,2484,19553,47689,32185,4879,373067
"Service Center","Nebraska","NSC",57050,52379,853,121977,1774,4448,624,5722
"Service Center","Texas","SSC",11605,30571,450,36952,329,1609,99,1454
"Service Center","Vermont","ESC",12322,4216,1946,31986,12572,11347,2663,142011
