"USCIS.Field.Office.or.Service.Center.Location","X","X.1","Petitions.by.Category.of.Relatives.and.Case.Status","X.2","X.3","X.4","X.5","X.6","X.7","X.8"
NA,NA,NA,"Immediate Relative1",NA,NA,NA,"All Other Relative1",NA,NA,NA
NA,NA,NA,"Petitions Received2","Approved3","Denied4","Pending5","Petitions Received2","Approved3","Denied4","Pending5"
"Total",NA,NA,"155,719","135,899","10,044","329,546","72,149","38,331","5,863","609,797"
"Alaska","Anchorage ","ANC","78","61"," D ","183"," -   "," D "," -   "," D "
"Arizona","Phoenix ","PHO","916","495","33","2,195"," D "," D "," D ","21"
"Arizona","Tucson","TUC","328","543"," D ","800"," -   ","10"," -   "," D "
"Arkansas","Fort Smith ","FSA","117","135"," D ","230"," -   "," D "," D "," D "
"California","Chula Vista","CVC"," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "
"California","Fresno ","FRE","613","430","40","1,056"," D "," D "," D ","32"
"California","Imperial","IMP","111","199","14","199"," D "," D "," -   "," D "
"California","Los Angeles ","LOS","1,532","1,357","71","3,310"," -   ","14"," D ","53"
"California","Los Angeles County ","LAC","1,804","1,379","170","3,528"," D ","16"," D ","46"
"California","Sacramento ","SAC","670","1,159","54","1,325"," D ","14"," D "," D "
"California","San Bernardino","SBD","1,427","1,412","81","2,455"," D ","10"," D ","33"
"California","San Diego ","SND","1,054","842","26","2,790"," D "," D "," D "," D "
"California","San Fernando Valley","SFV","1,030","819","74","2,695"," D ","34"," D ","11"
"California","San Francisco","SFR","1,739","1,356","42","4,898"," D ","19"," D ","36"
"California","San Jose ","SNJ","923","549","18","2,504"," D "," D "," D ","48"
"California","Santa Ana","SAA","1,280","894","69","3,475"," D ","20","15"," D "
"Colorado","Denver ","DEN","843","1,097","70","3,017"," D "," D "," D ","18"
"Connecticut","Hartford ","HAR","702","436","103","2,161"," D "," D "," D ","123"
"Delaware","Dover","DVD"," -   ","44"," -   "," D "," -   "," -   "," -   "," -   "
"District of Columbia","Washington ","WAS","1,224","368","44","3,765"," D ","10"," D ","146"
"Florida","Hialeah","HIA","602","659","34","1,530"," D "," D "," D ","12"
"Florida","Jacksonville","JAC","459","580","40","931"," D "," -   "," D "," D "
"Florida","Kendall","KND","491","186","34","1,646"," D ","10"," D "," D "
"Florida","Miami ","MIA","937","623","75","3,552"," D ","32"," D ","30"
"Florida","Fort Myers","OFM","90"," D "," -   ","903"," D "," -   "," -   ","10"
"Florida","Oakland Park","OKL","1,320","443","80","4,390"," D ","10"," D ","28"
"Florida","Orlando ","ORL","1,004","674","92","3,492"," D ","18"," D ","74"
"Florida","TAM","TAM","833","453","47","2,424"," D "," -   "," -   "," D "
"Florida","West Palm Beach","WPB","739","766","88","1,613"," D "," D "," -   ","137"
"Georgia","Atlanta ","ATL","2,157","1,946","133","5,026"," D ","48"," D ","75"
"Hawaii","Honolulu ","HHW","242","231","32","515"," -   ","10"," D "," D "
"Idaho","Boise ","BOI","101","414"," D ","206"," -   "," D "," -   "," -   "
"Illinois","Chicago ","CHI","2,635","1,920","139","6,223"," D ","58"," D ","191"
"Indiana","Indianapolis ","INP","412","394","57","797"," -   "," D "," D "," D "
"Iowa","Des Moines","DSM","129","57"," D ","499"," D "," D "," -   ","14"
"Kansas","Wichita","WIC","162","118"," D ","394"," -   "," -   "," -   "," D "
"Kentucky","Louisville ","LOU","171","169","23","418"," -   "," D "," D "," D "
"Louisiana","New Orleans ","NOL","338","326","26","782"," -   "," -   "," -   "," D "
"Maine","Portland ","POM","62","316","11","158"," -   "," D "," -   "," D "
"Maryland","Baltimore ","BAL","1,272","562","43","4,280"," -   "," D "," D ","236"
"Massachusetts","Boston ","BOS","1,430","1,371","134","4,130"," D ","16"," -   ","157"
"Massachusetts","Lawrence","LAW","474","482","71","1,102"," -   "," D "," D ","44"
"Michigan","Detroit ","DET","744","969","100","1,403"," D ","27"," -   ","175"
"Minnesota","St. Paul ","SPM","568","79","20","2,121"," -   "," D "," -   ","17"
"Missouri","Kansas City ","KAN","422","592","13","733"," D "," D "," D "," D "
"Missouri","St. Louis ","STL","188","49"," D ","938"," -   "," D "," -   "," -   "
"Montana","Helena ","HEL","34","189"," D ","199"," -   "," D "," -   "," -   "
"Nebraska","Omaha ","OMA","125","308","46","494"," -   "," D "," D "," -   "
"Nevada","Las Vegas ","LVG","738","229","57","2,240"," D "," D "," D "," D "
"Nevada","Reno ","REN","115","330","19","539"," -   "," -   "," -   "," D "
"New Hampshire","Manchester ","MAN","88","120"," D ","231"," -   "," D "," D "," D "
"New Jersey","Mount Laurel","MTL","532","691","64","1,154"," D "," D "," D ","20"
"New Jersey","Newark ","NEW","2,672","2,207","147","9,057"," D ","16","10","129"
"New Mexico","Albuquerque ","ABQ","200","294","12","363"," D "," D "," -   "," D "
"New York","Albany ","ALB","126","58"," D ","341"," -   "," -   "," -   ","26"
"New York","Buffalo ","BUF","211","366","37","671"," -   ","26"," D ","61"
"New York","Long Island","LNY","1,531","780","60","5,338"," D ","19"," D ","228"
"New York","New York ","NYC","4,429","2,570","251","15,353"," D ","62"," D ","698"
"New York","Queens","QNS","1,424","842","106","5,075"," -   ","13","15","179"
"North Carolina","Charlotte ","CLT","534","324","19","1,215"," D "," D "," D "," D "
"North Carolina","Raleigh","RAL","574","674","32","1,024"," D "," D "," D "," D "
"Ohio","Cincinnati ","CIN","191","187","12","351"," -   ","12"," D "," -   "
"Ohio","Cleveland ","CLE","231","269","27","457"," -   "," D "," D "," D "
"Ohio","Columbus","CLM","238","250","22","453"," -   "," D "," -   "," D "
"Oklahoma","Oklahoma City ","OKC","359","190","18","1,069"," -   ","11"," -   ","19"
"Oregon","Portland ","POO","460","505","34","823"," -   "," D "," D "," D "
"Pennsylvania","Philadelphia","PHI","1,185","1,348","109","3,192"," D ","72"," D ","44"
"Pennsylvania","Pittsburgh ","PIT","216","238","18","482"," D "," -   "," -   "," D "
"Rhode Island","Providence ","PRO","233","326","33","512"," D "," D "," -   "," D "
"South Carolina","Charleston ","CHL","298","364","39","741"," -   "," D "," -   "," D "
"Tennessee","Memphis ","MEM","540","613","26","1,292"," -   ","24"," D ","38"
"Texas","Dallas ","DAL","2,274","1,652","135","8,079"," D ","10"," D ","268"
"Texas","El Paso ","ELP","633","605","19","1,561"," -   "," D "," D ","53"
"Texas","Harlingen ","HLG","717","711","47","1,701"," D "," D "," D "," D "
"Texas","Houston ","HOU","2,801","851","155","9,700"," D ","21"," D ","171"
"Texas","San Antonio ","SNA","1,385","608","30","3,559"," D "," D "," D ","47"
"Utah","Salt Lake City ","SLC","613","711","15","1,006"," D "," D "," D ","14"
"Vermont","St. Albans ","STA","40","83"," D ","143"," -   "," D "," -   "," -   "
"Virginia","Norfolk ","NOR","371","411","37","1,034"," -   "," D "," D ","23"
"Washington","Seattle ","SEA","992","507","48","2,305"," D ","17"," D "," D "
"Washington","Spokane ","SPO","58","98"," D ","119"," -   "," -   "," -   "," -   "
"Washington","Yakima","YAK","124","158"," D ","218"," D "," D "," D "," D "
"Wisconsin","Milwaukee ","MIL","327","311","25","702"," -   "," D "," D ","31"
