"Number.of.I.130.Alien.Relative.Petitions.by.Category.of.Relatives..Case.Status..and.USCIS.Field.Office.or.Service.Center.Location..","X","code","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8"
"Alaska","Anchorage ","ANC","58","110"," D ","105"," -   "," D "," -   "," D "
"Arizona","Phoenix ","PHO","894","782","42","1,602"," -   ","25"," D ","105"
"Arizona","Tucson","TUC","348","280","14","575"," -   "," D "," -   "," D "
"Arkansas","Fort Smith ","FSA","90","74"," D ","119"," -   "," D "," -   "," D "
"California","Chula Vista","CVC","521","422","26","754"," D "," D "," -   "," D "
"California","Fresno ","FRE","432","362","13","783"," D ","22"," D ","29"
"California","Imperial","IMP","97","125","13","171"," -   "," D "," -   ","10"
"California","Los Angeles ","LOS","1,700","1,658","97","2,949"," -   "," D "," D ","134"
"California","Los Angeles County ","LAC","1,698","1,102","114","3,645"," D ","17"," D ","66"
"California","Sacramento ","SAC","498","478","50","923"," -   "," D "," D "," D "
"California","San Bernardino","SBD","1,237","1,028","43","2,466"," D ","24"," D ","10"
"California","San Diego ","SND","407","384","30","701"," -   ","16"," -   ","24"
"California","San Fernando Valley","SFV","997","1,016","72","1,995"," D ","11"," -   ","36"
"California","San Francisco","SFR","1,507","1,494","71","2,646"," D ","50"," D ","69"
"California","San Jose ","SNJ","959","940","27","1,520"," D ","24"," D "," D "
"California","Santa Ana","SAA","966","1,045","56","2,401"," -   ","11"," D "," D "
"Colorado","Denver ","DEN","698","386","77","2,104"," -   ","26"," D "," D "
"Connecticut","Hartford ","HAR","567","503","59","1,624"," -   "," -   "," -   "," D "
"Delaware","Dover","DVD","","","","","","","",""
"District of Columbia","Washington ","WAS","1,001","843","128","2,203"," -   ","11"," D ","35"
"Florida","Hialeah","HIA","481","436","40","929"," D ","17"," D ","30"
"Florida","Jacksonville","JAC","309","354","45","494"," D "," D "," -   ","12"
"Florida","Kendall","KND","462","370","48","1,070"," D ","12"," D ","32"
"Florida","Miami ","MIA","883","834","86","2,806"," D ","32"," D ","128"
"Florida","Oakland Park","OKL","1,137","970","114","2,445"," D ","29"," D ","63"
"Florida","Orlando ","ORL","768","676","85","2,307"," D "," D "," D ","26"
"Florida","TAM","TAM","771","503","72","2,244"," D ","21"," D ","31"
"Florida","West Palm Beach","WPB","591","605","59","930"," -   ","27"," D "," D "
"Georgia","Atlanta ","ATL","1,546","2,149","273","2,611"," D ","84"," D ","30"
"Hawaii","Honolulu ","HHW","266","220","14","653"," -   "," D "," -   ","34"
"Idaho","Boise ","BOI","80","85"," D ","119"," -   "," -   "," -   "," D "
"Illinois","Chicago ","CHI","2,028","1,649","183","6,722"," -   ","30"," D ","300"
"Indiana","Indianapolis ","INP","293","296","37","534"," -   "," D "," -   ","10"
"Iowa","Des Moines","DSM","103","87"," D ","273"," D "," D "," -   ","14"
"Kansas","Wichita","WIC","141","100"," D ","225"," -   "," -   "," -   ","10"
"Kentucky","Louisville ","LOU","145","166","20","306"," -   "," D "," -   ","12"
"Louisiana","New Orleans ","NOL","323","405","34","541"," -   ","20"," D "," D "
"Maine","Portland ","POM","48","73","10","79"," -   "," -   "," -   "," D "
"Maryland","Baltimore ","BAL","1,063","963","83","2,553"," -   ","22"," D ","18"
"Massachusetts","Boston ","BOS","1,103","1,094","73","2,338"," D ","15"," D ","24"
"Massachusetts","Lawrence","LAW","440","403","36","871"," -   "," D "," D ","23"
"Michigan","Detroit ","DET","594","719","68","1,343"," D ","28"," -   ","176"
