"Number.of.I.130.Alien.Relative.Petitions.by.Category.of.Relatives..Case.Status..and.USCIS.Field.Office.or.Service.Center.Location..","X","code","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8"
"Minnesota","St. Paul ","SPM","485","497","43","962"," -   ","11"," -   ","28"
"Missouri","Kansas City ","KAN","305","286","35","449"," -   ","11"," D ","23"
"Missouri","St. Louis ","STL","146","186","17","334"," -   "," D "," -   ","10"
"Montana","Helena ","HEL","32","121"," D ","101"," -   "," -   "," -   "," D "
"Nebraska","Omaha ","OMA","120","77","14","247"," -   "," D "," -   "," D "
"Nevada","Las Vegas ","LVG","616","427","28","986"," D "," D "," D ","20"
"Nevada","Reno ","REN","73","99","13","168"," -   "," D "," -   "," D "
"New Hampshire","Manchester ","MAN","86","125"," D ","140"," -   "," -   "," -   "," D "
"New Jersey","Mount Laurel","MTL","434","442","40","691"," -   "," D "," -   ","14"
"New Jersey","Newark ","NEW","2,117","2,093","156","4,151"," D ","71","11","274"
"New Mexico","Albuquerque ","ABQ","162","102","12","260"," -   "," -   "," -   "," D "
"New York","Albany ","ALB","106","102"," D ","239"," -   "," D "," -   ","11"
"New York","Buffalo ","BUF","198","224","26","479"," -   "," D "," D ","16"
"New York","Long Island","LNY","1,291","995","33","2,750"," D ","12"," D ","50"
"New York","New York ","NYC","3,940","4,204","636","9,450"," D ","54","20","365"
"New York","Queens","QNS","1,365","1,803","38","2,880"," D "," D "," D ","40"
"North Carolina","Charlotte ","CLT","398","415","42","580"," D "," D "," -   "," D "
"North Carolina","Raleigh","RAL","431","358","45","826"," -   "," D "," D "," D "
"Ohio","Cincinnati ","CIN","136","186"," D ","272"," -   "," D "," -   "," D "
"Ohio","Cleveland ","CLE","218","214","17","330"," -   "," D "," -   "," -   "
"Ohio","Columbus","CLM","235","215","41","304"," -   "," D "," -   "," D "
"Oklahoma","Oklahoma City ","OKC","264","133","22","990"," D ","10"," D ","36"
"Oregon","Portland ","POO","377","192","27","927"," D "," D "," D "," D "
"Pennsylvania","Philadelphia","PHI","947","924","81","2,018"," -   ","11"," -   ","12"
"Pennsylvania","Pittsburgh ","PIT","208","135","17","352"," -   "," D "," -   "," D "
"Rhode Island","Providence ","PRO","176","172","27","288"," -   "," D "," -   "," D "
"South Carolina","Charleston ","CHL","252","271","30","422"," -   "," D "," D "," D "
"Tennessee","Memphis ","MEM","395","385","30","756"," D ","15"," -   ","12"
"Texas","Dallas ","DAL","1,757","1,616","141","4,808"," D ","24"," D ","238"
"Texas","El Paso ","ELP","666","480","25","832"," D "," D "," D ","42"
"Texas","Harlingen ","HLG","685","555","35","1,026"," D ","15"," D "," D "
"Texas","Houston ","HOU","2,065","1,838","158","3,423"," -   ","46"," D ","463"
"Texas","San Antonio ","SNA","1,179","1,319","41","1,748"," D ","39"," D ","31"
"Utah","Salt Lake City ","SLC","442","383","24","990"," D ","12"," D ","22"
"Vermont","St. Albans ","STA","23","63"," D ","135"," -   "," -   "," -   "," -   "
"Virginia","Norfolk ","NOR","304","295","34","531"," -   "," D "," -   "," -   "
"Washington","Seattle ","SEA","710","420","37","1,436"," -   "," D "," -   "," D "
"Washington","Spokane ","SPO","41","59"," D ","59"," -   "," -   "," -   "," -   "
"Washington","Yakima","YAK","76","203","10","98"," -   "," D "," D "," D "
"Wisconsin","Milwaukee ","MIL","262","315","34","540"," D "," D "," -   ","13"
"Service Center","California","WSC","2,245","12,850","3,044","6,655","54,094","49,439","4,242","374,442"
"Service Center","Nebraska","NSC","62,686","49,570","1,840","127,601","2,013","2,532","430","4,985"
"Service Center","Texas","SSC","13,097","23,844","1,179","23,756","396","1,082","153","831"
"Service Center","Vermont","ESC","13,836","14,699","1,324","30,130","14,055","5,418","2,511","149,042"
