"USCIS.Field.Office.or.Service.Center.Location","X","code","Petitions.by.Category.of.Relatives.and.Case.Status","X.1","X.2","X.3","X.4","X.5","X.6","X.7"
"Alaska","Anchorage ","ANC",74,117,NA,114,NA,NA,NA,NA
"Arizona","Phoenix ","PHO",784,801,40,1803,NA,NA,NA,10
"Arizona","Tucson","TUC",233,283,14,520,NA,NA,NA,NA
"Arkansas","Fort Smith ","FSA",71,101,NA,117,NA,NA,NA,NA
"California","Chula Vista","CVC",464,380,11,861,NA,NA,NA,13
"California","Fresno ","FRE",428,352,NA,939,NA,NA,NA,43
"California","Imperial","IMP",103,160,NA,161,NA,NA,NA,NA
"California","Los Angeles ","LOS",1480,1759,96,3260,NA,NA,NA,80
"California","Los Angeles County ","LAC",1506,1216,150,4092,NA,11,NA,54
"California","Sacramento ","SAC",514,496,37,973,NA,NA,NA,NA
"California","San Bernardino","SBD",1151,902,58,2980,NA,NA,NA,47
"California","San Diego ","SND",468,295,23,946,NA,NA,NA,12
"California","San Fernando Valley","SFV",899,737,70,2444,NA,NA,NA,86
"California","San Francisco","SFR",1434,1462,58,2773,NA,25,NA,74
"California","San Jose ","SNJ",887,761,37,1738,NA,30,NA,13
"California","Santa Ana","SAA",933,983,81,2162,NA,15,NA,11
"Colorado","Denver ","DEN",690,489,93,2277,NA,NA,NA,NA
"Connecticut","Hartford ","HAR",645,674,85,1607,NA,NA,NA,NA
"Delaware","Dover","DVD",NA,NA,NA,NA,NA,NA,NA,NA
"District of Columbia","Washington ","WAS",1071,775,78,2547,NA,12,NA,21
"Florida","Hialeah","HIA",449,422,34,1003,NA,14,NA,18
"Florida","Jacksonville","JAC",345,283,26,576,NA,NA,NA,13
"Florida","Kendall","KND",393,608,52,911,NA,15,NA,23
"Florida","Miami ","MIA",761,1262,69,2337,NA,34,NA,102
"Florida","Oakland Park","OKL",963,793,95,2728,NA,24,NA,56
"Florida","Orlando ","ORL",740,899,94,2130,NA,25,NA,11
"Florida","TAM","TAM",672,734,70,2260,NA,21,NA,13
"Florida","West Palm Beach","WPB",499,478,63,1062,NA,15,NA,NA
"Georgia","Atlanta ","ATL",1509,1554,111,2743,NA,24,NA,14
"Hawaii","Honolulu ","HHW",265,208,23,652,NA,NA,NA,10
"Idaho","Boise ","BOI",70,146,24,103,NA,NA,NA,NA
"Illinois","Chicago ","CHI",2068,2288,118,6414,NA,88,NA,224
"Indiana","Indianapolis ","INP",281,338,37,599,NA,11,NA,NA
"Iowa","Des Moines","DSM",125,47,NA,344,NA,NA,NA,23
"Kansas","Wichita","WIC",121,141,NA,203,NA,NA,NA,11
"Kentucky","Louisville ","LOU",163,212,29,401,NA,NA,NA,NA
"Louisiana","New Orleans ","NOL",339,391,48,505,NA,NA,NA,NA
"Maine","Portland ","POM",56,57,NA,73,NA,NA,NA,NA
"Maryland","Baltimore ","BAL",1028,1128,96,2369,NA,12,NA,13
"Massachusetts","Boston ","BOS",1141,1105,78,2297,NA,NA,NA,37
"Massachusetts","Lawrence","LAW",388,289,33,1034,NA,NA,NA,31
"Michigan","Detroit ","DET",599,786,81,1227,NA,43,NA,125
"Minnesota","St. Paul ","SPM",527,347,65,1073,NA,22,NA,NA
"Missouri","Kansas City ","KAN",282,224,23,580,NA,NA,NA,22
"Missouri","St. Louis ","STL",156,178,14,338,NA,NA,NA,NA
"Montana","Helena ","HEL",31,142,12,48,NA,NA,NA,NA
