"USCIS.Field.Office.or.Service.Center.Location","X","code","Petitions.by.Category.of.Relatives.and.Case.Status","X.1","X.2","X.3","X.4","X.5","X.6","X.7"
"Nebraska","Omaha ","OMA",128,175,NA,297,NA,NA,NA,NA
"Nevada","Las Vegas ","LVG",575,582,75,1016,NA,16,NA,NA
"Nevada","Reno ","REN",73,118,13,140,NA,NA,NA,NA
"New Hampshire","Manchester ","MAN",86,87,NA,152,NA,NA,NA,NA
"New Jersey","Mount Laurel","MTL",403,399,40,698,NA,NA,NA,15
"New Jersey","Newark ","NEW",2193,2175,173,3518,NA,22,NA,25
"New Mexico","Albuquerque ","ABQ",179,157,10,272,NA,NA,NA,NA
"New York","Albany ","ALB",104,91,NA,246,NA,NA,NA,13
"New York","Buffalo ","BUF",197,270,26,474,NA,11,NA,60
"New York","Long Island","LNY",1270,988,46,3060,NA,10,NA,74
"New York","New York ","NYC",3658,4385,758,8161,NA,43,19,315
"New York","Queens","QNS",1253,1415,42,2814,NA,11,NA,72
"North Carolina","Charlotte ","CLT",445,498,34,790,NA,NA,NA,NA
"North Carolina","Raleigh","RAL",377,464,38,738,NA,NA,NA,27
"Ohio","Cincinnati ","CIN",115,129,NA,321,NA,NA,NA,NA
"Ohio","Cleveland ","CLE",214,229,19,379,NA,NA,NA,NA
"Ohio","Columbus","CLM",222,316,35,304,NA,NA,NA,NA
"Oklahoma","Oklahoma City ","OKC",283,320,25,969,NA,18,NA,18
"Oregon","Portland ","POO",356,262,NA,1052,NA,NA,NA,NA
"Pennsylvania","Philadelphia","PHI",991,1025,77,2075,NA,12,NA,20
"Pennsylvania","Pittsburgh ","PIT",184,149,21,394,NA,NA,NA,NA
"Rhode Island","Providence ","PRO",165,182,21,298,NA,NA,NA,NA
"South Carolina","Charleston ","CHL",230,265,36,399,NA,NA,NA,NA
"Tennessee","Memphis ","MEM",435,461,42,720,NA,NA,NA,NA
"Texas","Dallas ","DAL",1777,790,217,5624,NA,18,NA,238
"Texas","El Paso ","ELP",559,676,34,868,NA,12,NA,38
"Texas","Harlingen ","HLG",600,566,39,984,NA,NA,NA,10
"Texas","Houston ","HOU",2063,2042,262,2934,NA,153,NA,399
"Texas","San Antonio ","SNA",1064,1204,54,1722,NA,64,NA,27
"Utah","Salt Lake City ","SLC",472,564,15,958,NA,10,NA,21
"Vermont","St. Albans ","STA",36,40,12,133,NA,NA,NA,NA
"Virginia","Norfolk ","NOR",317,243,26,636,NA,NA,NA,NA
"Washington","Seattle ","SEA",724,479,54,1587,NA,NA,NA,10
"Washington","Spokane ","SPO",42,63,NA,75,NA,NA,NA,NA
"Washington","Yakima","YAK",69,193,12,102,NA,NA,NA,NA
"Wisconsin","Milwaukee ","MIL",272,308,54,458,NA,NA,NA,12
"Service Center","California","WSC",1972,21383,2026,10076,44598,53322,6415,361325
"Service Center","Nebraska","NSC",52469,43849,1813,105587,1642,2438,185,3786
"Service Center","Texas","SSC",11563,11417,952,23665,303,431,173,769
"Service Center","Vermont","ESC",12225,16000,2080,24824,11861,6050,2749,152854
