"USCIS.Field.Office.or.Service.Center.Location","X","X.1","Petitions.by.Category.of.Relatives.and.Case.Status","X.2","X.3","X.4","X.5","X.6","X.7","X.8"
NA,NA,NA,"Immediate Relative1","Immediate Relative1","Immediate Relative1","Immediate Relative1","All Other Relative1","All Other Relative1","All Other Relative1","All Other Relative1"
NA,NA,NA,"Petitions Received2","Approved3","Denied4","Pending5","Petitions Received2","Approved3","Denied4","Pending5"
"Total",NA,NA,"136,376","137,493","8,770","295,267","60,088","40,249","7,760","479,481"
"Alaska","Anchorage ","ANC","66","65"," D ","174"," -   "," -   "," D "," D "
"Arizona","Phoenix ","PHO","904","876","33","2,827"," D "," D "," D ","80"
"Arizona","Tucson","TUC","334","389","15","587"," D "," D "," -   "," D "
"Arkansas","Fort Smith ","FSA","82","117","10","190"," -   "," D "," -   "," D "
"California","Chula Vista","CVC","507","368","31","1,237"," D "," D "," -   "," D "
"California","Fresno ","FRE","512","417","15","1,255"," -   "," D "," -   ","40"
"California","Imperial","IMP","87","253"," D ","189"," -   "," -   "," -   "," D "
"California","Los Angeles ","LOS","1,618","2,175","146","5,244"," -   ","59"," D ","104"
"California","Los Angeles County ","LAC","1,600","1,660","108","2,499"," D ","15"," -   ","41"
"California","Sacramento ","SAC","537","1,088","39","1,815"," D ","15"," D "," D "
"California","San Bernardino","SBD","1,254","1,667","125","2,163"," -   ","17"," D ","75"
"California","San Diego ","SND","429","254","19","1,162"," D "," D "," D ","21"
"California","San Fernando Valley","SFV","968","1,027","84","2,247"," D "," D "," D ","127"
"California","San Francisco","SFR","1,412","1,774","53","3,322"," -   ","28","12","110"
"California","San Jose ","SNJ","931","921","33","1,584"," -   ","10"," D ","10"
"California","Santa Ana","SAA","1,102","680","53","3,399"," -   "," D "," D "," D "
"Colorado","Denver ","DEN","799","347","60","3,170"," D ","15"," D "," D "
"Connecticut","Hartford ","HAR","570","274","103","1,846"," D "," D "," D ","80"
"Connecticut","Delaware",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Connecticut","Dover","DVD"," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "
"District of Columbia","Washington ","WAS","970","787","52","3,108"," D "," D "," D ","44"
"Florida","Hialeah","HIA","538","922","49","1,211"," D "," D "," D "," D "
"Florida","Jacksonville","JAC","410","392","32","849"," -   "," D "," D "," D "
"Florida","Kendall","KND","456","763","38","784"," -   ","11"," D "," D "
"Florida","Miami ","MIA","912","566","45","3,009"," D "," D "," D ","56"
"Florida","Oakland Park","OKL","1,133","1,673","130","2,234"," D ","31"," D ","80"
"Florida","Orlando ","ORL","908","944","96","2,099"," D "," D "," D ","61"
"Florida","TAM","TAM","816","814","124","2,164"," D ","16"," D ","123"
"Florida","West Palm Beach","WPB","570","792","55","1,401"," D "," D "," D "," D "
"Georgia","Atlanta ","ATL","1,774","1,566","87","4,401"," D ","25"," D ","40"
"Hawaii","Honolulu ","HHW","258","282","33","477"," D "," D "," -   "," D "
"Idaho","Boise ","BOI","88","468"," D ","353"," D "," D "," -   "," D "
"Illinois","Chicago ","CHI","2,447","1,956","117","6,843"," D ","55"," D ","276"
"Indiana","Indianapolis ","INP","322","381","31","637"," -   "," D "," D "," D "
"Iowa","Des Moines","DSM","119","110","15","302"," -   "," D "," -   "," D "
"Kansas","Wichita","WIC","133","120"," D ","290"," -   "," D "," D "," -   "
"Kentucky","Louisville ","LOU","186","221","24","465"," -   "," D "," -   "," D "
"Louisiana","New Orleans ","NOL","345","493","42","541"," D "," D "," D "," D "
"Maine","Portland ","POM","55","315"," D ","191"," -   "," -   "," -   "," -   "
"Maryland","Baltimore ","BAL","1,170","880","82","3,969"," -   ","13"," D ","12"
"Massachusetts","Boston ","BOS","1,297","638","33","3,787"," -   ","15"," -   ","56"
"Massachusetts","Lawrence","LAW","432","314","25","1,415"," -   ","11"," -   "," D "
"Michigan","Detroit ","DET","638","393","58","2,037"," -   ","27"," D ","323"
"Minnesota","St. Paul ","SPM","512","595","42","1,205"," D "," D "," -   ","24"
"Missouri","Kansas City ","KAN","290","609","25","524"," -   "," D "," -   ","10"
"Missouri","St. Louis ","STL","161","203","12","553"," -   "," D "," -   "," D "
"Montana","Helena ","HEL","46","158"," D ","97"," -   "," -   "," -   "," -   "
"Nebraska","Omaha ","OMA","154","477","41","308"," D ","19"," D "," D "
"Nevada","Las Vegas ","LVG","652","628","38","1,993"," D "," D "," D ","26"
"Nevada","Reno ","REN","80","204","13","376"," D "," -   "," -   "," D "
"New Hampshire","Manchester ","MAN","114","293"," D ","361"," -   "," D "," D "," D "
"New Jersey","Mount Laurel","MTL","499","1,112","53","942"," -   "," D "," D "," D "
"New Jersey","Newark ","NEW","2,148","1,886","135","5,712"," D ","25"," D ","70"
"New Mexico","Albuquerque ","ABQ","192","298","12","252"," -   "," D "," -   "," D "
"New York","Albany ","ALB","123","126"," D ","363"," -   "," D "," -   ","11"
"New York","Buffalo ","BUF","184","421","85","768"," -   ","10"," D ","103"
"New York","Long Island","LNY","1,362","679","40","4,800"," D ","21"," D ","81"
"New York","New York ","NYC","4,005","3,610","449","11,722"," D ","66","13","450"
"New York","Queens","QNS","1,395","32","31","5,380"," -   "," D "," D ","172"
"North Carolina","Charlotte ","CLT","433","428","29","667"," -   "," D "," D "," D "
"North Carolina","Raleigh","RAL","495","647","45","914"," -   ","20"," -   "," D "
"Ohio","Cincinnati ","CIN","158","151","17","349"," -   "," -   "," -   "," D "
"Ohio","Cleveland ","CLE","207","254","19","387"," -   "," D "," D "," D "
"Ohio","Columbus","CLM","234","316","54","369"," -   "," -   "," -   "," D "
"Oklahoma","Oklahoma City ","OKC","304","216","14","1,011"," -   ","18"," D ","41"
"Oregon","Portland ","POO","375","387","19","845"," -   "," D "," D "," D "
"Pennsylvania","Philadelphia","PHI","1,055","1,337","117","2,339"," -   "," D "," -   "," D "
"Pennsylvania","Pittsburgh ","PIT","201","118"," D ","910"," -   "," -   "," -   "," D "
