"USCIS.Field.Office.or.Service.Center.Location","X","X.1","Petitions.by.Category.of.Relatives.and.Case.Status","X.2","X.3","X.4","X.5","X.6","X.7","X.8"
"Rhode Island","Providence ","PRO","134","502","20","329"," -   "," D "," -   "," D "
"South Carolina","Charleston ","CHL","285","195","16","709"," -   "," D "," -   "," D "
"Tennessee","Memphis ","MEM","486","587","23","1,066"," -   "," D "," -   ","63"
"Texas","Dallas ","DAL","1,997","1,500","103","7,905"," D ","10"," D ","242"
"Texas","El Paso ","ELP","572","726","22","1,144"," D ","14"," D ","22"
"Texas","Harlingen ","HLG","664","895","22","1,288"," D "," D "," D ","19"
"Texas","Houston ","HOU","2,359","1,468","145","5,606"," D ","29"," D ","35"
"Texas","San Antonio ","SNA","1,216","1,279","25","2,686"," D ","19"," D ","46"
"Utah","Salt Lake City ","SLC","489","674","26","929"," D ","13"," D ","22"
"Vermont","St. Albans ","STA","27","55"," D ","112"," -   "," D "," -   "," -   "
"Virginia","Norfolk ","NOR","339","351","34","919"," -   "," D "," D "," D "
"Washington","Seattle ","SEA","810","541","42","2,034"," -   ","10"," D "," D "
"Washington","Spokane ","SPO","45","68"," D ","123"," -   "," D "," -   "," D "
"Washington","Yakima","YAK","103","173"," D ","120"," D "," D "," D "," D "
"Wisconsin","Milwaukee ","MIL","254","319","28","554"," -   "," -   "," -   ","17"
"Service Center","California","WSC","15,134","13,328","923","20,638","58,015","35,106","6,566","329,654"
"Service Center","Nebraska","NSC","54,825","52,516","2,551","96,093","1,693","1,474","184","3,567"
"Service Center","Texas","SSC","11,342","11,883","524","22,886","307","268","143","655"
"Service Center","Vermont","ESC"," D ","4,651","784","8,789"," D ","2,585","700","142,259"
