"USCIS.Field.Office.or.Service.Center.Location","X","X.1","Petitions.by.Category.of.Relatives.and.Case.Status","X.2","X.3","X.4","X.5","X.6","X.7","X.8"
NA,NA,NA,"Immediate Relative1",NA,NA,NA,"All Other Relative1",NA,NA,NA
NA,NA,NA,"Petitions Received2","Approved3","Denied4","Pending5","Petitions Received2","Approved3","Denied4","Pending5"
"Total",NA,NA,"142,702","142,278","9,511","292,841","65,302","37,036","5,383","537,609"
"Alaska","Anchorage ","ANC","60","43"," D ","177"," -   "," D "," -   "," -   "
"Arizona","Phoenix ","PHO","841","1,269","129","1,562"," D ","28"," D ","27"
"Arizona","Tucson","TUC","312","460"," D ","604"," -   "," D "," -   ","11"
"Arkansas","Fort Smith ","FSA","94","171"," D "," om "," -   "," D "," -   "," -   "
"California","Chula Vista","CVC","327","198","12"," -   "," -   "," D "," D "," -   "
"California","Fresno ","FRE","444","414","36","916"," D "," D "," D ","48"
"California","Imperial","IMP","94","192"," D ","163"," -   "," -   "," D "," -   "
"California","Los Angeles ","LOS","1,406","1,425","164","2,743"," D ","27"," D ","36"
"California","Los Angeles County ","LAC","1,453","1,302","93","3,291"," D "," D "," D ","85"
"California","Sacramento ","SAC","628","651","47","1,976"," -   "," D "," -   "," D "
"California","San Bernardino","SBD","1,265","1,082","93","1,845"," D "," D "," D ","47"
"California","San Diego ","SND","705","203","18","2,762"," -   "," D "," D "," D "
"California","San Fernando Valley","SFV","942","1,063","82","2,179"," -   ","10"," D ","58"
"California","San Francisco","SFR","1,514","1,287","54","3,765"," D ","13"," D ","50"
"California","San Jose ","SNJ","756","943","35","1,538"," D ","12"," D ","37"
"California","Santa Ana","SAA","1,117","916","94","2,786"," -   ","32"," D "," D "
"Colorado","Denver ","DEN","845","475","50","3,183"," D ","18"," D ","40"
"Connecticut","Hartford ","HAR","636","603","126","1,817"," -   "," -   "," -   ","102"
"   Delaware","Dover","DVD"," -   ","101"," -   ","14"," -   "," -   "," -   "," -   "
"District of Columbia","Washington ","WAS","960","1,083","82","3,099"," -   ","10"," -   ","116"
"Florida","Hialeah","HIA","522","621","32","1,130"," D "," D "," D ","22"
"Florida","Jacksonville","JAC","338","343","22","903"," D "," D "," D "," D "
"Florida","Kendall","KND","444","535","38","992"," D "," D "," D "," D "
"Florida","Miami ","MIA","889","650","63","2,831"," D ","17"," D ","66"
"Florida","Oakland Park","OKL","1,250","987","81","2,845"," D ","13","15","31"
"Florida","Orlando ","ORL","871","975","89","2,647"," D ","25"," -   ","97"
"Florida","TAM","TAM","802","905","74","2,077"," D "," D "," -   "," D "
"Florida","West Palm Beach","WPB","604","583","66","1,402"," D ","11"," D ","23"
"Georgia","Atlanta ","ATL","1,702","1,631","91","4,370"," D ","38"," D ","134"
"Hawaii","Honolulu ","HHW","264","192","21","471"," -   "," D "," -   "," D "
"Idaho","Boise ","BOI","78","405"," D ","377"," D "," D "," -   "," D "
"Illinois","Chicago ","CHI","2,382","2,229","186","6,183"," D ","29"," D ","294"
"Indiana","Indianapolis ","INP","318","413","24","597"," -   "," D "," -   "," D "
"Iowa","Des Moines","DSM","115","51"," D ","375"," -   "," D "," D "," D "
"Kansas","Wichita","WIC","105","190"," D ","216"," -   "," -   "," D "," D "
"Kentucky","Louisville ","LOU","173","176","38","353"," D "," -   "," D ","13"
"Louisiana","New Orleans ","NOL","340","355","56","585"," -   "," D "," -   "," D "
"Maine","Portland ","POM","60","190"," D ","144"," -   "," -   "," -   "," D "
"Maryland","Baltimore ","BAL","1,137","683","48","3,560"," D "," D "," D ","210"
"Massachusetts","Boston ","BOS","1,252","1,119","58","3,980"," D "," D "," D ","124"
"Massachusetts","Lawrence","LAW","453","376","42","988"," -   "," D "," D ","46"
"Michigan","Detroit ","DET","586","1,065","70","1,475"," -   ","62"," D ","251"
"Minnesota","St. Paul ","SPM","508","344","36","1,420"," D "," D "," D ","18"
"Missouri","Kansas City ","KAN","311","613","12","481"," -   "," D "," D ","11"
"Missouri","St. Louis ","STL","166","35"," D ","638"," -   "," D "," -   "," D "
"Montana","Helena ","HEL","38","246"," D ","83"," -   "," -   "," -   "," -   "
"Nebraska","Omaha ","OMA","145","439","38","506"," -   "," D "," D "," D "
"Nevada","Las Vegas ","LVG","579","641","49","1,442"," D "," -   "," D ","19"
"Nevada","Reno ","REN","63","166"," D ","538"," -   "," D "," D "," D "
"New Hampshire","Manchester ","MAN","103","137"," D ","313"," -   "," -   "," -   ","11"
"New Jersey","Mount Laurel","MTL","462","827","50","1,087"," D ","16"," D ","24"
"New Jersey","Newark ","NEW","2,361","2,180","132","7,578"," D ","32","16","102"
"New Mexico","Albuquerque ","ABQ","192","355"," D ","366"," -   "," D "," -   "," -   "
"New York","Albany ","ALB","86","140","13","248"," -   "," D "," -   ","26"
"New York","Buffalo ","BUF","209","524","36","621"," -   ","11"," D ","50"
"New York","Long Island","LNY","1,383","1,211","51","4,427"," -   ","17"," D ","181"
"New York","New York ","NYC","3,980","5,477","512","11,936"," D ","139"," D ","581"
"New York","Queens","QNS","1,375","1,591","85","4,388"," -   ","35"," D ","232"
"North Carolina","Charlotte ","CLT","419","525","38","685"," D "," D "," -   "," D "
"North Carolina","Raleigh","RAL","505","470","36","825"," -   "," D "," -   ","30"
"Ohio","Cincinnati ","CIN","160","200","22","312"," -   "," -   "," -   "," D "
"Ohio","Cleveland ","CLE","256","234","42","417"," -   "," -   "," D "," D "
"Ohio","Columbus","CLM","220","205","46","371"," -   "," D "," D "," D "
"Oklahoma","Oklahoma City ","OKC","313","285","26","908"," -   "," D "," D ","28"
"Oregon","Portland ","POO","421","682","34","672"," D "," D "," -   "," D "
"Pennsylvania","Philadelphia","PHI","1,052","1,577","81","2,587"," D ","138"," D ","61"
"Pennsylvania","Pittsburgh ","PIT","218","296"," D ","602"," -   "," D "," -   "," D "
"Rhode Island","Providence ","PRO","188","360","23","430"," -   "," D "," D ","14"
"South Carolina","Charleston ","CHL","259","330","40","698"," D "," D "," D ","18"
"Tennessee","Memphis ","MEM","434","492","39","1,091"," -   ","11"," D ","34"
"Texas","Dallas ","DAL","1,952","1,455","152","8,072"," D "," D "," D ","279"
"Texas","El Paso ","ELP","547","638","24","913"," D "," D "," -   ","17"
"Texas","Harlingen ","HLG","657","742","30","1,221"," D "," D "," D ","14"
"Texas","Houston ","HOU","2,363","510","107","7,436"," D "," D "," D ","138"
"Texas","San Antonio ","SNA","1,139","859","39","2,543"," D ","17"," D ","41"
"Utah","Salt Lake City ","SLC","567","652","16","889"," D "," D "," -   ","13"
"Vermont","St. Albans ","STA","32","116"," D ","65"," -   "," D "," -   "," -   "
"Virginia","Norfolk ","NOR","337","550","45","811"," -   ","21"," -   "," -   "
"Washington","Seattle ","SEA","834","1,270","65","1,715"," -   "," D "," D "," -   "
"Washington","Spokane ","SPO","49","84"," D ","110"," -   "," -   "," D "," -   "
"Washington","Yakima","YAK","106","170"," D ","136"," -   "," D "," D "," D "
"Wisconsin","Milwaukee ","MIL","282","254","16","583"," -   "," D "," D ","18"
"Service Center",NA,NA,"   ","   ","   ","   ","   ","   ","   ","   "
