"Number.of.I.130.Alien.Relative.Petitions.by.Category.of.Relatives..Case.Status..and.USCIS.Field.Office.or.Service.Center.Location..","X","code","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8"
"Alaska","Anchorage ","ANC",58,110,NA,105,NA,NA,NA,NA
"Arizona","Phoenix ","PHO",894,782,42,1602,NA,25,NA,105
"Arizona","Tucson","TUC",348,280,14,575,NA,NA,NA,NA
"Arkansas","Fort Smith ","FSA",90,74,NA,119,NA,NA,NA,NA
"California","Chula Vista","CVC",521,422,26,754,NA,NA,NA,NA
"California","Fresno ","FRE",432,362,13,783,NA,22,NA,29
"California","Imperial","IMP",97,125,13,171,NA,NA,NA,10
"California","Los Angeles ","LOS",1700,1658,97,2949,NA,NA,NA,134
"California","Los Angeles County ","LAC",1698,1102,114,3645,NA,17,NA,66
"California","Sacramento ","SAC",498,478,50,923,NA,NA,NA,NA
"California","San Bernardino","SBD",1237,1028,43,2466,NA,24,NA,10
"California","San Diego ","SND",407,384,30,701,NA,16,NA,24
"California","San Fernando Valley","SFV",997,1016,72,1995,NA,11,NA,36
"California","San Francisco","SFR",1507,1494,71,2646,NA,50,NA,69
"California","San Jose ","SNJ",959,940,27,1520,NA,24,NA,NA
"California","Santa Ana","SAA",966,1045,56,2401,NA,11,NA,NA
"Colorado","Denver ","DEN",698,386,77,2104,NA,26,NA,NA
"Connecticut","Hartford ","HAR",567,503,59,1624,NA,NA,NA,NA
"Delaware","Dover","DVD",NA,NA,NA,NA,NA,NA,NA,NA
"District of Columbia","Washington ","WAS",1001,843,128,2203,NA,11,NA,35
"Florida","Hialeah","HIA",481,436,40,929,NA,17,NA,30
"Florida","Jacksonville","JAC",309,354,45,494,NA,NA,NA,12
"Florida","Kendall","KND",462,370,48,1070,NA,12,NA,32
"Florida","Miami ","MIA",883,834,86,2806,NA,32,NA,128
"Florida","Oakland Park","OKL",1137,970,114,2445,NA,29,NA,63
"Florida","Orlando ","ORL",768,676,85,2307,NA,NA,NA,26
"Florida","TAM","TAM",771,503,72,2244,NA,21,NA,31
