"Number.of.I.130.Alien.Relative.Petitions.by.Category.of.Relatives..Case.Status..and.USCIS.Field.Office.or.Service.Center.Location..","X","code","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8"
"Florida","West Palm Beach","WPB",591,605,59,930,NA,27,NA,NA
"Georgia","Atlanta ","ATL",1546,2149,273,2611,NA,84,NA,30
"Hawaii","Honolulu ","HHW",266,220,14,653,NA,NA,NA,34
"Idaho","Boise ","BOI",80,85,NA,119,NA,NA,NA,NA
"Illinois","Chicago ","CHI",2028,1649,183,6722,NA,30,NA,300
"Indiana","Indianapolis ","INP",293,296,37,534,NA,NA,NA,10
"Iowa","Des Moines","DSM",103,87,NA,273,NA,NA,NA,14
"Kansas","Wichita","WIC",141,100,NA,225,NA,NA,NA,10
"Kentucky","Louisville ","LOU",145,166,20,306,NA,NA,NA,12
"Louisiana","New Orleans ","NOL",323,405,34,541,NA,20,NA,NA
"Maine","Portland ","POM",48,73,10,79,NA,NA,NA,NA
"Maryland","Baltimore ","BAL",1063,963,83,2553,NA,22,NA,18
"Massachusetts","Boston ","BOS",1103,1094,73,2338,NA,15,NA,24
"Massachusetts","Lawrence","LAW",440,403,36,871,NA,NA,NA,23
"Michigan","Detroit ","DET",594,719,68,1343,NA,28,NA,176
"Minnesota","St. Paul ","SPM",485,497,43,962,NA,11,NA,28
"Missouri","Kansas City ","KAN",305,286,35,449,NA,11,NA,23
"Missouri","St. Louis ","STL",146,186,17,334,NA,NA,NA,10
"Montana","Helena ","HEL",32,121,NA,101,NA,NA,NA,NA
"Nebraska","Omaha ","OMA",120,77,14,247,NA,NA,NA,NA
"Nevada","Las Vegas ","LVG",616,427,28,986,NA,NA,NA,20
"Nevada","Reno ","REN",73,99,13,168,NA,NA,NA,NA
"New Hampshire","Manchester ","MAN",86,125,NA,140,NA,NA,NA,NA
"New Jersey","Mount Laurel","MTL",434,442,40,691,NA,NA,NA,14
"New Jersey","Newark ","NEW",2117,2093,156,4151,NA,71,11,274
"New Mexico","Albuquerque ","ABQ",162,102,12,260,NA,NA,NA,NA
"New York","Albany ","ALB",106,102,NA,239,NA,NA,NA,11
"New York","Buffalo ","BUF",198,224,26,479,NA,NA,NA,16
"New York","Long Island","LNY",1291,995,33,2750,NA,12,NA,50
"New York","New York ","NYC",3940,4204,636,9450,NA,54,20,365
"New York","Queens","QNS",1365,1803,38,2880,NA,NA,NA,40
"North Carolina","Charlotte ","CLT",398,415,42,580,NA,NA,NA,NA
"North Carolina","Raleigh","RAL",431,358,45,826,NA,NA,NA,NA
"Ohio","Cincinnati ","CIN",136,186,NA,272,NA,NA,NA,NA
"Ohio","Cleveland ","CLE",218,214,17,330,NA,NA,NA,NA
"Ohio","Columbus","CLM",235,215,41,304,NA,NA,NA,NA
"Oklahoma","Oklahoma City ","OKC",264,133,22,990,NA,10,NA,36
"Oregon","Portland ","POO",377,192,27,927,NA,NA,NA,NA
"Pennsylvania","Philadelphia","PHI",947,924,81,2018,NA,11,NA,12
"Pennsylvania","Pittsburgh ","PIT",208,135,17,352,NA,NA,NA,NA
"Rhode Island","Providence ","PRO",176,172,27,288,NA,NA,NA,NA
"South Carolina","Charleston ","CHL",252,271,30,422,NA,NA,NA,NA
"Tennessee","Memphis ","MEM",395,385,30,756,NA,15,NA,12
"Texas","Dallas ","DAL",1757,1616,141,4808,NA,24,NA,238
"Texas","El Paso ","ELP",666,480,25,832,NA,NA,NA,42
"Texas","Harlingen ","HLG",685,555,35,1026,NA,15,NA,NA
"Texas","Houston ","HOU",2065,1838,158,3423,NA,46,NA,463
"Texas","San Antonio ","SNA",1179,1319,41,1748,NA,39,NA,31
"Utah","Salt Lake City ","SLC",442,383,24,990,NA,12,NA,22
"Vermont","St. Albans ","STA",23,63,NA,135,NA,NA,NA,NA
"Virginia","Norfolk ","NOR",304,295,34,531,NA,NA,NA,NA
"Washington","Seattle ","SEA",710,420,37,1436,NA,NA,NA,NA
"Washington","Spokane ","SPO",41,59,NA,59,NA,NA,NA,NA
"Washington","Yakima","YAK",76,203,10,98,NA,NA,NA,NA
"Wisconsin","Milwaukee ","MIL",262,315,34,540,NA,NA,NA,13
"Service Center","California","WSC",2245,12850,3044,6655,54094,49439,4242,374442
"Service Center","Nebraska","NSC",62686,49570,1840,127601,2013,2532,430,4985
"Service Center","Texas","SSC",13097,23844,1179,23756,396,1082,153,831
"Service Center","Vermont","ESC",13836,14699,1324,30130,14055,5418,2511,149042
