"USCIS.Field.Office.or.Service.Center.Location","X","X.1","Petitions.by.Category.of.Relatives.and.Case.Status","X.2","X.3","X.4","X.5","X.6","X.7","X.8"
NA,NA,NA,"Immediate Relative1","Immediate Relative1","Immediate Relative1","Immediate Relative1","All Other Relative1","All Other Relative1","All Other Relative1","All Other Relative1"
NA,NA,NA,"Petitions Received2","Approved3","Denied4","Pending5","Petitions Received2","Approved3","Denied4","Pending5"
"Vermont","St. Albans ","STA","41","47","5","81"," -   "," -   "," -   "," -   "
"Virginia","Norfolk ","NOR","304","261","28","794"," -   ","2"," -   ","19"
"Washington","Seattle ","SEA","780","358","35","1,948"," -   ","10","4","3"
"Washington","Spokane ","SPO","46","67","9","123"," -   ","4"," -   "," -   "
"Washington","Yakima","YAK","86","115","5","146"," -   ","1"," -   ","6"
"Wisconsin","Milwaukee ","MIL","295","276","36","611"," -   ","2"," -   ","10"
"Service Center","California","WSC","11,488","5,087","826","12,031","58,346","66,064","8,054","300,791"
"Service Center","Nebraska","NSC","57,422","51,439","2,445","98,825","1,707","1,588","313","3,289"
"Service Center","Texas","SSC","12,447","8,410","668","23,672","324","293","30","675"
"Service Center","Vermont","ESC","4,836","3,618","928","20,567","4,688","2,066","582","155,506"
