USCIS.Field.Office.or.Service.Center.Location,X,X.1,Petitions.by.Category.of.Relatives.and.Case.Status,X.2,X.3,X.4,X.5,X.6,X.7,X.8
New York,Queens,QNS,1232,698,14,3466,NA,NA,NA,160
North Carolina,Charlotte ,CLT,411,357,46,795,NA,NA,NA,NA
North Carolina,Raleigh,RAL,424,469,24,915,NA,NA,NA,NA
Ohio,Cincinnati ,CIN,128,159,16,323,NA,NA,NA,10
Ohio,Cleveland ,CLE,176,246,29,415,NA,NA,NA,NA
Ohio,Columbus,CLM,208,245,61,464,NA,NA,NA,10
Oklahoma,Oklahoma City ,OKC,241,234,15,969,NA,NA,NA,NA
Oregon,Portland ,POO,375,367,19,1116,NA,NA,NA,NA
Pennsylvania,Philadelphia,PHI,888,941,126,2405,NA,NA,NA,NA
Pennsylvania,Pittsburgh ,PIT,203,142,14,494,NA,NA,NA,NA
Rhode Island,Providence ,PRO,169,187,13,426,NA,NA,NA,NA
South Carolina,Charleston ,CHL,248,256,23,564,NA,NA,NA,19
Tennessee,Memphis ,MEM,395,391,13,1079,NA,23,NA,34
Texas,Dallas ,DAL,1678,1292,202,6532,NA,13,NA,176
Texas,El Paso ,ELP,574,574,25,1073,NA,NA,NA,32
Texas,Harlingen ,HLG,609,568,27,1519,NA,NA,NA,57
Texas,Houston ,HOU,2059,1691,223,4253,NA,32,NA,553
Texas,San Antonio ,SNA,1053,729,38,2622,NA,24,NA,10
Utah,Salt Lake City ,SLC,464,506,29,1016,NA,NA,NA,11
Vermont,St. Albans ,STA,42,34,NA,69,NA,NA,NA,NA
Virginia,Norfolk ,NOR,290,235,24,869,NA,NA,NA,NA
Washington,Seattle ,SEA,732,554,54,1824,NA,NA,NA,NA
Washington,Spokane ,SPO,51,58,14,112,NA,NA,NA,NA
Washington,Yakima,YAK,76,136,NA,127,NA,NA,NA,NA
Wisconsin,Milwaukee ,MIL,250,281,22,558,NA,NA,NA,NA
Service Center,California,WSC,2065,2975,930,5047,41365,66713,12025,315380
Service Center,Nebraska,NSC,53255,49414,2274,97992,1424,2205,293,3078
Service Center,Texas,SSC,11141,12743,541,19936,266,404,90,609
Service Center,Vermont,ESC,12292,10762,1116,19304,11944,4303,996,152776
