"Number.of.I.130.Alien.Relative.Petitions.by.Category.of.Relatives..Case.Status..and.USCIS.Field.Office.or.Service.Center.Location..","X","code","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8"
"Alaska","Anchorage ","ANC","105","83","18","237"," D "," D "," D "," D "
"Arizona","Phoenix ","PHO","1,002","871","48","2,872","15","14"," -   ","136"
"Arizona","Tucson","TUC","327","304"," D ","878"," D "," D "," D ","54"
"Arkansas","Fort Smith ","FSA","107","82"," D ","334"," D "," D "," -   ","14"
"California","Chula Vista","CVC","674","367","27","1,860","22","13"," -   ","90"
"California","Fresno ","FRE","709","445","17","2,115"," D ","31"," D ","57"
"California","Imperial","IMP","141","189"," -   ","372","14"," D "," -   ","42"
"California","Los Angeles ","LOS","1,815","1,712","76","4,565","52","63"," D ","251"
"California","Los Angeles County ","LAC","1,921","1,473","207","5,884","40","31","26","369"
"California","Sacramento ","SAC","761","620","60","2,180","15"," D "," D ","78"
"California","San Bernardino","SBD","1,458","1,133","96","3,967","25","27","15","169"
"California","San Diego ","SND","526","296","20","1,408","28"," D "," D ","88"
"California","San Fernando Valley","SFV","1,267","1,012","62","3,465","17","10"," D ","195"
"California","San Francisco","SFR","1,897","1,484","69","4,821","39","93"," D ","262"
"California","San Jose ","SNJ","1,189","775","27","3,225","47","82"," D ","138"
"California","Santa Ana","SAA","1,310","915","51","3,942","40","24"," -   ","278"
"Colorado","Denver ","DEN","910","452","88","2,744","15"," D "," D ","89"
"Connecticut","Hartford ","HAR","820","501","49","2,558","14"," D "," D ","102"
"Delaware","Dover","DVD","","","","","","","",""
"District of Columbia","Washington ","WAS","1,453","1,334","174","4,487","43","55","14","192"
"Florida","Hialeah","HIA","604","348","32","1,754","14","26"," D ","79"
"Florida","Jacksonville","JAC","404","304","56","999"," D "," D "," D ","35"
"Florida","Kendall","KND","572","508","43","1,832","10","17"," D ","98"
"Florida","Miami ","MIA","932","650","89","3,686","28","25","16","201"
"Florida","Oakland Park","OKL","1,293","1,125","63","3,638","23","50"," D ","158"
"Florida","Orlando ","ORL","919","570","94","3,330","15"," D "," D ","92"
"Florida","Tampa ","TAM","904","589","82","2,950","15"," -   "," -   ","123"
"Florida","West Palm Beach","WPB","681","482","80","1,898","17","14"," D ","244"
"Georgia","Atlanta ","ATL","1,967","2,444","100","7,331","57","58"," D ","290"
"Hawaii","Honolulu ","HHW","336","288","29","667"," D "," D "," D ","30"
"Idaho","Boise ","BOI","98","216"," D ","329"," D ","11"," D ","10"
"Illinois","Chicago ","CHI","2,885","1,318","137","9,355","55"," D "," -   ","512"
"Indiana","Indianapolis ","INP","398","413","38","1,148"," D "," D "," D ","49"
"Iowa","Des Moines","DSM","149","262","16","457"," D "," D "," D ","20"
"Kansas","Wichita","WIC","142","115"," D ","430"," D "," D "," -   ","15"
"Kentucky","Louisville ","LOU","258","150","16","703","11"," D "," D ","29"
"Louisiana","New Orleans ","NOL","430","304","42","1,491","12"," D "," -   ","77"
"Maine","Portland ","POM","78","62","11","179"," -   "," D "," D "," D "
"Maryland","Baltimore ","BAL","1,446","1,327","95","4,436","39","24"," D ","132"
"Massachusetts","Boston ","BOS","1,506","1,186","105","4,176","22","24"," D ","80"
"Massachusetts","Lawrence","LAW","577","343","29","1,670","13"," D "," -   ","54"
"Michigan","Detroit ","DET","889","836","57","2,847","15"," D "," -   ","293"
"Minnesota","St. Paul ","SPM","834","931","72","2,629","19"," D "," D ","86"
"Missouri","Kansas City ","KAN","344","588","47","1,103","11"," D "," -   ","47"
"Missouri","St. Louis ","STL","205","309","18","682"," D "," D "," -   ","35"
"Montana","Helena ","HEL","39","449"," D ","117"," -   "," D "," -   "," D "
"Nebraska","Omaha ","OMA","227","419","27","700"," D ","12"," -   ","50"
"Nevada","Las Vegas ","LVG","716","601","47","1,555","11","14"," D ","70"
"Nevada","Reno ","REN","106","173","11","367"," D "," D "," -   "," D "
"New Hampshire","Manchester ","MAN","135","120"," D ","315"," D "," D "," D "," D "
"New Jersey","Mount Laurel","MTL","580","789","80","1,645","19"," D "," -   ","110"
"New Jersey","Newark ","NEW","2,812","1,811","192","8,120","57","26"," D ","477"
"New Mexico","Albuquerque ","ABQ","183","144","12","498"," D "," D "," -   ","19"
"New York","Albany ","ALB","159","106"," D ","456"," D "," -   "," -   ","12"
"New York","Buffalo ","BUF","260","314","41","742"," D ","13"," D ","40"
"New York","Long Island","LNY","1,781","1,344","34","5,328","37","11"," D ","377"
"New York","New York ","NYC","5,334","4,717","500","17,713","108","51"," D ","1,194"
"New York","Queens","QNS","1,908","1,772","55","5,746","44"," D "," D ","433"
"North Carolina","Charlotte ","CLT","548","391","22","1,428"," D ","19"," -   ","31"
"North Carolina","Raleigh","RAL","514","446","30","1,554"," D "," D "," D ","41"
"Ohio","Cincinnati ","CIN","184","196","16","595"," D "," D "," -   ","22"
"Ohio","Cleveland ","CLE","272","226","18","746"," D "," D "," -   ","21"
"Ohio","Columbus","CLM","295","365","48","820"," D "," D "," D ","26"
"Oklahoma","Oklahoma City ","OKC","364","220","20","1,179","13"," -   "," -   ","78"
"Oregon","Portland ","POO","506","326","18","1,374","23","13"," D ","69"
"Pennsylvania","Philadelphia","PHI","1,404","1,139","116","4,198","22","32"," D ","137"
"Pennsylvania","Pittsburgh ","PIT","252","138","17","558"," D "," D "," -   ","21"
"Rhode Island","Providence ","PRO","243","229","21","614"," D "," D "," -   ","21"
"South Carolina","Charleston ","CHL","319","319","26","1,038"," D "," D "," D ","43"
"Tennessee","Memphis ","MEM","600","503","42","1,739","14"," D "," -   ","73"
"Texas","Dallas ","DAL","2,113","1,228","165","7,520","54","24"," D ","393"
"Texas","El Paso ","ELP","641","972","39","1,643","10"," D "," -   ","48"
"Texas","Harlingen ","HLG","712","1,204","43","1,402","20","31"," D ","54"
"Texas","Houston ","HOU","2,568","1,913","140","6,480","82","21"," D ","524"
"Texas","San Antonio ","SNA","1,314","1,046","28","3,330","49","13"," D ","217"
"Utah","Salt Lake City ","SLC","472","375","26","1,443"," D "," D "," -   ","46"
"Vermont","St. Albans ","STA","34","211"," D ","118"," -   "," D "," D "," D "
"Virginia","Norfolk ","NOR","431","351","40","1,042"," D "," -   "," D ","59"
"Washington","Seattle ","SEA","1,060","680","56","2,668","29","50"," D ","109"
"Washington","Spokane ","SPO","59","67"," D ","123"," -   "," D "," -   "," D "
"Washington","Yakima","YAK","125","227"," D ","335"," D "," D "," -   "," D "
"Wisconsin","Milwaukee ","MIL","385","265","22","964"," D "," D "," D ","35"
"Service Center","California","WSC","224","25,046","2,355","22,200","49,814","47,365","4,629","357,263"
"Service Center","Nebraska","NSC","41,348","16,821","68","98,851","1,542","14,716","152","8,169"
"Service Center","Texas","SSC","8,387","11,933","60","36,932","261","1,198","339","1,696"
"Service Center","Vermont","ESC","8,729","1,300","1,321","20,183","18,498","15,691","3,090","141,795"
