USCIS.Field.Office.or.Service.Center.Location,X,X.1,Petitions.by.Category.of.Relatives.and.Case.Status,X.2,X.3,X.4,X.5,X.6,X.7,X.8
Alaska,Anchorage ,ANC,60,43,NA,177,NA,NA,NA,NA
Arizona,Phoenix ,PHO,841,1269,129,1562,NA,28,NA,27
Arizona,Tucson,TUC,312,460,NA,604,NA,NA,NA,11
Arkansas,Fort Smith ,FSA,94,171,NA,NA,NA,NA,NA,NA
California,Chula Vista,CVC,327,198,12,NA,NA,NA,NA,NA
California,Fresno ,FRE,444,414,36,916,NA,NA,NA,48
California,Imperial,IMP,94,192,NA,163,NA,NA,NA,NA
California,Los Angeles ,LOS,1406,1425,164,2743,NA,27,NA,36
California,Los Angeles County ,LAC,1453,1302,93,3291,NA,NA,NA,85
California,Sacramento ,SAC,628,651,47,1976,NA,NA,NA,NA
California,San Bernardino,SBD,1265,1082,93,1845,NA,NA,NA,47
California,San Diego ,SND,705,203,18,2762,NA,NA,NA,NA
California,San Fernando Valley,SFV,942,1063,82,2179,NA,10,NA,58
California,San Francisco,SFR,1514,1287,54,3765,NA,13,NA,50
California,San Jose ,SNJ,756,943,35,1538,NA,12,NA,37
California,Santa Ana,SAA,1117,916,94,2786,NA,32,NA,NA
Colorado,Denver ,DEN,845,475,50,3183,NA,18,NA,40
Connecticut,Hartford ,HAR,636,603,126,1817,NA,NA,NA,102
Delaware,Dover,DVD,NA,101,NA,14,NA,NA,NA,NA
District of Columbia,Washington ,WAS,960,1083,82,3099,NA,10,NA,116
Florida,Hialeah,HIA,522,621,32,1130,NA,NA,NA,22
Florida,Jacksonville,JAC,338,343,22,903,NA,NA,NA,NA
Florida,Kendall,KND,444,535,38,992,NA,NA,NA,NA
Florida,Miami ,MIA,889,650,63,2831,NA,17,NA,66
Florida,Oakland Park,OKL,1250,987,81,2845,NA,13,15,31
Florida,Orlando ,ORL,871,975,89,2647,NA,25,NA,97
Florida,TAM,TAM,802,905,74,2077,NA,NA,NA,NA
Florida,West Palm Beach,WPB,604,583,66,1402,NA,11,NA,23
Georgia,Atlanta ,ATL,1702,1631,91,4370,NA,38,NA,134
Hawaii,Honolulu ,HHW,264,192,21,471,NA,NA,NA,NA
Idaho,Boise ,BOI,78,405,NA,377,NA,NA,NA,NA
Illinois,Chicago ,CHI,2382,2229,186,6183,NA,29,NA,294
Indiana,Indianapolis ,INP,318,413,24,597,NA,NA,NA,NA
Iowa,Des Moines,DSM,115,51,NA,375,NA,NA,NA,NA
Kansas,Wichita,WIC,105,190,NA,216,NA,NA,NA,NA
