"USCIS.Field.Office.or.Service.Center.Location","X","code","Petitions.by.Category.of.Relatives.and.Case.Status","X.1","X.2","X.3","X.4","X.5","X.6","X.7"
NA,NA,NA,"Immediate Relative1","Immediate Relative1","Immediate Relative1","Immediate Relative1","All Other Relative1","All Other Relative1","All Other Relative1","All Other Relative1"
NA,NA,NA,"Petitions Received2","Approved3","Denied4","Pending5","Petitions Received2","Approved3","Denied4","Pending5"
"Total",NA,NA,"124,999","119,091","9,819","280,842","56,770","69,319","10,621","503,481"
"Alaska","Anchorage ","ANC","77","96"," D ","122"," -   "," -   "," -   "," D "
"Arizona","Phoenix ","PHO","698","519","31","2,007"," D "," D "," D ","44"
"Arizona","Tucson","TUC","262","191"," D ","592"," D "," D "," -   "," D "
"Arkansas","Fort Smith ","FSA","79","59"," D ","216"," -   "," D "," -   "," D "
"California","Chula Vista","CVC","519","335","20","1,056"," D "," D "," D ","11"
"California","Fresno ","FRE","394","346","19","1,033"," -   "," D "," D ","24"
"California","Imperial","IMP","73","113"," D ","162"," -   "," D "," D "," D "
"California","Los Angeles ","LOS","1,518","1,249","104","3,757"," -   ","15"," D ","84"
"California","Los Angeles County ","LAC","1,476","1,286","97","4,178"," D ","12"," D ","58"
"California","Sacramento ","SAC","555","411","36","1,274"," D ","13"," -   "," D "
"California","San Bernardino","SBD","1,118","678","88","3,513"," D "," D "," D ","45"
"California","San Diego ","SND","444","407","32","948"," -   "," D "," D ","28"
"California","San Fernando Valley","SFV","842","890","72","2,526"," -   "," D "," D ","84"
"California","San Francisco","SFR","1,376","1,196","64","3,041"," D ","24"," D ","81"
"California","San Jose ","SNJ","878","626","132","1,860"," -   "," D "," D ","11"
"California","Santa Ana","SAA","939","595","38","2,472"," D "," D "," -   ","11"
"Colorado","Denver ","DEN","713","595","73","2,603"," -   "," D "," D ","23"
"Connecticut","Hartford ","HAR","606","383","30","1,855"," -   "," D "," D "," D "
"Connecticut","Delaware",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Connecticut","Dover","DVD"," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "
"District of Columbia","Washington ","WAS","1,060","982","94","2,260"," -   ","17"," -   ","228"
"Florida","Hialeah","HIA","492","252","39","1,252"," D "," D "," -   ","19"
"Florida","Jacksonville","JAC","300","207","26","851"," -   "," D "," -   "," D "
"Florida","Kendall","KND","426","378","53","1,069"," D ","11"," D ","24"
"Florida","Miami ","MIA","856","733","94","2,819"," D ","10"," D ","66"
"Florida","Oakland Park","OKL","1,039","772","86","2,507"," D ","12","12","67"
"Florida","Orlando ","ORL","764","469","74","2,352"," D "," D "," -   ","60"
"Florida","TAM","TAM","717","620","70","2,132"," D ","21"," D ","39"
"Florida","West Palm Beach","WPB","516","435","66","1,355"," D ","20"," D ","20"
"Georgia","Atlanta ","ATL","1,591","1,243","137","4,081"," D ","28"," D ","99"
"Hawaii","Honolulu ","HHW","249","222","29","673"," -   "," D "," -   "," D "
"Idaho","Boise ","BOI","96","119"," D ","142"," -   "," -   "," -   "," -   "
"Illinois","Chicago ","CHI","2,234","1,299","90","7,582"," -   ","43"," D ","440"
"Indiana","Indianapolis ","INP","295","319","49","664"," -   "," D "," D ","10"
"Iowa","Des Moines","DSM","138","42"," D ","300"," -   "," D "," -   "," D "
"Kansas","Wichita","WIC","122","106","12","298"," -   "," D "," -   "," D "
"Kentucky","Louisville ","LOU","142","170","32","432"," D ","12"," D "," D "
"Louisiana","New Orleans ","NOL","318","254","17","744"," -   "," D "," -   "," D "
"Maine","Portland ","POM","64","53","11","93"," -   "," -   "," -   "," D "
"Maryland","Baltimore ","BAL","1,054","593","53","2,815"," D ","16"," D ","15"
"Massachusetts","Boston ","BOS","1,195","767","61","2,720"," D ","16"," -   "," D "
"Massachusetts","Lawrence","LAW","431","346","30","1,093"," -   "," D "," -   ","11"
"Michigan","Detroit ","DET","608","432","78","1,681"," D "," D "," D ","415"
"Minnesota","St. Paul ","SPM","544","385","40","1,482"," -   "," D "," D ","11"
"Missouri","Kansas City ","KAN","311","251","37","659"," -   "," D "," D "," D "
"Missouri","St. Louis ","STL","164","109","18","470"," -   "," D "," -   "," D "
"Montana","Helena ","HEL","32","75"," D ","61"," -   "," -   "," -   "," -   "
"Nebraska","Omaha ","OMA","137","274","20","318"," -   "," D "," -   "," D "
"Nevada","Las Vegas ","LVG","567","497","56","1,070"," D "," D "," -   "," D "
"Nevada","Reno ","REN","69","56"," D ","205"," -   "," -   "," D "," D "
"New Hampshire","Manchester ","MAN","104","72"," D ","175"," -   "," -   "," -   "," D "
"New Jersey","Mount Laurel","MTL","447","450","46","984"," -   "," D "," -   "," D "
"New Jersey","Newark ","NEW","2,212","1,471","141","4,268"," -   ","25"," D ","23"
"New Mexico","Albuquerque ","ABQ","179","83"," D ","349"," D "," D "," -   "," D "
"New York","Albany ","ALB","117","90"," D ","302"," -   "," -   "," -   ","14"
"New York","Buffalo ","BUF","196","181","41","537"," -   ","20"," D ","80"
"New York","Long Island","LNY","1,204","627","47","3,768"," D ","11"," D ","144"
"New York","New York ","NYC","3,864","3,137","511","10,114"," D ","23","10","289"
"New York","Queens","QNS","1,290","565","30","3,504"," D "," D "," -   ","163"
"North Carolina","Charlotte ","CLT","372","341","32","804"," D "," D "," D "," D "
"North Carolina","Raleigh","RAL","392","342","30","933"," D "," D "," -   "," D "
"Ohio","Cincinnati ","CIN","174","135","10","342"," -   "," D "," -   "," D "
"Ohio","Cleveland ","CLE","225","222","20","447"," -   "," -   "," -   "," -   "
"Ohio","Columbus","CLM","232","192","24","484"," -   "," D "," -   "," D "
"Oklahoma","Oklahoma City ","OKC","285","210","23","964"," -   "," D "," D "," D "
"Oregon","Portland ","POO","399","315","11","1,130"," -   "," D "," -   "," D "
"Pennsylvania","Philadelphia","PHI","975","762","74","2,394"," D ","13"," -   ","11"
"Pennsylvania","Pittsburgh ","PIT","183","183"," D ","410"," -   "," -   "," D "," D "
