"USCIS.Field.Office.or.Service.Center.Location","X","code","Petitions.by.Category.of.Relatives.and.Case.Status","X.1","X.2","X.3","X.4","X.5","X.6","X.7"
"Rhode Island","Providence ","PRO","200","131","20","367"," -   "," D "," -   "," D "
"South Carolina","Charleston ","CHL","262","196","32","592"," -   "," D "," -   ","19"
"Tennessee","Memphis ","MEM","399","362","25","1,055"," D "," D "," D ","56"
"Texas","Dallas ","DAL","1,699","1,086","138","6,449"," D ","13"," D ","160"
"Texas","El Paso ","ELP","529","410","28","1,060"," D "," D "," D ","22"
"Texas","Harlingen ","HLG","649","357","32","1,437"," D "," D "," -   ","20"
"Texas","Houston ","HOU","2,016","1,210","211","4,218"," D ","20"," D ","449"
"Texas","San Antonio ","SNA","1,106","508","49","2,412"," D ","29"," D ","34"
"Utah","Salt Lake City ","SLC","481","375","32","863"," D "," D "," D "," D "
"Vermont","St. Albans ","STA","31","60","21","88"," -   "," -   "," D "," -   "
"Virginia","Norfolk ","NOR","322","265","26","800"," D "," D "," -   "," D "
"Washington","Seattle ","SEA","731","458","45","1,819"," -   ","14"," D "," D "
"Washington","Spokane ","SPO","39","49","10","82"," -   "," D "," -   "," -   "
"Washington","Yakima","YAK","66","84","16","102"," -   "," -   "," -   "," D "
"Wisconsin","Milwaukee ","MIL","267","229","33","600"," -   "," D "," -   "," D "
"Service Center","California","WSC","2,041","6,155","1,690","5,610","42,983","62,452","8,328","335,484"
"Service Center","Nebraska","NSC","49,442","46,308","2,317","102,582","1,554","2,105","470","3,174"
"Service Center","Texas","SSC","10,774","11,183","504","22,524","306","384","60","731"
"Service Center","Vermont","ESC","11,758","17,591","1,245","18,266","11,856","3,750","1,624","160,418"
