"Number.of.I.130.Alien.Relative.Petitions.by.Category.of.Relatives..Case.Status..and.USCIS.Field.Office.or.Service.Center.Location..","X","code","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8"
"Alaska","Anchorage ","ANC","73","113","12","154"," D "," D "," -   "," D "
"Arizona","Phoenix ","PHO","733","858","42","1,425"," D ","30"," -   ","81"
"Arizona","Tucson","TUC","257","299","12","495"," D "," D "," -   "," D "
"Arkansas","Fort Smith ","FSA","52","92"," D ","106"," -   "," D "," D "," D "
"California","Chula Vista","CVC","449","464","43","713"," D ","44"," -   ","19"
"California","Fresno ","FRE","333","492","14","593"," D ","26"," D ","22"
"California","Imperial","IMP","77","243"," -   ","153"," -   ","13"," -   "," D "
"California","Los Angeles ","LOS","1,464","1,898","122","2,697"," D ","63"," D ","115"
"California","Los Angeles County ","LAC","1,342","1,182","174","2,917"," -   ","49","21","77"
"California","Sacramento ","SAC","439","498","50","779"," -   ","13"," D "," D "
"California","San Bernardino","SBD","965","1,086","112","2,075"," D ","56","13","64"
"California","San Diego ","SND","409","554","38","615"," D "," D "," D ","47"
"California","San Fernando Valley","SFV","840","923","69","1,924"," D ","18"," D ","19"
"California","San Francisco","SFR","1,261","1,639","101","2,472"," D ","103"," D ","96"
"California","San Jose ","SNJ","826","1,017","31","1,525"," D ","82"," -   ","22"
"California","Santa Ana","SAA","918","999","69","2,309"," D ","61"," D ","14"
"Colorado","Denver ","DEN","590","484","74","1,689"," D ","27"," D ","19"
"Connecticut","Hartford ","HAR","527","402","92","1,477"," D ","12"," D ","32"
"Delaware","Dover","DVD","","","","","","","",""
"District of Columbia","Washington ","WAS","890","1,227","145","1,689"," -   ","58"," D ","26"
"Florida","Hialeah","HIA","405","541","36","831"," -   ","24"," D ","22"
"Florida","Jacksonville","JAC","267","394","38","423"," D ","12"," D ","12"
"Florida","Kendall","KND","418","565","59","916"," D ","30"," D ","37"
"Florida","Miami ","MIA","732","454","121","2,783"," D ","17","17","148"
