"USCIS.Field.Office.or.Service.Center.Location","X","X.1","Petitions.by.Category.of.Relatives.and.Case.Status","X.2","X.3","X.4","X.5","X.6","X.7","X.8"
"South Carolina","Charleston ","CHL","230","230","12","751"," -   "," D "," -   ","20"
"Tennessee","Memphis ","MEM","448","443","30","1,153"," -   "," D "," D ","46"
"Texas","Dallas ","DAL","1,906","1,693","181","7,928"," D ","11"," D ","246"
"Texas","El Paso ","ELP","534","545","23","1,092"," D "," D "," -   ","28"
"Texas","Harlingen ","HLG","631","802","21","1,293"," D "," D "," D ","17"
"Texas","Houston ","HOU","2,376","1,249","161","5,905"," D ","21"," D ","16"
"Texas","San Antonio ","SNA","1,154","847","37","2,484"," D ","10"," -   ","45"
"Utah","Salt Lake City ","SLC","484","545","18","894"," D "," D "," -   "," D "
"Vermont","St. Albans ","STA","44","79"," D ","101"," -   "," D "," -   "," D "
"Virginia","Norfolk ","NOR","318","357","31","961"," -   "," D "," -   ","19"
"Washington","Seattle ","SEA","755","548","38","2,299"," -   ","18"," D "," D "
"Washington","Spokane ","SPO","67","93"," D ","138"," -   "," D "," -   "," D "
"Washington","Yakima","YAK","118","199"," D ","166"," D "," D "," -   "," D "
"Wisconsin","Milwaukee ","MIL","250","273","19","558"," -   "," -   "," -   ","16"
"Service Center","California","WSC","15,362","10,695","1,310","18,113","62,057","27,826","4,331","361,107"
"Service Center","Nebraska","NSC","53,568","52,435","2,637","88,729","1,758","1,769","247","3,522"
"Service Center","Texas","SSC","12,071","8,563","483","12,038","317","300","163","452"
"Service Center","Vermont","ESC"," D ","1,447","395","7,817"," D ","1,214","391","141,359"
"Service Center","Potomac","YSC"," -   ","5,685","80","17,554"," -   "," -   "," -   "," -   "
