"USCIS.Field.Office.or.Service.Center.Location","X","X.1","Petitions.by.Category.of.Relatives.and.Case.Status","X.2","X.3","X.4","X.5","X.6","X.7","X.8"
NA,NA,NA,"Immediate Relative1","Immediate Relative1","Immediate Relative1","Immediate Relative1","All Other Relative1","All Other Relative1","All Other Relative1","All Other Relative1"
NA,NA,NA,"Petitions Received2","Approved3","Denied4","Pending5","Petitions Received2","Approved3","Denied4","Pending5"
"Total",NA,NA,"134,695","133,392","8,756","290,862","64,194","31,880","5,346","510,721"
"Alaska","Anchorage ","ANC","72","58","15","174"," -   "," D "," -   "," D "
"Arizona","Phoenix ","PHO","838","1,273","30","2,205"," -   ","13"," D ","76"
"Arizona","Tucson","TUC","291","477","16","545"," D "," D "," D ","11"
"Arkansas","Fort Smith ","FSA","98","106"," D ","192"," -   "," -   "," D "," D "
"California","Chula Vista","CVC","547","422","26","1,267"," -   "," D "," D "," D "
"California","Fresno ","FRE","455","530","41","963"," D ","12"," D ","38"
"California","Imperial","IMP","78","218"," D ","170"," -   "," D "," D "," -   "
"California","Los Angeles ","LOS","1,343","1,852","97","2,807"," D ","11"," D ","43"
"California","Los Angeles County ","LAC","1,565","1,194","80","3,363"," -   "," D "," D ","91"
"California","Sacramento ","SAC","548","769","41","1,704"," D "," D "," D "," D "
"California","San Bernardino","SBD","1,145","1,072","121","1,827"," -   "," D ","10","38"
"California","San Diego ","SND","446","258","26","943"," D ","12"," D "," D "
"California","San Fernando Valley","SFV","946","827","85","2,356"," -   ","15"," D ","71"
"California","San Francisco","SFR","1,429","1,455","57","3,483"," -   ","11"," D ","22"
"California","San Jose ","SNJ","816","866","42","1,694"," D ","13"," D ","24"
"California","Santa Ana","SAA","1,119","1,481","79","2,703"," -   ","13"," D "," D "
"Colorado","Denver ","DEN","795","526","55","3,074"," -   ","21"," -   ","57"
"Connecticut","Hartford ","HAR","635","402","71","2,075"," -   "," D "," D ","102"
"   Delaware","Dover","DVD"," -   ","41"," -   "," -   "," -   "," -   "," -   "," -   "
"District of Columbia","Washington ","WAS","1,023","1,163","73","3,117"," D "," D "," D ","126"
"Florida","Hialeah","HIA","521","1,048","42","1,080"," D "," D "," D ","23"
"Florida","Jacksonville","JAC","365","262","46","945"," -   "," D "," -   "," D "
"Florida","Kendall","KND","457","584","38","944"," D "," D "," D "," D "
"Florida","Miami ","MIA","972","826","103","2,653"," D ","24"," D ","50"
"Florida","Oakland Park","OKL","1,146","802","84","2,549"," D ","16"," D ","41"
"Florida","Orlando ","ORL","882","591","62","2,725"," -   "," D "," D ","107"
"Florida","TAM","TAM","775","780","52","2,129"," D ","11"," D "," D "
"Florida","West Palm Beach","WPB","618","643","44","1,364"," -   ","14"," D ","16"
"Georgia","Atlanta ","ATL","1,636","1,527","98","4,190"," D ","47"," D ","159"
"Hawaii","Honolulu ","HHW","229","232","12","437"," -   "," -   "," D "," D "
"Idaho","Boise ","BOI","97","283"," D ","431"," -   "," -   "," -   "," D "
"Illinois","Chicago ","CHI","2,334","1,856","99","6,711"," D ","61"," D ","317"
"Indiana","Indianapolis ","INP","319","359","21","655"," D "," D "," D "," D "
"Iowa","Des Moines","DSM","125","106","11","314"," -   "," D "," D "," D "
"Kansas","Wichita","WIC","146","112"," D ","303"," -   "," D "," -   "," D "
"Kentucky","Louisville ","LOU","185","233","24","399"," -   "," D "," -   "," D "
"Louisiana","New Orleans ","NOL","311","371","38","647"," -   "," D "," -   "," D "
"Maine","Portland ","POM","57","214"," D ","159"," -   "," D "," -   "," D "
"Maryland","Baltimore ","BAL","1,124","914","64","3,241"," D "," D "," D ","180"
"Massachusetts","Boston ","BOS","1,240","1,122","92","3,803"," -   "," D "," D ","98"
"Massachusetts","Lawrence","LAW","461","419","51","974"," -   "," D "," D ","50"
"Michigan","Detroit ","DET","646","868","52","1,945"," -   ","38"," -   ","316"
"Minnesota","St. Paul ","SPM","522","316","28","1,314"," -   "," -   "," D ","20"
"Missouri","Kansas City ","KAN","283","541","21","517"," D "," D "," -   "," D "
"Missouri","St. Louis ","STL","153","121","14","506"," -   "," D "," -   "," D "
"Montana","Helena ","HEL","49","210"," D ","199"," -   "," -   "," -   "," -   "
"Nebraska","Omaha ","OMA","143","491","40","679"," -   "," D "," -   "," D "
"Nevada","Las Vegas ","LVG","607","756","37","1,711"," -   "," D "," D ","17"
"Nevada","Reno ","REN","76","145","12","433"," -   "," D "," D "," -   "
"New Hampshire","Manchester ","MAN","85","212"," D ","273"," -   "," D "," -   ","11"
"New Jersey","Mount Laurel","MTL","428","665","40","1,171"," -   "," D "," D ","41"
"New Jersey","Newark ","NEW","2,244","1,638","95","7,025"," D ","17","31","84"
"New Mexico","Albuquerque ","ABQ","166","333"," D ","208"," -   "," D "," -   "," -   "
"New York","Albany ","ALB","123","111"," D ","338"," -   "," -   "," -   ","27"
"New York","Buffalo ","BUF","176","425","62","745"," -   ","11","50","61"
"New York","Long Island","LNY","1,373","1,168","43","4,463"," D ","10"," D ","195"
"New York","New York ","NYC","3,852","4,621","434","13,913"," D ","100"," D ","696"
"New York","Queens","QNS","1,342","976","29","4,760"," -   "," D "," D ","276"
"North Carolina","Charlotte ","CLT","476","467","35","713"," -   "," D "," -   ","13"
"North Carolina","Raleigh","RAL","473","375","15","850"," -   "," D "," -   ","32"
"Ohio","Cincinnati ","CIN","169","195","24","345"," -   "," D "," -   "," -   "
"Ohio","Cleveland ","CLE","225","217","31","408"," -   "," D "," D "," D "
"Ohio","Columbus","CLM","233","242","32","382"," -   "," D "," D "," D "
"Oklahoma","Oklahoma City ","OKC","294","356","19","929"," -   "," D "," D ","34"
"Oregon","Portland ","POO","416","341","25","1,003"," D "," D "," D "," D "
"Pennsylvania","Philadelphia","PHI","1,016","1,267","129","2,833"," D ","31"," D ","127"
"Pennsylvania","Pittsburgh ","PIT","195","386"," D ","707"," -   "," D "," D "," D "
"Rhode Island","Providence ","PRO","169","503","21","466"," D "," D "," -   ","19"
