"state","city","code","immid_R.2015.1","immid_A.2015.1","immid_D.2015.1","immid_P.2015.1","other_R.2015.1","other_A.2015.1","other_D.2015.1","other_P.2015.1","immid_R.2015.2","immid_A.2015.2","immid_D.2015.2","immid_P.2015.2","other_R.2015.2","other_A.2015.2","other_D.2015.2","other_P.2015.2","immid_R.2015.3","immid_A.2015.3","immid_D.2015.3","immid_P.2015.3","other_R.2015.3","other_A.2015.3","other_D.2015.3","other_P.2015.3","immid_R.2015.4","immid_A.2015.4","immid_D.2015.4","immid_P.2015.4","other_R.2015.4","other_A.2015.4","other_D.2015.4","other_P.2015.4","immid_R.2016.1","immid_A.2016.1","immid_D.2016.1","immid_P.2016.1","other_R.2016.1","other_A.2016.1","other_D.2016.1","other_P.2016.1","immid_R.2016.2","immid_A.2016.2","immid_D.2016.2","immid_P.2016.2","other_R.2016.2","other_A.2016.2","other_D.2016.2","other_P.2016.2","immid_R.2016.3","immid_A.2016.3","immid_D.2016.3","immid_P.2016.3","other_R.2016.3","other_A.2016.3","other_D.2016.3","other_P.2016.3","immid_R.2016.4","immid_A.2016.4","immid_D.2016.4","immid_P.2016.4","other_R.2016.4","other_A.2016.4","other_D.2016.4","other_P.2016.4"
"California","San Jose ","SNJ","878",626,132,1860,NA,NA,NA,11,876,844,38,1798,NA,NA,NA,NA,864,861,36,1643,1,8,4,4,931,921,33,1584,NA,10,NA,10,816,866,42,1694,NA,13,NA,24,756,943,35,1538,NA,12,NA,37,883,689,40,2100,NA,12,NA,60,923,549,18,2504,NA,NA,NA,48
"California","Santa Ana","SAA","939",595,38,2472,NA,NA,NA,11,961,401,31,2900,NA,NA,NA,10,1079,398,40,3339,1,NA,5,7,1102,680,53,3399,NA,NA,NA,NA,1119,1481,79,2703,NA,13,NA,NA,1117,916,94,2786,NA,32,NA,NA,1296,728,94,3213,NA,29,12,NA,1280,894,69,3475,NA,20,15,NA
"Colorado","Denver ","DEN","713",595,73,2603,NA,NA,NA,23,719,588,59,2697,NA,10,NA,NA,843,385,59,2971,NA,2,2,8,799,347,60,3170,NA,15,NA,NA,795,526,55,3074,NA,21,NA,57,845,475,50,3183,NA,18,NA,40,944,478,64,3448,NA,10,NA,19,843,1097,70,3017,NA,NA,NA,18
"Connecticut","Hartford ","HAR","606",383,30,1855,NA,NA,NA,NA,512,420,55,1901,NA,NA,NA,NA,603,386,87,1827,2,4,1,62,570,274,103,1846,NA,NA,NA,80,635,402,71,2075,NA,NA,NA,102,636,603,126,1817,NA,NA,NA,102,729,636,96,2051,NA,NA,NA,125,702,436,103,2161,NA,NA,NA,123
"Delaware","Dover","DVD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,NA,NA,NA,NA,NA,NA,NA,101,NA,14,NA,NA,NA,NA,NA,37,NA,11,NA,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,NA
"District of Columbia","Washington ","WAS","1,060",982,94,2260,NA,17,NA,228,869,1092,61,2141,NA,16,NA,212,1065,810,85,2855,NA,7,1,52,970,787,52,3108,NA,NA,NA,44,1023,1163,73,3117,NA,NA,NA,126,960,1083,82,3099,NA,10,NA,116,1093,798,71,2885,NA,NA,NA,151,1224,368,44,3765,NA,10,NA,146
"Florida","Hialeah","HIA","492",252,39,1252,NA,NA,NA,19,497,407,34,1539,NA,NA,NA,17,520,1090,33,1405,1,11,2,6,538,922,49,1211,NA,NA,NA,NA,521,1048,42,1080,NA,NA,NA,23,522,621,32,1130,NA,NA,NA,22,621,521,30,1409,NA,NA,NA,13,602,659,34,1530,NA,NA,NA,12
"Florida","Jacksonville","JAC","300",207,26,851,NA,NA,NA,NA,314,359,29,833,NA,NA,NA,NA,366,329,25,785,NA,2,NA,4,410,392,32,849,NA,NA,NA,NA,365,262,46,945,NA,NA,NA,NA,338,343,22,903,NA,NA,NA,NA,385,197,21,1085,NA,NA,NA,NA,459,580,40,931,NA,NA,NA,NA
"Florida","Kendall","KND","426",378,53,1069,NA,11,NA,24,438,535,41,933,NA,NA,NA,19,465,412,48,963,3,14,5,8,456,763,38,784,NA,11,NA,NA,457,584,38,944,NA,NA,NA,NA,444,535,38,992,NA,NA,NA,NA,541,451,46,1218,NA,NA,NA,NA,491,186,34,1646,NA,10,NA,NA
"Florida","Miami ","MIA","856",733,94,2819,NA,10,NA,66,892,1155,106,2466,NA,19,NA,58,970,779,99,2628,2,10,3,60,912,566,45,3009,NA,NA,NA,56,972,826,103,2653,NA,24,NA,50,889,650,63,2831,NA,17,NA,66,1046,626,100,3253,10,17,NA,54,937,623,75,3552,NA,32,NA,30
