"state","city","code","immid_R.2015.1","immid_A.2015.1","immid_D.2015.1","immid_P.2015.1","other_R.2015.1","other_A.2015.1","other_D.2015.1","other_P.2015.1","immid_R.2015.2","immid_A.2015.2","immid_D.2015.2","immid_P.2015.2","other_R.2015.2","other_A.2015.2","other_D.2015.2","other_P.2015.2","immid_R.2015.3","immid_A.2015.3","immid_D.2015.3","immid_P.2015.3","other_R.2015.3","other_A.2015.3","other_D.2015.3","other_P.2015.3","immid_R.2015.4","immid_A.2015.4","immid_D.2015.4","immid_P.2015.4","other_R.2015.4","other_A.2015.4","other_D.2015.4","other_P.2015.4","immid_R.2016.1","immid_A.2016.1","immid_D.2016.1","immid_P.2016.1","other_R.2016.1","other_A.2016.1","other_D.2016.1","other_P.2016.1","immid_R.2016.2","immid_A.2016.2","immid_D.2016.2","immid_P.2016.2","other_R.2016.2","other_A.2016.2","other_D.2016.2","other_P.2016.2","immid_R.2016.3","immid_A.2016.3","immid_D.2016.3","immid_P.2016.3","other_R.2016.3","other_A.2016.3","other_D.2016.3","other_P.2016.3","immid_R.2016.4","immid_A.2016.4","immid_D.2016.4","immid_P.2016.4","other_R.2016.4","other_A.2016.4","other_D.2016.4","other_P.2016.4"
"Rhode Island","Providence ","PRO","200",131,20,367,NA,NA,NA,NA,169,187,13,426,NA,NA,NA,NA,156,418,17,458,NA,5,NA,5,134,502,20,329,NA,NA,NA,NA,169,503,21,466,NA,NA,NA,19,188,360,23,430,NA,NA,NA,14,196,364,24,444,NA,NA,NA,12,233,326,33,512,NA,NA,NA,NA
"South Carolina","Charleston ","CHL","262",196,32,592,NA,NA,NA,19,248,256,23,564,NA,NA,NA,19,252,273,21,566,NA,7,1,10,285,195,16,709,NA,NA,NA,NA,230,230,12,751,NA,NA,NA,20,259,330,40,698,NA,NA,NA,18,286,221,30,695,NA,NA,NA,11,298,364,39,741,NA,NA,NA,NA
"Tennessee","Memphis ","MEM","399",362,25,1055,NA,NA,NA,56,395,391,13,1079,NA,23,NA,34,442,462,8,1092,1,2,1,56,486,587,23,1066,NA,NA,NA,63,448,443,30,1153,NA,NA,NA,46,434,492,39,1091,NA,11,NA,34,542,452,17,1287,NA,NA,NA,49,540,613,26,1292,NA,24,NA,38
"Texas","Dallas ","DAL","1,699",1086,138,6449,NA,13,NA,160,1678,1292,202,6532,NA,13,NA,176,1986,1527,157,7313,4,8,6,234,1997,1500,103,7905,NA,10,NA,242,1906,1693,181,7928,NA,11,NA,246,1952,1455,152,8072,NA,NA,NA,279,2445,2200,216,8038,NA,NA,NA,273,2274,1652,135,8079,NA,10,NA,268
"Texas","El Paso ","ELP","529",410,28,1060,NA,NA,NA,22,574,574,25,1073,NA,NA,NA,32,701,548,18,1304,3,10,NA,28,572,726,22,1144,NA,14,NA,22,534,545,23,1092,NA,NA,NA,28,547,638,24,913,NA,NA,NA,17,700,431,30,1330,NA,NA,NA,28,633,605,19,1561,NA,NA,NA,53
"Texas","Harlingen ","HLG","649",357,32,1437,NA,NA,NA,20,609,568,27,1519,NA,NA,NA,57,677,779,20,1482,1,7,2,23,664,895,22,1288,NA,NA,NA,19,631,802,21,1293,NA,NA,NA,17,657,742,30,1221,NA,NA,NA,14,798,548,28,1631,NA,11,NA,NA,717,711,47,1701,NA,NA,NA,NA
"Texas","Houston ","HOU","2,016",1210,211,4218,NA,20,NA,449,2059,1691,223,4253,NA,32,NA,553,2308,1689,182,4895,4,22,1,179,2359,1468,145,5606,NA,29,NA,35,2376,1249,161,5905,NA,21,NA,16,2363,510,107,7436,NA,NA,NA,138,2632,1541,182,8163,NA,34,NA,146,2801,851,155,9700,NA,21,NA,171
"Texas","San Antonio ","SNA","1,106",508,49,2412,NA,29,NA,34,1053,729,38,2622,NA,24,NA,10,1209,739,55,3077,2,12,3,51,1216,1279,25,2686,NA,19,NA,46,1154,847,37,2484,NA,10,NA,45,1139,859,39,2543,NA,17,NA,41,1346,942,38,2895,NA,15,NA,40,1385,608,30,3559,NA,NA,NA,47
"Utah","Salt Lake City ","SLC","481",375,32,863,NA,NA,NA,NA,464,506,29,1016,NA,NA,NA,11,497,581,19,1057,2,9,2,12,489,674,26,929,NA,13,NA,22,484,545,18,894,NA,NA,NA,NA,567,652,16,889,NA,NA,NA,13,559,454,21,1082,NA,NA,NA,19,613,711,15,1006,NA,NA,NA,14
"Vermont","St. Albans ","STA","31",60,21,88,NA,NA,NA,NA,42,34,NA,69,NA,NA,NA,NA,41,47,5,81,NA,NA,NA,NA,27,55,NA,112,NA,NA,NA,NA,44,79,NA,101,NA,NA,NA,NA,32,116,NA,65,NA,NA,NA,NA,54,73,NA,80,NA,NA,NA,NA,40,83,NA,143,NA,NA,NA,NA
"Virginia","Norfolk ","NOR","322",265,26,800,NA,NA,NA,NA,290,235,24,869,NA,NA,NA,NA,304,261,28,794,NA,2,NA,19,339,351,34,919,NA,NA,NA,NA,318,357,31,961,NA,NA,NA,19,337,550,45,811,NA,21,NA,NA,360,292,23,1031,NA,NA,NA,25,371,411,37,1034,NA,NA,NA,23
"Washington","Seattle ","SEA","731",458,45,1819,NA,14,NA,NA,732,554,54,1824,NA,NA,NA,NA,780,358,35,1948,NA,10,4,3,810,541,42,2034,NA,10,NA,NA,755,548,38,2299,NA,18,NA,NA,834,1270,65,1715,NA,NA,NA,NA,968,776,47,1862,NA,NA,NA,NA,992,507,48,2305,NA,17,NA,NA
"Washington","Spokane ","SPO","39",49,10,82,NA,NA,NA,NA,51,58,14,112,NA,NA,NA,NA,46,67,9,123,NA,4,NA,NA,45,68,NA,123,NA,NA,NA,NA,67,93,NA,138,NA,NA,NA,NA,49,84,NA,110,NA,NA,NA,NA,50,76,NA,96,NA,NA,NA,NA,58,98,NA,119,NA,NA,NA,NA
"Washington","Yakima","YAK","66",84,16,102,NA,NA,NA,NA,76,136,NA,127,NA,NA,NA,NA,86,115,5,146,NA,1,NA,6,103,173,NA,120,NA,NA,NA,NA,118,199,NA,166,NA,NA,NA,NA,106,170,NA,136,NA,NA,NA,NA,134,84,NA,170,NA,NA,NA,NA,124,158,NA,218,NA,NA,NA,NA
"Wisconsin","Milwaukee ","MIL","267",229,33,600,NA,NA,NA,NA,250,281,22,558,NA,NA,NA,NA,295,276,36,611,NA,2,NA,10,254,319,28,554,NA,NA,NA,17,250,273,19,558,NA,NA,NA,16,282,254,16,583,NA,NA,NA,18,270,205,22,660,NA,NA,NA,26,327,311,25,702,NA,NA,NA,31
"California","Service Center","WSC","2,041",6155,1690,5610,42983,62452,8328,335484,2065,2975,930,5047,41365,66713,12025,315380,11488,5087,826,12031,58346,66064,8054,300791,15134,13328,923,20638,58015,35106,6566,329654,15362,10695,1310,18113,62057,27826,4331,361107,1690,8017,1390,10960,63380,32646,4146,389014,634,4198,920,7241,72393,29518,3929,429812,652,1896,1106,6080,70071,34934,4608,462043
"Nebraska","Service Center","NSC","49,442",46308,2317,102582,1554,2105,470,3174,53255,49414,2274,97992,1424,2205,293,3078,57422,51439,2445,98825,1707,1588,313,3289,54825,52516,2551,96093,1693,1474,184,3567,53568,52435,2637,88729,1758,1769,247,3522,54549,59420,2553,85466,1144,2019,284,2849,68732,44690,2710,105834,1426,1373,244,2905,63495,39910,2588,115724,1361,947,292,2968
"Texas","Service Center","SSC","10,774",11183,504,22524,306,384,60,731,11141,12743,541,19936,266,404,90,609,12447,8410,668,23672,324,293,30,675,11342,11883,524,22886,307,268,143,655,12071,8563,483,12038,317,300,163,452,5848,4697,470,12681,159,242,146,404,15924,15067,392,12549,388,410,61,372,15205,25359,1004,11523,345,659,288,367
"Vermont","Service Center","ESC","11,758",17591,1245,18266,11856,3750,1624,160418,12292,10762,1116,19304,11944,4303,996,152776,4836,3618,928,20567,4688,2066,582,155506,NA,4651,784,8789,NA,2585,700,142259,NA,1447,395,7817,NA,1214,391,141359,NA,1048,722,6880,NA,873,616,140508,NA,579,702,6432,NA,526,667,140312,NA,482,635,6125,NA,426,443,140175
"Maryland","Potomac SC","YSC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5685,80,17554,NA,NA,NA,NA,26037,12257,89,32873,538,296,NA,821,13354,25072,436,20678,316,553,29,556,12133,17298,683,14835,253,501,34,279
