USCIS Field Office or Service Center Location,,,Petitions by Category of Relatives and Case Status,,,,,,,,,,,
,,,Immediate Relative1,,,,All Other Relative1,,,,Total,,,
,,,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,Approved3,Denied4,Pending5
 ,,,,,,,,,,,,,,
Total,,,"142,702","142,278","9,511","292,841","65,302","37,036","5,383","537,609","208,004","179,314","14,894","830,450"
,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,
,Albuquerque ,ABQ,192,355, D ,366, -   , D , -   , -   ,192,356, D ,366
New York,,, , , , , , , , ,,,,
,Albany ,ALB,86,140,13,248, -   , D , -   ,26,86,141,13,274
,Buffalo ,BUF,209,524,36,621, -   ,11, D ,50,209,535,43,671
,Long Island,LNY,"1,383","1,211",51,"4,427", -   ,17, D ,181,"1,383","1,228",54,"4,608"
,New York ,NYC,"3,980","5,477",512,"11,936", D ,139, D ,581,"3,984","5,616",520,"12,517"
,Queens,QNS,"1,375","1,591",85,"4,388", -   ,35, D ,232,"1,375","1,626",90,"4,620"
North Carolina,,, , , , , , , , ,,,,
,Charlotte ,CLT,419,525,38,685, D , D , -   , D ,420,534,38,689
,Raleigh,RAL,505,470,36,825, -   , D , -   ,30,505,473,36,855
Ohio,,, , , , , , , , ,,,,
,Cincinnati ,CIN,160,200,22,312, -   , -   , -   , D ,160,200,22,314
,Cleveland ,CLE,256,234,42,417, -   , -   , D , D ,256,234,43,425
,Columbus,CLM,220,205,46,371, -   , D , D , D ,220,206,47,375
Oklahoma,,, , , , , , , , ,,,,
,Oklahoma City ,OKC,313,285,26,908, -   , D , D ,28,313,289,27,936
Oregon,,, , , , , , , , ,,,,
,Portland ,POO,421,682,34,672, D , D , -   , D ,422,684,34,674
Pennsylvania,,, , , , , , , , ,,,,
,Philadelphia,PHI,"1,052","1,577",81,"2,587", D ,138, D ,61,"1,053","1,715",84,"2,648"
,Pittsburgh ,PIT,218,296, D ,602, -   , D , -   , D ,218,302, D ,603
Rhode Island,,, , , , , , , , ,,,,
