USCIS Field Office or Service Center Location,,,Petitions by Category of Relatives and Case Status,,,,,,,,,,,
,,,Immediate Relative1,,,,All Other Relative1,,,,Total,,,
Florida,Orlando ,ORL,"1,004",674,92,"3,492", D ,18, D ,74,"1,005",692,95,"3,566"
Florida,TAM,TAM,833,453,47,"2,424", D , -   , -   , D ,839,453,47,"2,429"
Florida,West Palm Beach,WPB,739,766,88,"1,613", D , D , -   ,137,744,773,88,"1,750"
Georgia,,, , , , , , , , ,,,,
Georgia,Atlanta ,ATL,"2,157","1,946",133,"5,026", D ,48, D ,75,"2,161","1,994",134,"5,101"
Hawaii,,, , , , , , , , ,,,,
Hawaii,Honolulu ,HHW,242,231,32,515, -   ,10, D , D ,242,241,34,518
Idaho,,, , , , , , , , ,,,,
Idaho,Boise ,BOI,101,414, D ,206, -   , D , -   , -   ,101,417, D ,206
Illinois,,, , , , , , , , ,,,,
Illinois,Chicago ,CHI,"2,635","1,920",139,"6,223", D ,58, D ,191,"2,641","1,978",144,"6,414"
Indiana,,, , , , , , , , ,,,,
Indiana,Indianapolis ,INP,412,394,57,797, -   , D , D , D ,412,396,58,800
Iowa,,, , , , , , , , ,,,,
Iowa,Des Moines,DSM,129,57, D ,499, D , D , -   ,14,130,58, D ,513
Kansas,,, , , , , , , , ,,,,
Kansas,Wichita,WIC,162,118, D ,394, -   , -   , -   , D ,162,118, D ,395
Kentucky,,, , , , , , , , ,,,,
Kentucky,Louisville ,LOU,171,169,23,418, -   , D , D , D ,171,175,24,420
Louisiana,,, , , , , , , , ,,,,
Louisiana,New Orleans ,NOL,338,326,26,782, -   , -   , -   , D ,338,326,26,785
Maine,,, , , , , , , , ,,,,
Maine,Portland ,POM,62,316,11,158, -   , D , -   , D ,62,318,11,159
Maryland,,, , , , , , , , ,,,,
Maryland,Baltimore ,BAL,"1,272",562,43,"4,280", -   , D , D ,236,"1,272",569,45,"4,516"
Massachusetts,,, , , , , , , , ,,,,
Massachusetts,Boston ,BOS,"1,430","1,371",134,"4,130", D ,16, -   ,157,"1,432","1,387",134,"4,287"
Massachusetts,Lawrence,LAW,474,482,71,"1,102", -   , D , D ,44,474,488,74,"1,146"
Michigan,,, , , , , , , , ,,,,
Michigan,Detroit ,DET,744,969,100,"1,403", D ,27, -   ,175,746,996,100,"1,578"
Minnesota,,, , , , , , , , ,,,,
Minnesota,St. Paul ,SPM,568,79,20,"2,121", -   , D , -   ,17,568,83,20,"2,138"
Missouri,,, , , , , , , , ,,,,
Missouri,Kansas City ,KAN,422,592,13,733, D , D , D , D ,423,597,14,740
Missouri,St. Louis ,STL,188,49, D ,938, -   , D , -   , -   ,188,52, D ,938
Montana,,, , , , , , , , ,,,,
Montana,Helena ,HEL,34,189, D ,199, -   , D , -   , -   ,34,190, D ,199
Nebraska,,, , , , , , , , ,,,,
Nebraska,Omaha ,OMA,125,308,46,494, -   , D , D , -   ,125,311,48,494
Nevada,,, , , , , , , , ,,,,
Nevada,Las Vegas ,LVG,738,229,57,"2,240", D , D , D , D ,742,232,59,"2,249"
Nevada,Reno ,REN,115,330,19,539, -   , -   , -   , D ,115,330,19,540
New Hampshire,,, , , , , , , , ,,,,
New Hampshire,Manchester ,MAN,88,120, D ,231, -   , D , D , D ,88,123,10,234
New Jersey,,, , , , , , , , ,,,,
New Jersey,Mount Laurel,MTL,532,691,64,"1,154", D , D , D ,20,534,697,69,"1,174"
New Jersey,Newark ,NEW,"2,672","2,207",147,"9,057", D ,16,10,129,"2,676","2,223",157,"9,186"
New Mexico,,, , , , , , , , ,,,,
New Mexico,Albuquerque ,ABQ,200,294,12,363, D , D , -   , D ,203,302,12,369
New York,,, , , , , , , , ,,,,
New York,Albany ,ALB,126,58, D ,341, -   , -   , -   ,26,126,58, D ,367
New York,Buffalo ,BUF,211,366,37,671, -   ,26, D ,61,211,392,44,732
New York,Long Island,LNY,"1,531",780,60,"5,338", D ,19, D ,228,"1,534",799,64,"5,566"
New York,New York ,NYC,"4,429","2,570",251,"15,353", D ,62, D ,698,"4,434","2,632",256,"16,051"
New York,Queens,QNS,"1,424",842,106,"5,075", -   ,13,15,179,"1,424",855,121,"5,254"
North Carolina,,, , , , , , , , ,,,,
North Carolina,Charlotte ,CLT,534,324,19,"1,215", D , D , D , D ,537,327,20,"1,218"
North Carolina,Raleigh,RAL,574,674,32,"1,024", D , D , D , D ,576,680,33,"1,027"
Ohio,,, , , , , , , , ,,,,
Ohio,Cincinnati ,CIN,191,187,12,351, -   ,12, D , -   ,191,199,13,351
Ohio,Cleveland ,CLE,231,269,27,457, -   , D , D , D ,231,271,28,460
Ohio,Columbus,CLM,238,250,22,453, -   , D , -   , D ,238,254,22,456
Oklahoma,,, , , , , , , , ,,,,
Oklahoma,Oklahoma City ,OKC,359,190,18,"1,069", -   ,11, -   ,19,359,201,18,"1,088"
Oregon,,, , , , , , , , ,,,,
Oregon,Portland ,POO,460,505,34,823, -   , D , D , D ,460,508,35,824
Pennsylvania,,, , , , , , , , ,,,,
Pennsylvania,Philadelphia,PHI,"1,185","1,348",109,"3,192", D ,72, D ,44,"1,187","1,420",116,"3,236"
Pennsylvania,Pittsburgh ,PIT,216,238,18,482, D , -   , -   , D ,217,238,18,486
Rhode Island,,, , , , , , , , ,,,,
Rhode Island,Providence ,PRO,233,326,33,512, D , D , -   , D ,234,333,33,520
South Carolina,,, , , , , , , , ,,,,
South Carolina,Charleston ,CHL,298,364,39,741, -   , D , -   , D ,298,369,39,750
Tennessee,,, , , , , , , , ,,,,
Tennessee,Memphis ,MEM,540,613,26,"1,292", -   ,24, D ,38,540,637,27,"1,330"
Texas,,, , , , , , , , ,,,,
Texas,Dallas ,DAL,"2,274","1,652",135,"8,079", D ,10, D ,268,"2,275","1,662",139,"8,347"
Texas,El Paso ,ELP,633,605,19,"1,561", -   , D , D ,53,633,606,20,"1,614"
Texas,Harlingen ,HLG,717,711,47,"1,701", D , D , D , D ,719,716,50,"1,707"
Texas,Houston ,HOU,"2,801",851,155,"9,700", D ,21, D ,171,"2,804",872,162,"9,871"
Texas,San Antonio ,SNA,"1,385",608,30,"3,559", D , D , D ,47,"1,387",616,32,"3,606"
Utah,,, , , , , , , , ,,,,
Utah,Salt Lake City ,SLC,613,711,15,"1,006", D , D , D ,14,614,716,19,"1,020"
Vermont,,, , , , , , , , ,,,,
Vermont,St. Albans ,STA,40,83, D ,143, -   , D , -   , -   ,40,86, D ,143
Virginia,,, , , , , , , , ,,,,
Virginia,Norfolk ,NOR,371,411,37,"1,034", -   , D , D ,23,371,412,39,"1,057"
Washington,,, , , , , , , , ,,,,
Washington,Seattle ,SEA,992,507,48,"2,305", D ,17, D , D ,995,524,52,"2,314"
Washington,Spokane ,SPO,58,98, D ,119, -   , -   , -   , -   ,58,98, D ,119
Washington,Yakima,YAK,124,158, D ,218, D , D , D , D ,125,161, D ,224
Wisconsin,,, , , , , , , , ,,,,
Wisconsin,Milwaukee ,MIL,327,311,25,702, -   , D , D ,31,327,314,27,733
Field Office by Territory6,,,   ,   ,   ,   ,   ,   ,   ,   ,,,,
Guam,,, , , , , , , , ,,,,
,Hagatna,AGA,166,143, D ,369, -   , D , D , D ,166,144, D ,370
U.S. Virgin Islands,,, , , , , , , , ,,,,
,Charlotte Amalie,CHA,35,74, D ,53, -   , D , -   , -   ,35,77, D ,53
,Christiansted ,CHR, D , -   , -   ,52, -   , -   , -   , D , D , -   , -   ,54
Puerto Rico,,, , , , , , , , ,,,,
,San Juan ,SAJ,124,131,11,426, -   , D , D ,12,124,137,12,438
Service Center,,,   ,   ,   ,   ,   ,   ,   ,   ,,,,
,California,WSC,652,"1,896","1,106","6,080","70,071","34,934","4,608","462,043","70,723","36,830","5,714","468,123"
,Nebraska,NSC,"63,495","39,910","2,588","115,724","1,361",947,292,"2,968","64,856","40,857","2,880","118,692"
,Texas,SSC,"15,205","25,359","1,004","11,523",345,659,288,367,"15,550","26,018","1,292","11,890"
,Vermont,ESC, -   ,482,635,"6,125", D ,426,443,"140,175", D ,908,"1,078","146,300"
,Potomac,YSC,"12,133","17,298",683,"14,835",253,501,34,279,"12,386","17,799",717,"15,114"
International Field Office by Country,,,,,,,,,,,,,,
China,,, , , , , , , , ,,,,
,Beijing,BEI,73,63, D ,37,N/A,N/A,N/A,N/A,73,63, D ,37
,Guangzhou,GZH,84,84, D ,32,N/A,N/A,N/A,N/A,84,84, D ,32
Cuba,,,,,,, , , , , , , , 
,Havana,HAV, D , D , -   ,0,N/A,N/A,N/A,N/A,D,D, -   ,0
Dominican Republic,,,,,,, , , , , , , , 
,Santo Domingo,SDM,157,112, D ,48,N/A,N/A,N/A,N/A,157,112, D ,48
El Salvador,,,,,,, , , , , , , , 
,San Salvador,SNS,10,11,0,D,N/A,N/A,N/A,N/A,10,11, -   ,D
Germany,,,,,,, , , , , , , , 
,Frankfurt,FKG,228,139,D,127,N/A,N/A,N/A,N/A,228,139, D ,127
Ghana,,,,,,, , , , , , , , 
,Accra,ACG,D,D,0,D,N/A,N/A,N/A,N/A,D,D, -   ,D
Greece,,,,,,, , , , , , , , 
,Athens,ATH,30,40,D,D,N/A,N/A,N/A,N/A,30,40, D ,D
Guatemala,,,,,,, , , , , , , , 
,Guatemala City,GTM,18,32, -   ,12,N/A,N/A,N/A,N/A,18,32, -   ,12
Haiti,,,,,,, , , , , , , , 
,Port-au-Prince,PAP,19,22, D ,D,N/A,N/A,N/A,N/A,19,22, D ,D
India,,,,,,, , , , , , , , 
,New Delhi,NDI,51,27, -   ,29,N/A,N/A,N/A,N/A,51,27, -   ,29
Italy,,,,,,, , , , , , , , 
,Rome,RIT,91,91,D,29,N/A,N/A,N/A,N/A,91,91, D ,29
Jordan,,,,,,, , , , , , , , 
,Amman,AMM,51,68,0,48,N/A,N/A,N/A,N/A,51,68, -   ,48
Kenya,,,,,,, , , , , , , , 
,Nairobi,NBO,10,D, -   ,D,N/A,N/A,N/A,N/A,10,D, -   ,D
Mexico,,,,,,, , , , , , , , 
,Ciudad Juarez,CDJ,53,54, -   ,0,N/A,N/A,N/A,N/A,53,54, -   ,0
,Mexico City,MEX,82,70, -   ,17,N/A,N/A,N/A,N/A,82,70, -   ,17
,Monterrey,MTR,22,15, -   ,11,N/A,N/A,N/A,N/A,22,15, -   ,11
Peru,,,,,,, , , , , , , , 
,Lima,LIM,30,33, -   ,D,N/A,N/A,N/A,N/A,30,33, -   ,D
Philippines,,,,,,, , , , , , , , 
,Manila,MPH,115,112,10,26,N/A,N/A,N/A,N/A,115,112,10,26
Russia,,,,,,, , , , , , , , 
,Moscow,MOS,23,23, -   ,,N/A,N/A,N/A,N/A,23,23, -   ,0
South Africa,,,,,,, , , , , , , , 
,Johannesburg,JHS,29,21,0,17,N/A,N/A,N/A,N/A,29,21, -   ,17
South Korea,,,,,,, , , , , , , , 
,Seoul,SEK,262,274,D,52,N/A,N/A,N/A,N/A,262,274, D ,52
Thailand,,,,,,, , , , , , , , 
,Bangkok,BKK,72,64,D,20,N/A,N/A,N/A,N/A,72,64, D ,20
United Kingdom,,,,,,, , , , , , , , 
,London,LDN,394,308,D,228,N/A,N/A,N/A,N/A,394,308, D ,228
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
D  Data withheld to protect applicants' privacy.,,,,,,,,,,,,,,
#NAME?,,,,,,,,,,,,,,
"1 ""Immediate Relatives"" refers to petitions to sponsor Immediate Relatives of U.S. citizens. ""All Other Relatives"" refers to petitions to sponsor relatives under Family-based Preferences. International Field Offices only accept I-130 filings for ",,,,,,,,,,,,,,
    immediate relatives of U.S. citizens residing in the country in which the Field Office is located. ,,,,,,,,,,,,,,
2  The number of new applications received and entered into a case-tracking system during the reporting period.,,,,,,,,,,,,,,
3  The number of applications approved during the reporting period.,,,,,,,,,,,,,,
"4  The number of applications that were denied, terminated, or withdrawn during the reporting period.",,,,,,,,,,,,,,
5  The number of applications awaiting a decision as of the end of the reporting period.,,,,,,,,,,,,,,
6  Represents the office location. The office location does not reflect the complete area covered by the officeÍs jurisdiction. Please refer to USCIS.gov for office jurisdictions.,,,,,,,,,,,,,,
"NOTE:  1) Some applications approved, denied, or pending a decision may have been received in prior reporting periods. ",,,,,,,,,,,,,,
             2) The report reflects the most up-to-date estimate available at the time the report is generated.,,,,,,,,,,,,,,
"Sources:  Department of Homeland Security, U.S. Citizenship and Immigration Services, Performance Reporting Tool (PRT), September 2016; Department of Homeland Security, U.S. Citizenship and Immigration Services, CAMINO, September 2016.",,,,,,,,,,,,,,
