USCIS Field Office or Service Center Location,,,Petitions by Category of Relatives and Case Status,,,,,,,,,,,
,,,Immediate Relative1,,,,All Other Relative1,,,,Total,,,
,,,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,Approved3,Denied4,Pending5
 ,,,,,,,,,,,,,,
Total,,,"155,719","135,899","10,044","329,546","72,149","38,331","5,863","609,797","227,868","174,230","15,907","939,343"
,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,
Alaska,,,,,,,,,,,,,,
Alaska,Anchorage ,ANC,78,61, D ,183, -   , D , -   , D ,78,63, D ,188
Arizona,,, , , , , , , , ,,,,
Arizona,Phoenix ,PHO,916,495,33,"2,195", D , D , D ,21,917,499,41,"2,216"
Arizona,Tucson,TUC,328,543, D ,800, -   ,10, -   , D ,328,553, D ,804
Arkansas,,, , , , , , , , ,,,,
Arkansas,Fort Smith ,FSA,117,135, D ,230, -   , D , D , D ,117,138,10,232
California,,, , , , , , , , ,,,,
California,Chula Vista,CVC, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
California,Fresno ,FRE,613,430,40,"1,056", D , D , D ,32,616,433,44,"1,088"
California,Imperial,IMP,111,199,14,199, D , D , -   , D ,112,201,14,201
California,Los Angeles ,LOS,"1,532","1,357",71,"3,310", -   ,14, D ,53,"1,532","1,371",79,"3,363"
California,Los Angeles County ,LAC,"1,804","1,379",170,"3,528", D ,16, D ,46,"1,806","1,395",178,"3,574"
California,Sacramento ,SAC,670,"1,159",54,"1,325", D ,14, D , D ,671,"1,173",55,"1,326"
California,San Bernardino,SBD,"1,427","1,412",81,"2,455", D ,10, D ,33,"1,431","1,422",84,"2,488"
California,San Diego ,SND,"1,054",842,26,"2,790", D , D , D , D ,"1,061",845,27,"2,799"
California,San Fernando Valley,SFV,"1,030",819,74,"2,695", D ,34, D ,11,"1,031",853,77,"2,706"
California,San Francisco,SFR,"1,739","1,356",42,"4,898", D ,19, D ,36,"1,740","1,375",44,"4,934"
California,San Jose ,SNJ,923,549,18,"2,504", D , D , D ,48,924,558,21,"2,552"
California,Santa Ana,SAA,"1,280",894,69,"3,475", D ,20,15, D ,"1,281",914,84,"3,479"
Colorado,,, , , , , , , , ,,,,
Colorado,Denver ,DEN,843,"1,097",70,"3,017", D , D , D ,18,844,"1,106",73,"3,035"
Connecticut,,, , , , , , , , ,,,,
Connecticut,Hartford ,HAR,702,436,103,"2,161", D , D , D ,123,703,440,104,"2,284"
Delaware,,, , , , , , , , ,,,,
Delaware,Dover,DVD, -   ,44, -   , D , -   , -   , -   , -   , -   ,44, -   , D 
District of Columbia,,, , , , , , , , ,,,,
District of Columbia,Washington ,WAS,"1,224",368,44,"3,765", D ,10, D ,146,"1,225",378,48,"3,911"
Florida,,, , , , , , , , ,,,,
Florida,Hialeah,HIA,602,659,34,"1,530", D , D , D ,12,606,666,39,"1,542"
Florida,Jacksonville,JAC,459,580,40,931, D , -   , D , D ,461,580,41,934
Florida,Kendall,KND,491,186,34,"1,646", D ,10, D , D ,493,196,35,"1,651"
Florida,Miami ,MIA,937,623,75,"3,552", D ,32, D ,30,941,655,77,"3,582"
Florida,Fort Myers,OFM,90, D , -   ,903, D , -   , -   ,10,91, D , -   ,913
Florida,Oakland Park,OKL,"1,320",443,80,"4,390", D ,10, D ,28,"1,327",453,82,"4,418"
