,,,,,,,,,,,,,,
USCIS Field Office or Service Center Location,,Petitions by Category of Relatives and Case Status,,,,,,,,,,,,
,,Immediate Relative1,,,,All Other Relative1,,,,Total,,,,
,,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,Approved3,Denied4,Pending5,
 ,,,,,,,,,,,,,,
Total,," 131,962 "," 73,718 "," 8,630 "," 352,855 "," 85,713 "," 87,977 "," 4,195 "," 533,080 "," 217,675 "," 161,695 "," 12,825 "," 885,935 ",
,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,
,Baltimore ," 2,950 "," 1,377 ", 206 ," 7,819 ", 130 , 33 , -   , 267 ," 3,080 "," 1,410 ", 206 ," 8,086 ",
Massachusetts,,,,,,,,,,,,,,
,Boston ," 2,808 "," 1,278 ", 107 ," 6,724 ", 115 , 12 , D , 227 ," 2,923 "," 1,290 ", 108 ," 6,951 ",
,Lawrence," 1,124 ", 478 , 55 ," 2,853 ", 43 , D , D , 77 ," 1,167 ", 481 , 57 ," 2,930 ",
Michigan,,,,,,,,,,,,,,
,Detroit ," 1,707 ", 880 , 74 ," 4,922 ", 93 , D , D , 437 ," 1,800 ", 885 , 77 ," 5,359 ",
Minnesota,,,,,,,,,,,,,,
,St. Paul ," 1,760 ", 509 , 113 ," 3,951 ", 59 , D , -   , 145 ," 1,819 ", 510 , 113 ," 4,096 ",
Missouri,,,,,,,,,,,,,,
,Kansas City , 784 , 806 , 69 ," 1,682 ", 38 , D , -   , 70 , 822 , 815 , 69 ," 1,752 ",
,St. Louis , 435 , 238 , 34 , 872 , 32 , D , D , 50 , 467 , 239 , 36 , 922 ,
Montana,,,,,,,,,,,,,,
,Helena , 65 , 80 , D , 124 , D , D , D , D , 69 , 81 , D , 129 ,
Nebraska,,,,,,,,,,,,,,
,Omaha , 531 , 512 , 48 ," 1,073 ", 24 , -   , -   , 62 , 555 , 512 , 48 ," 1,135 ",
Nevada,,,,,,,,,,,,,,
,Las Vegas ," 1,413 ", 692 , 74 ," 3,444 ", 54 , D , -   , 111 ," 1,467 ", 696 , 74 ," 3,555 ",
,Reno , 225 , 132 , D , 799 , D , -   , -   , 16 , 228 , 132 , D , 815 ,
New Hampshire,,,,,,,,,,,,,,
,Manchester , 250 , 117 , 15 , 571 , D , D , -   , 13 , 259 , 118 , 15 , 584 ,
New Jersey,,,,,,,,,,,,,,
,Mount Laurel," 1,214 ", 971 , 82 ," 3,521 ", 81 , D , -   , 176 ," 1,295 ", 973 , 82 ," 3,697 ",
,Newark ," 5,594 "," 3,436 ", 212 ," 12,968 ", 269 , D , D , 639 ," 5,863 "," 3,443 ", 216 ," 13,607 ",
New Mexico,,,,,,,,,,,,,,
,Albuquerque , 392 , 215 , D , 879 , 19 , -   , -   , 28 , 411 , 215 , D , 907 ,
New York,,,,,,,,,,,,,,
,Albany , 301 , 110 , D , 775 , 15 , D , -   , 61 , 316 , 111 , D , 836 ,
