USCIS Field Office or Service Center Location,,,Petitions by Category of Relatives and Case Status,,,,,,,,,,,
,,,Immediate Relative1,Immediate Relative1,Immediate Relative1,Immediate Relative1,All Other Relative1,All Other Relative1,All Other Relative1,All Other Relative1,Total,Total,Total,Total
,,,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,Approved3,Denied4,Pending5
 ,,,,,,,,,,,,,,
Total,,,"128,127","122,327","8,900","276,935","55,074","74,249","13,569","475,552","183,201","196,576","22,469","752,487"
,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,
,Albuquerque ,ABQ,150,205, D ,369, D ,12, -   , D ,151,217, D ,374
New York,,,,,,,,,,,,,,
,Albany ,ALB,124,153, D ,290, -   , -   , -   ,15,124,153, D ,305
,Buffalo ,BUF,189,276,26,590, -   ,52, D ,61,189,328,35,651
,Long Island,LNY,"1,130",825,25,"3,967", D , D , D ,186,"1,131",829,29,"4,153"
,New York ,NYC,"3,705","4,124",380,"9,718", D ,40,11,257,"3,710","4,164",391,"9,975"
,Queens,QNS,"1,232",698,14,"3,466", -   , D , -   ,160,"1,232",704,14,"3,626"
North Carolina,,,,,,,,,,,,,,
,Charlotte ,CLT,411,357,46,795, D , D , -   , D ,412,359,46,798
,Raleigh,RAL,424,469,24,915, D , D , D , D ,425,478,25,919
Ohio,,,,,,,,,,,,,,
,Cincinnati ,CIN,128,159,16,323, -   , D , -   ,10,128,160,16,333
,Cleveland ,CLE,176,246,29,415, -   , D , -   , -   ,176,248,29,415
,Columbus,CLM,208,245,61,464, -   , D , -   ,10,208,246,61,474
Oklahoma,,,,,,,,,,,,,,
,Oklahoma City ,OKC,241,234,15,969, D , D , -   , D ,242,235,15,978
Oregon,,,,,,,,,,,,,,
,Portland ,POO,375,367,19,"1,116", D , D , D , D ,376,371,21,"1,118"
Pennsylvania,,,,,,,,,,,,,,
,Philadelphia,PHI,888,941,126,"2,405", D , D , -   , D ,889,947,126,"2,413"
