,,,,,,,,,,,,,,,
USCIS Field Office or Service Center Location,,,Petitions by Category of Relatives and Case Status,,,,,,,,,,,,
,,,Immediate Relative1,,,,All Other Relative1,,,,Total,,,,
,,,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,Approved3,Denied4,Pending5,
 ,,,,,,,,,,,,,,,
Total,,," 163,729 "," 143,909 "," 9,699 "," 312,443 "," 74,639 "," 33,292 "," 5,098 "," 577,951 "," 238,368 "," 177,201 "," 14,797 "," 890,394 ",
,,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,,
Massachusetts,,, , , , , , , , ,,,,,
,Boston ,BOS," 1,401 "," 1,142 ", 57 ," 4,264 ", -   , 11 , -   , 148 ," 1,401 "," 1,153 ", 57 ," 4,412 ",
,Lawrence,LAW, 496 , 293 , 40 ," 1,152 ", D , D , D , 40 , 497 , 295 , 42 ," 1,192 ",
Michigan,,, , , , , , , , ,,,,,
,Detroit ,DET, 652 , 942 , 65 ," 1,408 ", D , 51 , D , 202 , 653 , 993 , 66 ," 1,610 ",
Minnesota,,, , , , , , , , ,,,,,
,St. Paul ,SPM, 633 , 301 , 24 ," 1,696 ", D , D , -   , 17 , 634 , 303 , 24 ," 1,713 ",
Missouri,,, , , , , , , , ,,,,,
,Kansas City ,KAN, 392 , 514 , 18 , 602 , D , -   , -   , 18 , 393 , 514 , 18 , 620 ,
,St. Louis ,STL, 188 , 68 , D , 792 , -   , D , -   , -   , 188 , 69 , D , 792 ,
Montana,,, , , , , , , , ,,,,,
,Helena ,HEL, 39 , 80 , D , 118 , -   , -   , -   , D , 39 , 80 , D , 119 ,
Nebraska,,, , , , , , , , ,,,,,
,Omaha ,OMA, 156 , 476 , 42 , 352 , -   , 12 , D , D , 156 , 488 , 43 , 353 ,
Nevada,,, , , , , , , , ,,,,,
,Las Vegas ,LVG, 717 , 332 , 66 ," 1,833 ", D , D , D , D , 719 , 339 , 71 ," 1,840 ",
,Reno ,REN, 85 , 326 , D , 621 , -   , -   , -   , -   , 85 , 326 , D , 621 ,
New Hampshire,,, , , , , , , , ,,,,,
,Manchester ,MAN, 100 , 121 , D , 250 , -   , D , D , D , 100 , 129 , D , 253 ,
New Jersey,,, , , , , , , , ,,,,,
,Mount Laurel,MTL, 524 , 814 , 47 ," 1,148 ", D , D , -   , 21 , 525 , 823 , 47 ," 1,169 ",
,Newark ,NEW," 2,543 "," 2,569 ", 149 ," 7,995 ", D , 20 , D , 67 ," 2,547 "," 2,589 ", 155 ," 8,062 ",
New Mexico,,, , , , , , , , ,,,,,
,Albuquerque ,ABQ, 190 , 209 , D , 413 , -   , D , -   , -   , 190 , 214 , D , 413 ,
New York,,, , , , , , , , ,,,,,
,Albany ,ALB, 136 , 107 , D , 291 , -   , -   , -   , 26 , 136 , 107 , D , 317 ,
,Buffalo ,BUF, 188 , 387 , 20 , 604 , -   , 10 , D , 80 , 188 , 397 , 23 , 684 ,
,Long Island,LNY," 1,517 "," 1,190 ", 57 ," 4,666 ", D , 32 , -   , 188 ," 1,524 "," 1,222 ", 57 ," 4,854 ",
,New York ,NYC," 4,549 "," 4,105 ", 492 ," 13,433 ", D , 80 , 40 , 605 ," 4,555 "," 4,185 ", 532 ," 14,038 ",
,Queens,QNS," 1,512 "," 1,264 ", 95 ," 4,572 ", D , 54 , 10 , 184 ," 1,514 "," 1,318 ", 105 ," 4,756 ",
North Carolina,,, , , , , , , , ,,,,,
,Charlotte ,CLT, 577 , 474 , 25 , 904 , D , D , -   , D , 578 , 481 , 25 , 906 ,
,Raleigh,RAL, 552 , 520 , 43 , 981 , -   , 16 , D , D , 552 , 536 , 47 , 988 ,
Ohio,,, , , , , , , , ,,,,,
,Cincinnati ,CIN, 168 , 178 , 11 , 315 , -   , -   , -   , D , 168 , 178 , 11 , 321 ,
,Cleveland ,CLE, 251 , 240 , 25 , 447 , -   , 15 , -   , D , 251 , 255 , 25 , 448 ,
,Columbus,CLM, 252 , 189 , 30 , 438 , D , D , D , D , 253 , 193 , 31 , 446 ,
Oklahoma,,, , , , , , , , ,,,,,
,Oklahoma City ,OKC, 371 , 321 , 23 , 939 , D , D , -   , 24 , 373 , 328 , 23 , 963 ,
Oregon,,, , , , , , , , ,,,,,
,Portland ,POO, 508 , 335 , 29 , 882 , -   , D , -   , D , 508 , 340 , 29 , 887 ,
Pennsylvania,,, , , , , , , , ,,,,,
,Philadelphia,PHI," 1,161 "," 1,777 ", 135 ," 3,008 ", D , 52 , -   , 122 ," 1,164 "," 1,829 ", 135 ," 3,130 ",
