USCIS Field Office or Service Center Location,,,Petitions by Category of Relatives and Case Status,,,,,,,,,,,
,,,Immediate Relative1,Immediate Relative1,Immediate Relative1,Immediate Relative1,All Other Relative1,All Other Relative1,All Other Relative1,All Other Relative1,Total,Total,Total,Total
,,,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,Approved3,Denied4,Pending5
 ,,,,,,,,,,,,,,
Total,,,"136,376","137,493","8,770","295,267","60,088","40,249","7,760","479,481","196,464","177,742","16,530","774,748"
,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,
Alaska,,,,,,,,,,,,,,
,Anchorage ,ANC,66,65, D ,174, -   , -   , D , D ,66,65, D ,175
Arizona,,,,,,,,,,,,,,
 ,Phoenix ,PHO,904,876,33,"2,827", D , D , D ,80,905,880,35,"2,907"
,Tucson,TUC,334,389,15,587, D , D , -   , D ,335,396,15,589
Arkansas,,,,,,,,,,,,,,
,Fort Smith ,FSA,82,117,10,190, -   , D , -   , D ,82,124,10,192
California,,,,,,,,,,,,,,
,Chula Vista,CVC,507,368,31,"1,237", D , D , -   , D ,510,376,31,"1,245"
,Fresno ,FRE,512,417,15,"1,255", -   , D , -   ,40,512,421,15,"1,295"
,Imperial,IMP,87,253, D ,189, -   , -   , -   , D ,87,253, D ,191
,Los Angeles ,LOS,"1,618","2,175",146,"5,244", -   ,59, D ,104,"1,618","2,234",154,"5,348"
,Los Angeles County ,LAC,"1,600","1,660",108,"2,499", D ,15, -   ,41,"1,603","1,675",108,"2,540"
,Sacramento ,SAC,537,"1,088",39,"1,815", D ,15, D , D ,538,"1,103",41,"1,817"
,San Bernardino,SBD,"1,254","1,667",125,"2,163", -   ,17, D ,75,"1,254","1,684",126,"2,238"
,San Diego ,SND,429,254,19,"1,162", D , D , D ,21,430,255,20,"1,183"
,San Fernando Valley,SFV,968,"1,027",84,"2,247", D , D , D ,127,970,"1,032",93,"2,374"
,San Francisco,SFR,"1,412","1,774",53,"3,322", -   ,28,12,110,"1,412","1,802",65,"3,432"
,San Jose ,SNJ,931,921,33,"1,584", -   ,10, D ,10,931,931,36,"1,594"
,Santa Ana,SAA,"1,102",680,53,"3,399", -   , D , D , D ,"1,102",688,59,"3,401"
Colorado,,,,,,,,,,,,,,
,Denver ,DEN,799,347,60,"3,170", D ,15, D , D ,801,362,61,"3,173"
Connecticut,,,,,,,,,,,,,,
,Hartford ,HAR,570,274,103,"1,846", D , D , D ,80,572,276,104,"1,926"
,Delaware,,,,,,,,,,,,,
,Dover,DVD, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
District of Columbia,,,,,,,,,,,,,,
,Washington ,WAS,970,787,52,"3,108", D , D , D ,44,971,793,55,"3,152"
Florida,,,,,,,,,,,,,,
,Hialeah,HIA,538,922,49,"1,211", D , D , D , D ,541,930,50,"1,217"
,Jacksonville,JAC,410,392,32,849, -   , D , D , D ,410,398,33,851
,Kendall,KND,456,763,38,784, -   ,11, D , D ,456,774,47,789
,Miami ,MIA,912,566,45,"3,009", D , D , D ,56,917,571,47,"3,065"
,Oakland Park,OKL,"1,133","1,673",130,"2,234", D ,31, D ,80,"1,136","1,704",135,"2,314"
,Orlando ,ORL,908,944,96,"2,099", D , D , D ,61,910,950,97,"2,160"
,TAM,TAM,816,814,124,"2,164", D ,16, D ,123,817,830,129,"2,287"
