USCIS Field Office or Service Center Location,,,Petitions by Category of Relatives and Case Status,,,,,,,,,,,
,,,Immediate Relative1,Immediate Relative1,Immediate Relative1,Immediate Relative1,All Other Relative1,All Other Relative1,All Other Relative1,All Other Relative1,Total,Total,Total,Total
,West Palm Beach,WPB,570,792,55,"1,401", D , D , D , D ,572,801,56,"1,409"
Georgia,,,,,,,,,,,,,,
,Atlanta ,ATL,"1,774","1,566",87,"4,401", D ,25, D ,40,"1,778","1,591",90,"4,441"
Hawaii,,,,,,,,,,,,,,
,Honolulu ,HHW,258,282,33,477, D , D , -   , D ,259,284,33,479
Idaho,,,,,,,,,,,,,,
,Boise ,BOI,88,468, D ,353, D , D , -   , D ,89,469, D ,355
Illinois,,,,,,,,,,,,,,
,Chicago ,CHI,"2,447","1,956",117,"6,843", D ,55, D ,276,"2,448","2,011",124,"7,119"
Indiana,,,,,,,,,,,,,,
,Indianapolis ,INP,322,381,31,637, -   , D , D , D ,322,384,34,641
Iowa,,,,,,,,,,,,,,
,Des Moines,DSM,119,110,15,302, -   , D , -   , D ,119,115,15,305
Kansas,,,,,,,,,,,,,,
,Wichita,WIC,133,120, D ,290, -   , D , D , -   ,133,125, D ,290
Kentucky,,,,,,,,,,,,,,
,Louisville ,LOU,186,221,24,465, -   , D , -   , D ,186,223,24,468
Louisiana,,,,,,,,,,,,,,
,New Orleans ,NOL,345,493,42,541, D , D , D , D ,346,496,44,543
Maine,,,,,,,,,,,,,,
,Portland ,POM,55,315, D ,191, -   , -   , -   , -   ,55,315, D ,191
Maryland,,,,,,,,,,,,,,
,Baltimore ,BAL,"1,170",880,82,"3,969", -   ,13, D ,12,"1,170",893,84,"3,981"
Massachusetts,,,,,,,,,,,,,,
,Boston ,BOS,"1,297",638,33,"3,787", -   ,15, -   ,56,"1,297",653,33,"3,843"
,Lawrence,LAW,432,314,25,"1,415", -   ,11, -   , D ,432,325,25,"1,420"
Michigan,,,,,,,,,,,,,,
,Detroit ,DET,638,393,58,"2,037", -   ,27, D ,323,638,420,62,"2,360"
Minnesota,,,,,,,,,,,,,,
,St. Paul ,SPM,512,595,42,"1,205", D , D , -   ,24,516,597,42,"1,229"
Missouri,,,,,,,,,,,,,,
,Kansas City ,KAN,290,609,25,524, -   , D , -   ,10,290,613,25,534
,St. Louis ,STL,161,203,12,553, -   , D , -   , D ,161,205,12,557
Montana,,,,,,,,,,,,,,
,Helena ,HEL,46,158, D ,97, -   , -   , -   , -   ,46,158, D ,97
Nebraska,,,,,,,,,,,,,,
,Omaha ,OMA,154,477,41,308, D ,19, D , D ,156,496,47,310
Nevada,,,,,,,,,,,,,,
,Las Vegas ,LVG,652,628,38,"1,993", D , D , D ,26,655,632,39,"2,019"
,Reno ,REN,80,204,13,376, D , -   , -   , D ,81,204,13,380
New Hampshire,,,,,,,,,,,,,,
,Manchester ,MAN,114,293, D ,361, -   , D , D , D ,114,297, D ,365
New Jersey,,,,,,,,,,,,,,
,Mount Laurel,MTL,499,"1,112",53,942, -   , D , D , D ,499,"1,116",54,943
,Newark ,NEW,"2,148","1,886",135,"5,712", D ,25, D ,70,"2,151","1,911",141,"5,782"
New Mexico,,,,,,,,,,,,,,
,Albuquerque ,ABQ,192,298,12,252, -   , D , -   , D ,192,301,12,255
New York,,,,,,,,,,,,,,
,Albany ,ALB,123,126, D ,363, -   , D , -   ,11,123,128, D ,374
,Buffalo ,BUF,184,421,85,768, -   ,10, D ,103,184,431,93,871
,Long Island,LNY,"1,362",679,40,"4,800", D ,21, D ,81,"1,363",700,49,"4,881"
,New York ,NYC,"4,005","3,610",449,"11,722", D ,66,13,450,"4,008","3,676",462,"12,172"
,Queens,QNS,"1,395",32,31,"5,380", -   , D , D ,172,"1,395",33,33,"5,552"
North Carolina,,,,,,,,,,,,,,
,Charlotte ,CLT,433,428,29,667, -   , D , D , D ,433,433,30,668
,Raleigh,RAL,495,647,45,914, -   ,20, -   , D ,495,667,45,918
Ohio,,,,,,,,,,,,,,
,Cincinnati ,CIN,158,151,17,349, -   , -   , -   , D ,158,151,17,353
,Cleveland ,CLE,207,254,19,387, -   , D , D , D ,207,256,20,396
,Columbus,CLM,234,316,54,369, -   , -   , -   , D ,234,316,54,371
Oklahoma,,,,,,,,,,,,,,
,Oklahoma City ,OKC,304,216,14,"1,011", -   ,18, D ,41,304,234,15,"1,052"
Oregon,,,,,,,,,,,,,,
,Portland ,POO,375,387,19,845, -   , D , D , D ,375,393,21,846
Pennsylvania,,,,,,,,,,,,,,
,Philadelphia,PHI,"1,055","1,337",117,"2,339", -   , D , -   , D ,"1,055","1,339",117,"2,341"
,Pittsburgh ,PIT,201,118, D ,910, -   , -   , -   , D ,201,118, D ,912
Rhode Island,,,,,,,,,,,,,,
,Providence ,PRO,134,502,20,329, -   , D , -   , D ,134,505,20,331
South Carolina,,,,,,,,,,,,,,
,Charleston ,CHL,285,195,16,709, -   , D , -   , D ,285,199,16,717
Tennessee,,,,,,,,,,,,,,
,Memphis ,MEM,486,587,23,"1,066", -   , D , -   ,63,486,589,23,"1,129"
Texas,,,,,,,,,,,,,,
,Dallas ,DAL,"1,997","1,500",103,"7,905", D ,10, D ,242,"1,999","1,510",104,"8,147"
,El Paso ,ELP,572,726,22,"1,144", D ,14, D ,22,574,740,23,"1,166"
,Harlingen ,HLG,664,895,22,"1,288", D , D , D ,19,669,902,24,"1,307"
,Houston ,HOU,"2,359","1,468",145,"5,606", D ,29, D ,35,"2,360","1,497",149,"5,641"
,San Antonio ,SNA,"1,216","1,279",25,"2,686", D ,19, D ,46,"1,218","1,298",26,"2,732"
Utah,,,,,,,,,,,,,,
,Salt Lake City ,SLC,489,674,26,929, D ,13, D ,22,490,687,27,951
Vermont,,,,,,,,,,,,,,
,St. Albans ,STA,27,55, D ,112, -   , D , -   , -   ,27,56, D ,112
Virginia,,,,,,,,,,,,,,
,Norfolk ,NOR,339,351,34,919, -   , D , D , D ,339,359,37,927
Washington,,,,,,,,,,,,,,
,Seattle ,SEA,810,541,42,"2,034", -   ,10, D , D ,810,551,45,"2,035"
,Spokane ,SPO,45,68, D ,123, -   , D , -   , D ,45,69, D ,125
,Yakima,YAK,103,173, D ,120, D , D , D , D ,104,174, D ,125
Wisconsin,,,,,,,,,,,,,,
,Milwaukee ,MIL,254,319,28,554, -   , -   , -   ,17,254,319,28,571
Field Office by Territory6,,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,,
,Hagatna,AGA,73,142, D ,315, -   , D , -   , -   ,73,144, D ,315
U.S. Virgin Islands,,,,,,,,,,,,,,
,Charlotte Amalie,CHA,17,66, D ,59, -   , D , -   , -   ,17,67, D ,59
,Christiansted ,CHR, D , D , D ,34, -   , -   , -   , -   , D , D , D ,34
Puerto Rico,,,,,,,,,,,,,,
,San Juan ,SAJ,132,242,34,305, -   , D , D , -   ,132,243,35,305
Service Center,,,,,,,,,,,,,,
,California,WSC,"15,134","13,328",923,"20,638","58,015","35,106","6,566","329,654","73,149","48,434","7,489","350,292"
,Nebraska,NSC,"54,825","52,516","2,551","96,093","1,693","1,474",184,"3,567","56,518","53,990","2,735","99,660"
,Texas,SSC,"11,342","11,883",524,"22,886",307,268,143,655,"11,649","12,151",667,"23,541"
,Vermont,ESC, D ,"4,651",784,"8,789", D ,"2,585",700,"142,259", D ,"7,236","1,484","151,048"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
D  Data withheld to protect applicants' privacy.,,,,,,,,,,,,,,
- Represents zero,,,,,,,,,,,,,,
"1 ""Immediate Relatives"" refers to petitions to sponsor Immediate Relatives of U.S. citizens. ""All Other Relatives"" refers to petitions to sponsor relatives under Family-based Preferences.",,,,,,,,,,,,,,
2  The number of new applications received and entered into a case-tracking system during the reporting period.,,,,,,,,,,,,,,
3  The number of applications approved during the reporting period.,,,,,,,,,,,,,,
"4  The number of applications that were denied, terminated, or withdrawn during the reporting period.",,,,,,,,,,,,,,
5  The number of applications awaiting a decision as of the end of the reporting period.,,,,,,,,,,,,,,
6  Represents the office location. The office location does not reflect the complete area covered by the office’s jurisdiction. Please refer to USCIS.gov for office jurisdictions.,,,,,,,,,,,,,,
"NOTE:  1) Some applications approved, denied, or pending a decision may have been received in prior reporting periods. ",,,,,,,,,,,,,,
               2) The report reflects the most up-to-date estimate available at the time the report is generated.,,,,,,,,,,,,,,
"Source:  Department of Homeland Security, U.S. Citizenship and Immigration Services, Performance Analysis System (PAS), September 2015",,,,,,,,,,,,,,
