,,, I-130 IMMEDIATE RELATIVE , I-130 IMMEDIATE RELATIVE , I-130 IMMEDIATE RELATIVE , I-130 IMMEDIATE RELATIVE , I-130 IMMEDIATE RELATIVE , I-130 IMMEDIATE RELATIVE , I-130 IMMEDIATE RELATIVE , I-130 IMMEDIATE RELATIVE , I-130 IMMEDIATE RELATIVE , I-130 IMMEDIATE RELATIVE , I-130 IMMEDIATE RELATIVE , I-130 IMMEDIATE RELATIVE , TOTAL , TOTAL , TOTAL , I-130 ALL OTHER RELATIVE , I-130 ALL OTHER RELATIVE , I-130 ALL OTHER RELATIVE , I-130 ALL OTHER RELATIVE , I-130 ALL OTHER RELATIVE , I-130 ALL OTHER RELATIVE , I-130 ALL OTHER RELATIVE , I-130 ALL OTHER RELATIVE , I-130 ALL OTHER RELATIVE , I-130 ALL OTHER RELATIVE , I-130 ALL OTHER RELATIVE , I-130 ALL OTHER RELATIVE , TOTAL , TOTAL , TOTAL ,Total Alien Relative Petitions,Total Alien Relative Petitions,Total Alien Relative Petitions
,,, First Quarter , First Quarter , First Quarter , Second Quarter , Second Quarter , Second Quarter , Third Quarter , Third Quarter , Third Quarter , Fourth Quarter , Fourth Quarter , Fourth Quarter , TOTAL , TOTAL , TOTAL , First Quarter , First Quarter , First Quarter , Second Quarter , Second Quarter , Second Quarter , Third Quarter , Third Quarter , Third Quarter , Fourth Quarter , Fourth Quarter , Fourth Quarter , TOTAL , TOTAL , TOTAL ,Total Alien Relative Petitions,Total Alien Relative Petitions,Total Alien Relative Petitions
Fiscal Year,Office,Description, Receipts , Approvals , Denials , Receipts , Approvals , Denials , Receipts , Approvals , Denials , Receipts , Approvals , Denials , Receipts , Completions , Pending , Receipts , Approvals , Denials , Receipts , Approvals , Denials , Receipts , Approvals , Denials , Receipts , Approvals , Denials , Receipts , Completions , Pending , Receipts , Completions , Pending 
2012,ABQ,ALBUQUERQUE NM ,150,150,5,144,200,11,173,150,4,155,168,10,622,698,255,1,1, - ,1, - , - ,2,3, - ,1,2, - ,5,6,2,627,704,257
2012,AGA,AGANA GUAM ,412,118,5,154,150,10,96,252,28,123,192,40,785,795,269,2,1, - , - ,1,2, - ,5,1,1, - ,28,3,38,6,788,833,275
2012,ALB,ALBANY NY ,118,122,8,95,106,10,115,108,10,115,83,7,443,454,266, - ,3,2, - ,1, - , - ,15, - , - , - ,1, - ,22,16,443,476,282
2012,ANC,ANCHORAGE AK ,58,49,1,66,55,4,64,78,6,41,59,7,229,259,120, - ,1,1, - ,1, - ,1, - ,2, - ,1, - ,1,6, - ,230,265,120
2012,ATL,ATLANTA GA ,"1,746","1,498",99,"1,601","1,851",195,"1,687","1,386",160,"1,549","1,393",157,"6,583","6,739","3,553",5,29,15,6,20,4,5,27,1,3,15,2,19,113,149,"6,602","6,852","3,702"
2012,BAL,BALTIMORE MD ,"1,095",851,79,"1,057","1,185",184,"1,103","1,288",146,"1,076","1,134",104,"4,331","4,971","2,891",2,33, - ,2,30,4,1,11,4, - ,7, - ,5,89,135,"4,336","5,060","3,026"
2012,BOI,BOISE ID ,78,72,5,79,95,8,72,81,8,63,107,9,292,385,146, - , - ,1, - , - ,1, - ,4,1, - ,2, - , - ,9,2,292,394,148
2012,BOS,BOSTON MA ,"1,209","1,145",111,"1,086","1,337",100,"1,176","1,036",86,"1,079",900,80,"4,550","4,795","1,973",1,49,5, - ,8,3, - ,6, - ,1,10,1,2,82,120,"4,552","4,877","2,093"
2012,BUF,BUFFALO NY ,152,159,11,154,192,9,157,161,4,158,117,25,621,678,356,1,15,4, - ,6,8, - ,9, - , - ,2,1,1,45,14,622,723,370
2012,CHA,CHARLOTTE AMALIE ,16,8,3,22,16,5,19,10, - ,20,25,4,77,71,72, - ,3,2, - ,1, - , - ,1, - , - , - , - , - ,7,20,77,78,92
2012,CHI,CHICAGO IL ,"2,146","1,187",183,"2,116","2,664",174,"2,262","2,154",193,"2,110","2,144",226,"8,634","8,925","2,983",1,150,16,1,9, - , - ,21,2,1,3,3,3,204,152,"8,637","9,129","3,135"
2012,CHL,CHARLESTON SC ,227,204,18,273,170,38,246,329,26,244,232,25,990,"1,042",540, - ,2,14,1,7,1, - , - , - ,1,5, - ,2,29,47,992,"1,071",587
2012,CHR,CHRISTIANSTED VI ,9,12,3,12,13,1,15,13,3,3,10,3,39,58,26, - , - , - , - ,1, - , - ,1,2, - ,2, - , - ,6,5,39,64,31
2012,CHS,CHARLESTON WV,4, - , - , - , - , - , - , - , - , - , - , - ,4, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,4, - , - 
2012,CIN,CINCINNATI OH ,148,136,7,137,141,20,125,127,18,141,128,24,551,601,345, - , - , - , - , - , - , - , - , - , - , - , - , - , - ,22,551,601,367
2012,CLE,CLEVELAND OH ,200,238,17,196,228,23,201,203,24,174,203,15,771,951,417, - , - ,2, - ,2,1, - ,3, - , - , - , - , - ,8,17,771,959,434
2012,CLM,COLUMBUS OH,220,195,38,198,241,35,172,213,37,188,175,30,778,964,360, - ,2, - , - ,2,1, - ,1, - , - , - , - , - ,6,9,778,970,369
2012,CLT,CHARLOTTE NC ,393,457,29,400,364,26,438,363,17,402,452,28,"1,633","1,736",721,1,1,2,3,14,2,1,4,2, - ,3, - ,5,28,40,"1,638","1,764",761
2012,CVC,CHULA VISTA CA,511,488,36,496,471,36,590,440,23,521,380,25,"2,118","1,899",919,2,7,2,3,6, - ,2,8,1,4, - ,3,11,27,31,"2,129","1,926",950
2012,DAL,DALLAS TX ,"1,516","1,597",141,"1,637","1,714",165,"1,808","1,712",130,"1,651","1,513",134,"6,612","7,106","3,592",2,17,8,2,9,1,7,10,2,2,13, - ,13,60,112,"6,625","7,166","3,704"
2012,DEN,DENVER CO ,709,598,67,627,784,75,722,652,85,624,740,62,"2,682","3,063","1,567", - ,9,2, - ,8,2,1,11,1, - ,2,1,1,36,72,"2,683","3,099","1,639"
2012,DET,DETROIT MI ,566,537,60,531,555,53,581,628,62,574,643,101,"2,252","2,639","2,069",1,3,4, - , - , - ,1,11,5,2, - ,6,4,29,28,"2,256","2,668","2,097"
2012,DSM,DES MOINES IA,123,124,6,97,151,16,102,105,11,92,142,8,414,563,245, - ,5, - , - ,2, - , - ,1, - ,3,2, - ,3,10,31,417,573,276
2012,DVD,DOVER DE AFB , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
2012,ELP,EL PASO TX ,631,483,37,604,857,33,708,599,33,529,732,50,"2,472","2,824",881,6,1, - ,8,3, - ,6,2, - ,1,7, - ,21,13,51,"2,493","2,837",932
2012,FRE,FRESNO CA ,351,385,30,347,370,16,383,346,20,363,411,17,"1,444","1,595",965,2,30,8,1,19,8,2,15,3,3,10, - ,8,93,43,"1,452","1,688","1,008"
2012,FSA,FORT SMITH AR ,61,71, - ,63,92,13,72,68,8,67,90,7,263,349,146, - ,1, - , - ,4,1, - , - , - , - ,1, - , - ,7,3,263,356,149
2012,GCU,GARDEN CITY NY,"1,387",853,63, - , - , - , - , - , - , - , - , - ,"1,387",916, - ,3,2, - , - , - , - , - , - , - , - , - , - ,3,2, - ,"1,390",918, - 
2012,GRR,GREER SC, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
2012,HAR,HARTFORD CT ,577,493,41,622,642,34,657,552,92,648,592,49,"2,504","2,495","1,442",2,161, - , - ,3,2,2,3, - ,3,14, - ,7,183,55,"2,511","2,678","1,497"
2012,HEL,HELENA MT ,36,38, - ,32,42,3,25,35,1,36,31, - ,129,150,57, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,129,150,57
2012,HHW,HONOLULU HI ,240,205,13,228,262,53,224,202,40,262,248,38,954,"1,061",522,1,3,5, - ,11,5, - ,5,13, - ,6, - ,1,48, - ,955,"1,109",522
2012,HIA,HIALEAH FL,452,373,38,464,654,65,491,376,38,463,573,69,"1,870","2,186",957,6,2,3,3,11,5,2,1,2,4,9,5,15,38,34,"1,885","2,224",991
2012,HLG,HARLINGEN TX ,731,713,24,629,869,27,720,688,28,617,708,38,"2,697","3,095","1,053",6,9,3,4,24,2,7,10,2,6,5,2,23,57,54,"2,720","3,152","1,107"
2012,HOU,HOUSTON TX ,"1,687","1,466",130,"1,761","1,902",207,"1,989","1,887",193,"1,852","1,793",243,"7,289","7,821","3,402",1,11,2,2,15, - ,4,17,1,7,23,4,14,73,46,"7,303","7,894","3,448"
2012,IMP,IMPERIAL CA,91,72, - ,87,85,2,80,64,1,84,51, - ,342,275,181, - ,1, - , - ,10, - , - ,1, - , - ,1,1, - ,14,2,342,289,183
2012,INP,INDIANAPOLIS IN ,256,245,27,304,261,29,292,291,24,263,301,51,"1,115","1,229",611, - ,5,1, - ,2,4, - ,2, - , - ,2,1, - ,17,1,"1,115","1,246",612
2012,JAC,JACKSONV'L FL ,284,210,23,294,320,33,305,359,27,324,273,17,"1,207","1,262",593,1,1, - , - ,2,2, - ,3,3,1,1,1,2,13,5,"1,209","1,275",598
2012,KAN,KANSAS CITY MO ,332,326,52,296,318,38,304,351,26,267,331,38,"1,199","1,480",676, - ,6,1, - ,8,2, - ,3, - , - ,1,6, - ,27,14,"1,199","1,507",690
2012,KND,KENDALL FL,464,377,62,474,485,70,455,383,50,420,368,64,"1,813","1,859",936,2,9,7,2,8,7,1,12,12,4,12,9,9,76,36,"1,822","1,935",972
2012,LAC,LOS ANGELES COUNTY CA , - , - , - ,565,345,23,"1,572","1,193",85,"1,421","1,204",79,"3,558","2,929","2,701", - , - , - ,1, - , - ,7,18,1,1,7,19,9,45,64,"3,567","2,974","2,765"
2012,LAW,LAWRENCE MA,434,395,47,418,454,40,475,376,33,412,444,20,"1,739","1,809",920, - ,4,12,1,3,3,1, - , - , - , - , - ,2,22,52,"1,741","1,831",972
2012,LNY,LONG ISLAND NY,"1,277","1,260",47,"1,315","1,447",35,"1,413","1,588",98,"1,306","1,459",51,"5,311","5,985","2,803",2,4, - ,3,6,1,1,10,1,2,5,1,8,28,172,"5,319","6,013","2,975"
2012,LOS,LOS ANGELES CA ,"2,749","3,741",342,"2,240","2,761",266,"1,578","1,000",154,"1,535","1,506",191,"8,102","9,961","4,368",6,78,15,3,63,8,2,28,29,2,21,8,13,250,148,"8,115","10,211","4,516"
2012,LOU,LOUISVILLE KY ,155,146,20,140,158,24,175,150,17,165,116,15,635,646,481, - ,3,1, - , - ,1,1,1, - ,1,2, - ,2,8,7,637,654,488
2012,LVG,LAS VEGAS NV ,531,516,44,560,560,73,607,567,85,548,510,53,"2,246","2,408","1,409",2,7,1,5,3,3,3,3,3, - ,3, - ,10,23,26,"2,256","2,431","1,435"
2012,MAN,MANCHESTER NH ,101,101,2,90,79,11,85,80,2,98,86,10,374,371,180, - ,2,2, - ,42,22, - ,71,24, - ,30,27, - ,220,29,374,591,209
2012,MEM,MEMPHIS TN ,414,342,31,397,415,31,449,393,49,377,453,42,"1,637","1,756",866,1,2,2, - ,1, - , - ,3, - ,2,1, - ,3,9,47,"1,640","1,765",913
2012,MIA,MIAMI FL ,776,457,58,712,819,95,772,939,76,765,526,87,"3,025","3,057","1,779",5,5,4,4,4,6,5,6,4,3,13,17,17,59,49,"3,042","3,116","1,828"
2012,MIL,MILWAUKEE WI ,224,220,18,256,221,24,229,255,24,216,237,23,925,"1,022",388, - ,7,2, - , - , - , - , - ,1, - ,6,3, - ,19,38,925,"1,041",426
2012,MTL,MOUNT LAUREL NJ,497,388,39,453,533,43,450,413,33,428,385,36,"1,828","1,870",968, - ,1,1, - , - , - ,2, - , - ,1,1, - ,3,3,76,"1,831","1,873","1,044"
2012,NEW,NEWARK NJ ,"2,275","1,856",189,"2,359","2,437",169,"2,478","2,272",198,"2,351","2,099",180,"9,463","9,400","4,103",3,6, - ,6,1,2,6, - ,1,6,4, - ,21,14,324,"9,484","9,414","4,427"
2012,NOL,NEW ORLEANS LA ,302,311,21,310,299,22,275,435,24,304,222,23,"1,191","1,357",638, - ,6, - ,2,3, - ,1,8,1,3, - , - ,6,18,5,"1,197","1,375",643
2012,NOR,NORFOLK VA ,280,276,26,275,307,32,283,355,21,295,365,33,"1,133","1,415",536, - ,17,2, - ,4,2, - ,4,3, - , - ,1, - ,33,29,"1,133","1,448",565
2012,NYC,NEW YORK NY ,"3,280","3,069",522,"3,636","3,824",541,"4,057","6,467",689,"3,786","4,101",686,"14,759","19,899","9,112",1,39,23,3,48,24,3,102,37,2,48,16,9,337,765,"14,768","20,236","9,877"
2012,OKC,OKLAHOMA CITY OK ,221,171,24,243,380,28,299,274,33,286,285,34,"1,049","1,229",524, - ,1,1,1,4, - , - ,10,4, - ,2, - ,1,22,8,"1,050","1,251",532
2012,OKL,OAKLAND PARK FL,"1,019",447,133,"1,063","1,534",178,"1,199","1,159",97,980,797,109,"4,261","4,454","2,359", - ,29,6,1,13,4,4,17,2,3,27,13,8,111,104,"4,269","4,565","2,463"
2012,OMA,OMAHA NE ,149,118,15,124,130,20,130,122,16,125,229,34,528,684,263,2,5, - ,2,6,6, - ,2, - ,1,1, - ,5,20,76,533,704,339
2012,ORL,ORLANDO FL ,698,597,88,792,655,73,806,770,98,665,608,116,"2,961","3,005","1,981",2,9, - ,1,8,1,2,20,1,1, - ,1,6,40,19,"2,967","3,045","2,000"
2012,PHI,PHILADELPHI PA ,976,837,103,946,"1,012",100,"1,000",971,171,927,778,73,"3,849","4,045","1,697", - ,15,7,1,10, - ,2,3,1,3,31, - ,6,67,66,"3,855","4,112","1,763"
2012,PHO,PHOENIX AZ ,635,986,36,721,770,43,925,815,67,821,844,42,"3,102","3,603","1,581",12,17,6,2,18,16,5,17,18,4,10,7,23,109,13,"3,125","3,712","1,594"
2012,PIT,PITTSBURGH PA ,174,178,13,176,184,13,174,168,11,212,164,23,736,754,407, - ,1, - ,1,1, - , - ,2, - , - ,10,2,1,16,10,737,770,417
2012,POM,PORTLAND ME ,51,59,3,52,41,2,52,54,2,39,46,1,194,208,87, - , - , - , - , - ,1, - , - , - , - , - , - , - ,1,1,194,209,88
2012,POO,PORTLAND OR ,336,314,12,313,270,15,317,330,13,297,376,20,"1,263","1,350",609, - ,9, - ,1,5,1, - ,7, - , - ,3, - ,1,25,2,"1,264","1,375",611
2012,PRO,PROVIDENCE RI ,179,190,39,201,188,34,179,156,17,174,143,4,733,771,407, - ,15,10, - ,4,3,1, - , - ,1, - , - ,2,32,27,735,803,434
2012,QNS,QUEENS NY,432,82,8,"1,302","1,693",100,"1,408","1,232",89,"1,341","1,051",67,"4,483","4,322","2,666",1,1, - , - , - ,2, - ,1,3,1,12,3,2,22,147,"4,485","4,344","2,813"
2012,RAL,RALEIGH NC,433,358,31,377,438,56,374,343,29,403,456,46,"1,587","1,757",910,1,2, - ,5,1, - ,2,7,1, - ,7,4,8,22,46,"1,595","1,779",956
2012,REN,RENO NV ,88,73,12,78,77,11,78,79,23,86,100,7,330,382,156, - ,7,4, - ,5,1, - ,3, - , - , - , - , - ,20,1,330,402,157
2012,SAA,SANTA ANA CA,963,981,59,880,"1,102",78,"1,037",958,78,954,"1,052",86,"3,834","4,394","1,418",1,7,1,1,26,2,3,13,14,2,7,10,7,80,8,"3,841","4,474","1,426"
2012,SAC,SACRAMENTO CA ,489,405,45,472,436,40,507,471,32,437,467,29,"1,905","1,925","1,178",2,22,6,1,12,4, - ,20,3,1,12,4,4,83,2,"1,909","2,008","1,180"
2012,SAJ,SAN JUAN PR ,132,149,29,118,182,47,142,160,40,146,163,21,538,791,387,2, - , - , - , - , - ,1, - , - , - ,1,1,3,2,370,541,793,757
2012,SBD,SAN BERNADINO CA,849,932,83,935,901,74,"1,229",761,45,"1,052","1,139",66,"4,065","4,001","2,335", - ,26,3,1,5,5,2,6,2,2,7, - ,5,54,33,"4,070","4,055","2,368"
2012,SEA,SEATTLE WA ,644,566,38,630,540,29,621,536,23,665,656,37,"2,560","2,425","1,445",1,9, - ,3,5,1, - ,13,1, - ,2, - ,4,31,6,"2,564","2,456","1,451"
2012,SFR,SAN FRAN. CA ,"1,252","1,110",109,"1,138","1,069",123,"1,309",952,97,"1,218","1,107",117,"4,917","4,684","2,814",1,30,8, - ,32,13,2,10,2,1,20,7,4,122,50,"4,921","4,806","2,864"
2012,SFV,SAN FERNANDO VALLEY CA,956,912,101,953,854,132,880,624,55,843,981,97,"3,632","3,756","2,342",2,10,5,3,20,7,2,12,2, - ,4, - ,7,60,53,"3,639","3,816","2,395"
2012,SLC,SALT LAKE CITY UT ,434,454,28,446,420,17,473,464,16,512,403,27,"1,865","1,829",837,1,3,1,1,3, - ,2,4,3, - ,2,2,4,18,13,"1,869","1,847",850
2012,SNA,SAN ANTONIO TX ,947,"1,242",90,"1,006","1,195",72,"1,146","1,240",87,"1,021","1,131",82,"4,120","5,139","1,523",2,16,5,7,12,6,3,14, - , - ,7, - ,12,60,248,"4,132","5,199","1,771"
2012,SND,SAN DIEGO CA ,386,354,16,355,445,25,370,395,16,352,316,21,"1,463","1,588",474,2,6,5,1,11,2,1,11,2, - ,2,3,4,42, - ,"1,467","1,630",474
2012,SNJ,SAN JOSE CA ,794,689,36,714,719,41,785,512,29,840,830,32,"3,133","2,888","1,468",1,14,2,3,6,3, - ,13,1, - ,10,4,4,53,10,"3,137","2,941","1,478"
2012,SPM,ST PAUL MN ,464,396,64,454,522,75,458,465,67,487,331,69,"1,863","1,989","1,278", - ,5,1, - ,6,4, - ,3, - ,2, - ,1,2,20,9,"1,865","2,009","1,287"
2012,SPO,SPOKANE WA ,51,42,5,50,53,1,48,56,4,34,58,7,183,226,66, - ,11,8, - ,3,2, - ,12,2, - ,1,1, - ,40, - ,183,266,66
2012,STA,ST ALBANS VT ,30,56,14,24,52,15,26,50,9,27,53,20,107,269,68, - ,35,10, - ,90,7, - ,32,40, - ,5,3, - ,222,1,107,491,69
2012,STL,ST LOUIS MO ,170,153,24,134,169,23,141,172,14,171,182,31,616,768,328, - , - , - , - ,5,1, - , - , - , - , - , - , - ,6,2,616,774,330
2012,TAM,TAMPA FL ,689,661,106,765,692,100,828,667,83,640,649,53,"2,922","3,011","1,510",3,8,2,3,8,2,2,1,1,2,3, - ,10,25,25,"2,932","3,036","1,535"
2012,TUC,TUCSON AZ/SUB ,290,384,21,323,340,28,324,295,24,348,294,24,"1,285","1,410",558, - ,17, - ,1,2,3,1,1, - , - ,4,1,2,28,4,"1,287","1,438",562
2012,WAS,WASHINGTON DC ,996,969,118,"1,020",834,151,"1,065","1,495",181,"1,074","1,160",248,"4,155","5,156","2,798", - ,4,6,2,6,1,1,17,3,1,27,1,4,65,133,"4,159","5,221","2,931"
2012,WIC,WICHITA KS,116,102,19,118,131,9,120,89,3,147,149,16,501,518,273, - ,2, - , - , - , - , - , - ,2, - , - , - , - ,4,4,501,522,277
2012,WPB,WEST PALM BEACH FL,520,509,119,540,532,51,556,487,74,502,426,55,"2,118","2,253",949,1,8,4,1,13,6,2,19,9, - ,11,2,4,72,14,"2,122","2,325",963
2012,YAK,YAKIMA WA,57,78,6,54,67, - ,88,100,6,76,83,3,275,343,176, - ,4,3, - ,2,1,1,2,1,1,7,1,2,21,15,277,364,191
2012 Total,,,"49,301","44,887","4,525","48,626","53,128","5,054","52,621","51,595","4,899","49,207","48,662","5,051","199,755","217,801","105,231",106,"1,102",279,110,768,245,116,772,283,97,537,238,429,"4,224","4,725","200,184","222,025","109,956"
2013,ABQ,ALBUQUERQUE NM ,309,148,8,,,,,,,,,,309,156,457,2,5, - ,,,,,,,,,,2,5,4,311,161,461
2013,AGA,AGANA GUAM ,193,148,25,,,,,,,,,,193,173,305,3,3,1,,,,,,,,,,3,4,5,196,177,310
2013,ALB,ALBANY NY ,295,192,4,,,,,,,,,,295,196,383,9,3, - ,,,,,,,,,,9,3,9,304,199,392
2013,ANC,ANCHORAGE AK ,163,162,5,,,,,,,,,,163,167,142,2,2, - ,,,,,,,,,,2,2,1,165,169,143
2013,ATL,ATLANTA GA ,"3,319","1,216",136,,,,,,,,,,"3,319","1,352","5,604",48,17,4,,,,,,,,,,48,21,98,"3,367","1,373","5,702"
2013,BAL,BALTIMORE MD ,"2,721",985,168,,,,,,,,,,"2,721","1,153","4,656",47,18,2,,,,,,,,,,47,20,98,"2,768","1,173","4,754"
2013,BOI,BOISE ID ,215,193,8,,,,,,,,,,215,201,198,3,3,1,,,,,,,,,,3,4,2,218,205,200
2013,BOS,BOSTON MA ,"2,657",901,75,,,,,,,,,,"2,657",976,"2,954",59,29, - ,,,,,,,,,,59,29,"1,004","2,716","1,005","3,958"
2013,BUF,BUFFALO NY ,478,324,9,,,,,,,,,,478,333,566,7, - ,2,,,,,,,,,,7,2,14,485,335,580
2013,CHA,CHARLOTTE AMALIE ,86,26,4,,,,,,,,,,86,30,114, - ,1, - ,,,,,,,,,, - ,1, - ,86,31,114
2013,CHI,CHICAGO IL ,"4,817","2,355",132,,,,,,,,,,"4,817","2,487","6,732",59,37,4,,,,,,,,,,59,41,153,"4,876","2,528","6,885"
2013,CHL,CHARLESTON SC ,655,234,20,,,,,,,,,,655,254,914,15,8, - ,,,,,,,,,,15,8,108,670,262,"1,022"
2013,CHR,CHRISTIANSTED VI ,28,9,3,,,,,,,,,,28,12,38,12, - ,1,,,,,,,,,,12,1,2,40,13,40
2013,CHS,CHARLESTON WV, - ,122, - ,,,,,,,,,, - ,122,61, - , - , - ,,,,,,,,,, - , - , - , - ,122,61
2013,CIN,CINCINNATI OH ,389,237,18,,,,,,,,,,389,255,533,6,12, - ,,,,,,,,,,6,12,6,395,267,539
2013,CLE,CLEVELAND OH ,564,469,15,,,,,,,,,,564,484,584,12,4,2,,,,,,,,,,12,6,18,576,490,602
2013,CLM,COLUMBUS OH,568,404,44,,,,,,,,,,568,448,486,10,8, - ,,,,,,,,,,10,8,11,578,456,497
2013,CLT,CHARLOTTE NC ,"1,012",346,21,,,,,,,,,,"1,012",367,"1,586",11,3,2,,,,,,,,,,11,5,12,"1,023",372,"1,598"
2013,CVC,CHULA VISTA CA,"1,220",456,50,,,,,,,,,,"1,220",506,"1,607",27,7, - ,,,,,,,,,,27,7,29,"1,247",513,"1,636"
2013,DAL,DALLAS TX ,"3,846","1,888",132,,,,,,,,,,"3,846","2,020","5,585",71,3,2,,,,,,,,,,71,5,141,"3,917","2,025","5,726"
2013,DEN,DENVER CO ,"1,612",566,54,,,,,,,,,,"1,612",620,"2,846",13,3,4,,,,,,,,,,13,7,38,"1,625",627,"2,884"
2013,DET,DETROIT MI ,"1,796","1,183",52,,,,,,,,,,"1,796","1,235","2,946",30,14,4,,,,,,,,,,30,18,261,"1,826","1,253","3,207"
2013,DSM,DES MOINES IA,279,159,6,,,,,,,,,,279,165,364,6,1, - ,,,,,,,,,,6,1,36,285,166,400
2013,DVD,DOVER DE AFB , - , - , - ,,,,,,,,,, - , - , - , - , - , - ,,,,,,,,,, - , - , - , - , - , - 
2013,ELP,EL PASO TX ,"1,145",845,37,,,,,,,,,,"1,145",882,"1,278",13, - , - ,,,,,,,,,,13, - ,6,"1,158",882,"1,284"
2013,FRE,FRESNO CA ,"1,446",613,19,,,,,,,,,,"1,446",632,"1,972",35,3,2,,,,,,,,,,35,5,79,"1,481",637,"2,051"
2013,FSA,FORT SMITH AR ,247,100,7,,,,,,,,,,247,107,336,7,2,1,,,,,,,,,,7,3,7,254,110,343
2013,GRR,GREER SC, - , - , - ,,,,,,,,,, - , - , - , - , - , - ,,,,,,,,,, - , - , - , - , - , - 
2013,HAR,HARTFORD CT ,"1,430",418,26,,,,,,,,,,"1,430",444,"2,373",28, - ,2,,,,,,,,,,28,2,60,"1,458",446,"2,433"
2013,HEL,HELENA MT ,67,144,1,,,,,,,,,,67,145,343,1, - , - ,,,,,,,,,,1, - ,3,68,145,346
2013,HHW,HONOLULU HI ,566,365,18,,,,,,,,,,566,383,774,1,2, - ,,,,,,,,,,1,2,19,567,385,793
2013,HIA,HIALEAH FL,"1,084",363,25,,,,,,,,,,"1,084",388,"1,891",23,4, - ,,,,,,,,,,23,4,35,"1,107",392,"1,926"
2013,HLG,HARLINGEN TX ,919,559,39,,,,,,,,,,919,598,"1,867",17,9,2,,,,,,,,,,17,11,20,936,609,"1,887"
2013,HOU,HOUSTON TX ,"4,038","1,860",144,,,,,,,,,,"4,038","2,004","5,518",129,2, - ,,,,,,,,,,129,2,176,"4,167","2,006","5,694"
2013,IMP,IMPERIAL CA,239,255,1,,,,,,,,,,239,256,199,8, - , - ,,,,,,,,,,8, - ,10,247,256,209
2013,INP,INDIANAPOLIS IN ,726,410,29,,,,,,,,,,726,439,940,7,2, - ,,,,,,,,,,7,2,8,733,441,948
2013,JAC,JACKSONV'L FL ,676,549,28,,,,,,,,,,676,577,815,8,2,2,,,,,,,,,,8,4,6,684,581,821
2013,KAN,KANSAS CITY MO ,695,575,40,,,,,,,,,,695,615,848,17,12,3,,,,,,,,,,17,15,16,712,630,864
2013,KND,KENDALL FL,945,499,70,,,,,,,,,,945,569,"1,653",18,7,9,,,,,,,,,,18,16,24,963,585,"1,677"
2013,LAC,LOS ANGELES COUNTY CA ,"3,148","1,166",75,,,,,,,,,,"3,148","1,241","5,810",50,8,2,,,,,,,,,,50,10,156,"3,198","1,251","5,966"
2013,LAW,LAWRENCE MA,"1,096",331,35,,,,,,,,,,"1,096",366,"1,776",18, - , - ,,,,,,,,,,18, - ,33,"1,114",366,"1,809"
2013,LNY,LONG ISLAND NY,"3,232",904,37,,,,,,,,,,"3,232",941,"4,512",95,2, - ,,,,,,,,,,95,2,35,"3,327",943,"4,547"
2013,LOS,LOS ANGELES CA ,"2,929","1,531",97,,,,,,,,,,"2,929","1,628","5,540",34,17,4,,,,,,,,,,34,21,141,"2,963","1,649","5,681"
2013,LOU,LOUISVILLE KY ,437,213,24,,,,,,,,,,437,237,558,5,2, - ,,,,,,,,,,5,2,7,442,239,565
2013,LVG,LAS VEGAS NV ,"1,224",756,97,,,,,,,,,,"1,224",853,"1,746",26,4,1,,,,,,,,,,26,5,19,"1,250",858,"1,765"
2013,MAN,MANCHESTER NH ,196,359,9,,,,,,,,,,196,368,"1,010",4,6,1,,,,,,,,,,4,7,21,200,375,"1,031"
2013,MEM,MEMPHIS TN ,"1,132",406,32,,,,,,,,,,"1,132",438,"1,734",17,1, - ,,,,,,,,,,17,1,13,"1,149",439,"1,747"
2013,MIA,MIAMI FL ,"1,589",598,106,,,,,,,,,,"1,589",704,"2,695",40,19,12,,,,,,,,,,40,31,332,"1,629",735,"3,027"
2013,MIL,MILWAUKEE WI ,714,355,16,,,,,,,,,,714,371,780,11, - , - ,,,,,,,,,,11, - ,21,725,371,801
2013,MTL,MOUNT LAUREL NJ,"1,124",434,25,,,,,,,,,,"1,124",459,"1,709",26, - , - ,,,,,,,,,,26, - ,71,"1,150",459,"1,780"
2013,NEW,NEWARK NJ ,"4,902","2,029",125,,,,,,,,,,"4,902","2,154","7,328",108,4, - ,,,,,,,,,,108,4,262,"5,010","2,158","7,590"
2013,NOL,NEW ORLEANS LA ,736,302,17,,,,,,,,,,736,319,"1,136",7, - , - ,,,,,,,,,,7, - ,92,743,319,"1,228"
2013,NOR,NORFOLK VA ,767,419,27,,,,,,,,,,767,446,933,9,12, - ,,,,,,,,,,9,12,12,776,458,945
2013,NYC,NEW YORK NY ,"8,982","3,923",336,,,,,,,,,,"8,982","4,259","16,579",199,37,11,,,,,,,,,,199,48,"1,625","9,181","4,307","18,204"
2013,OKC,OKLAHOMA CITY OK ,677,482,13,,,,,,,,,,677,495,859,9,7,2,,,,,,,,,,9,9,5,686,504,864
